,# edges,partition,running time,accuracy,f1,# shards,setting
0,200,blpa,185.28895568847656,0.7087087087087087,0.6333799932564215,14,BLPA
1,200,bekm,235.31682682037356,0.5075075075075075,0.4556011782038893,18,BEKM
2,400,blpa,212.25184440612796,0.6831831831831832,0.6237482917959966,16,BLPA
3,400,bekm,261.4562330245972,0.4549549549549549,0.392250216654655,20,BEKM
6,800,blpa,250.15068888664248,0.6126126126126126,0.5615685381574317,19,BLPA
7,800,bekm,263.32107400894165,0.4594594594594595,0.3920470587281528,20,BEKM
8,1000,blpa,249.0812010765076,0.6201201201201201,0.5706502455274792,19,BLPA
9,1000,bekm,263.2826910018921,0.466966966966967,0.4046536476133994,20,BEKM
20,200,blpa,91.80013370513916,0.7687687687687688,0.6711672225297137,7,BLPA
21,200,bekm,262.64818716049194,0.4429429429429429,0.3815953201898428,20,BEKM
22,400,blpa,197.0286295413971,0.6981981981981982,0.6301493751679622,15,BLPA
23,400,bekm,263.0230185985565,0.4579579579579579,0.3917329974721122,20,BEKM
26,800,blpa,225.21298789978027,0.6546546546546547,0.598384497124497,17,BLPA
27,800,bekm,264.2101962566376,0.4654654654654654,0.3987789813372222,20,BEKM
28,1000,blpa,237.3566017150879,0.6516516516516516,0.5951522939199886,18,BLPA
29,1000,bekm,263.81382727622986,0.4744744744744745,0.403431305864902,20,BEKM
40,200,blpa,157.7273452281952,0.7357357357357357,0.6492188940530391,12,BLPA
41,200,bekm,198.69869661331177,0.6141141141141141,0.5512602346086162,15,BEKM
42,400,blpa,224.82102227211,0.6696696696696697,0.6153644148214877,17,BLPA
43,400,bekm,237.0534770488739,0.536036036036036,0.4742194671464843,18,BEKM
46,800,blpa,251.16562294960025,0.6276276276276276,0.5796217409820182,19,BLPA
47,800,bekm,262.815810918808,0.4384384384384384,0.3797983695055395,20,BEKM
48,1000,blpa,251.34851241111755,0.6291291291291291,0.5741690214714231,19,BLPA
49,1000,bekm,263.03748393058777,0.4579579579579579,0.3847021160314225,20,BEKM
60,200,blpa,52.631192684173584,0.7822822822822822,0.6779101156442465,4,BLPA
61,200,bekm,238.7557716369629,0.5105105105105106,0.4468489527217241,18,BEKM
62,400,blpa,158.45748019218445,0.7357357357357357,0.6478868282671543,12,BLPA
63,400,bekm,264.618182182312,0.466966966966967,0.396489905535776,20,BEKM
66,800,blpa,237.9413709640503,0.6306306306306306,0.5735450381489381,18,BLPA
67,800,bekm,264.7952206134796,0.4519519519519519,0.3854384667149693,20,BEKM
68,1000,blpa,264.04970622062683,0.6021021021021021,0.5536032468121915,20,BLPA
69,1000,bekm,262.75609850883484,0.4399399399399399,0.3752586242621517,20,BEKM
80,200,blpa,119.14497327804564,0.7657657657657657,0.669126410568775,9,BLPA
81,200,bekm,238.4616904258728,0.5165165165165165,0.4446673714404751,18,BEKM
82,400,blpa,213.13326621055603,0.6921921921921922,0.626853322803857,16,BLPA
83,400,bekm,252.69771099090576,0.4834834834834834,0.4164005227882972,19,BEKM
86,800,blpa,232.02996492385864,0.6501501501501501,0.5958461900506473,18,BLPA
87,800,bekm,256.7681787014008,0.46996996996997,0.4015617533230637,20,BEKM
88,1000,blpa,268.67522740364075,0.5990990990990991,0.5479207608444222,20,BLPA
89,1000,bekm,265.7355048656464,0.4564564564564564,0.3843466092433534,20,BEKM
100,200,blpa,105.84847140312196,0.7732732732732732,0.6830301719899446,8,BLPA
101,200,bekm,236.85913038253784,0.503003003003003,0.4540010781333137,18,BEKM
102,400,blpa,184.1115653514862,0.7102102102102102,0.6348272480873698,14,BLPA
103,400,bekm,262.746835231781,0.4264264264264264,0.3564305751962541,20,BEKM
106,800,blpa,251.12751460075376,0.6321321321321322,0.5762489832081746,19,BLPA
107,800,bekm,263.8889136314392,0.4714714714714714,0.4041290451909156,20,BEKM
108,1000,blpa,265.7136881351471,0.5795795795795796,0.533466429717843,20,BLPA
109,1000,bekm,263.1611440181732,0.466966966966967,0.4004020302030999,20,BEKM
120,200,blpa,41.18588352203369,0.7807807807807807,0.6779186374721852,3,BLPA
121,200,bekm,245.42760062217712,0.536036036036036,0.4626722514956795,19,BEKM
122,400,blpa,88.7967598438263,0.7597597597597597,0.6682955145510139,7,BLPA
123,400,bekm,254.66111993789676,0.4639639639639639,0.4021034296601004,20,BEKM
126,800,blpa,214.63013005256653,0.6771771771771772,0.6170908466731538,16,BLPA
127,800,bekm,598.0335414409637,0.4504504504504504,0.3811756564162931,20,BEKM
128,1000,blpa,325.239069223404,0.6441441441441441,0.5826972657866504,18,BLPA
129,1000,bekm,261.1832466125488,0.4519519519519519,0.3859770627694623,20,BEKM
140,200,blpa,89.84474158287048,0.7717717717717718,0.6737248915007559,7,BLPA
141,200,bekm,232.04607510566711,0.5525525525525525,0.4852667928330916,18,BEKM
142,400,blpa,150.08054780960083,0.7522522522522522,0.6682433612854761,12,BLPA
143,400,bekm,251.15843439102173,0.4474474474474474,0.3809629368702285,20,BEKM
146,800,blpa,211.8110954761505,0.6651651651651652,0.6038727718119922,17,BLPA
147,800,bekm,250.86015844345093,0.4654654654654654,0.3871013398817962,20,BEKM
148,1000,blpa,235.57463908195496,0.6276276276276276,0.5824350857647492,18,BLPA
149,1000,bekm,261.4493989944458,0.4774774774774775,0.4006201707635605,20,BEKM
160,200,blpa,117.02277779579164,0.7762762762762763,0.6799064856937754,9,BLPA
161,200,bekm,219.2639212608337,0.5945945945945946,0.5192657325464015,17,BEKM
162,400,blpa,168.48330545425415,0.7267267267267268,0.6455141999019144,13,BLPA
163,400,bekm,259.11333990097046,0.4429429429429429,0.383027586464135,20,BEKM
166,800,blpa,220.7762885093689,0.6696696696696697,0.6125101795124249,17,BLPA
167,800,bekm,262.28128385543823,0.4459459459459459,0.3713956545697073,20,BEKM
168,1000,blpa,246.8930611610413,0.5990990990990991,0.5460078360482203,19,BLPA
169,1000,bekm,261.3980939388275,0.4189189189189189,0.3585454532200282,20,BEKM
180,200,blpa,103.67416429519652,0.7717717717717718,0.6707811214619448,8,BLPA
181,200,bekm,271.80708026885986,0.4714714714714714,0.3971752440002629,20,BEKM
182,400,blpa,128.09017515182495,0.7657657657657657,0.6692894757300941,9,BLPA
183,400,bekm,265.22144532203674,0.4489489489489489,0.3784147085727296,20,BEKM
186,800,blpa,220.11329436302185,0.6846846846846847,0.6291420571439185,17,BLPA
187,800,bekm,265.9075579643249,0.4729729729729729,0.4051181191857704,20,BEKM
188,1000,blpa,225.153395652771,0.6801801801801802,0.6230889751748898,17,BLPA
189,1000,bekm,306.6770899295807,0.46996996996997,0.4053816420569645,20,BEKM
