,# edges,partition,running time,accuracy,f1,# shards,setting
0,200,blpa,66.04010558128357,0.7972972972972973,0.7138047201631686,5,BLPA
1,200,bekm,277.3580780029297,0.4639639639639639,0.3982009668664505,20,BEKM
2,400,blpa,170.27736496925354,0.7642642642642643,0.7027748951522139,12,BLPA
3,400,bekm,277.43719148635864,0.5075075075075075,0.4401453650362446,20,BEKM
6,800,blpa,210.974883556366,0.6906906906906907,0.6328378561560831,16,BLPA
7,800,bekm,288.86997747421265,0.493993993993994,0.4377829175103236,20,BEKM
8,1000,blpa,248.7591106891632,0.6636636636636637,0.6047223823853244,18,BLPA
9,1000,bekm,273.0117292404175,0.4864864864864865,0.4201655709424334,20,BEKM
20,200,blpa,108.97599029541016,0.7807807807807807,0.7110838844442444,8,BLPA
21,200,bekm,294.49872183799744,0.496996996996997,0.4351729286716286,20,BEKM
22,400,blpa,191.25944304466248,0.7192192192192193,0.6511267468416674,13,BLPA
23,400,bekm,298.2568869590759,0.481981981981982,0.4168922481442076,20,BEKM
26,800,blpa,229.8429148197174,0.6726726726726727,0.6161138044599735,17,BLPA
27,800,bekm,274.61157417297363,0.506006006006006,0.4402545829414858,20,BEKM
28,1000,blpa,263.99347829818726,0.6486486486486487,0.5962933732057167,18,BLPA
29,1000,bekm,299.15280985832214,0.515015015015015,0.4530080214231473,20,BEKM
40,200,blpa,163.65073585510254,0.7222222222222222,0.6594664399779425,12,BLPA
41,200,bekm,224.883935213089,0.527027027027027,0.4535152829816239,17,BEKM
42,400,blpa,230.79737520217896,0.6741741741741741,0.6149890863594412,17,BLPA
43,400,bekm,270.24308800697327,0.4774774774774775,0.4098193070284359,20,BEKM
46,800,blpa,252.75031971931455,0.6411411411411412,0.5864561951052923,19,BLPA
47,800,bekm,266.9700665473938,0.4639639639639639,0.4027953197003591,20,BEKM
48,1000,blpa,251.1791241168976,0.6306306306306306,0.580973332573914,19,BLPA
49,1000,bekm,271.0599653720856,0.4774774774774775,0.4183759813445643,20,BEKM
60,200,blpa,104.9140284061432,0.7762762762762763,0.7129504957679608,8,BLPA
61,200,bekm,248.97361993789676,0.506006006006006,0.4445830139304407,19,BEKM
62,400,blpa,118.19946193695068,0.7702702702702703,0.7048678215687129,9,BLPA
63,400,bekm,253.0308122634888,0.506006006006006,0.4465332343133125,20,BEKM
66,800,blpa,197.88010120391849,0.6981981981981982,0.6368215314973357,15,BLPA
67,800,bekm,261.82618975639343,0.509009009009009,0.4540553196329095,20,BEKM
