,# edges,partition,running time,accuracy,f1,# shards,setting
0,200,blpa,103.02619934082033,0.7717717717717718,0.6959216440777909,8,BLPA
1,200,bekm,205.45899081230164,0.521021021021021,0.4621257530994369,18,BEKM
2,400,blpa,130.3571059703827,0.7462462462462462,0.6836068013371149,10,BLPA
3,400,bekm,229.68269634246823,0.503003003003003,0.4375572869394987,19,BEKM
6,800,blpa,156.0889208316803,0.7507507507507507,0.6835446996613536,12,BLPA
7,800,bekm,264.6452147960663,0.4924924924924925,0.4330286878593338,20,BEKM
8,1000,blpa,204.2978835105896,0.7132132132132132,0.6524169575682656,15,BLPA
9,1000,bekm,260.9087483882904,0.524024024024024,0.4580749738465038,20,BEKM
20,200,blpa,87.75003504753113,0.7777777777777778,0.6924119126951132,7,BLPA
21,200,bekm,212.24782347679135,0.53003003003003,0.4752536304360953,17,BEKM
22,400,blpa,149.93614554405212,0.7567567567567568,0.6874037864880601,12,BLPA
23,400,bekm,237.5434708595276,0.512012012012012,0.447273207481706,19,BEKM
26,800,blpa,200.7321310043335,0.7027027027027027,0.6410285192549824,16,BLPA
27,800,bekm,240.55691862106323,0.487987987987988,0.4187743712476223,20,BEKM
28,1000,blpa,212.6484892368317,0.6711711711711712,0.6095842758415456,17,BLPA
29,1000,bekm,240.38753366470337,0.4789789789789789,0.4191529680095822,20,BEKM
40,200,blpa,117.22548389434814,0.7762762762762763,0.7024758142174515,9,BLPA
41,200,bekm,230.50725936889648,0.5195195195195195,0.4548553882398075,18,BEKM
42,400,blpa,158.7204396724701,0.7597597597597597,0.6915264133934892,12,BLPA
43,400,bekm,258.5601952075958,0.4564564564564564,0.3924399292356313,20,BEKM
46,800,blpa,198.91077852249143,0.7117117117117117,0.6479414131199217,15,BLPA
47,800,bekm,266.95110177993774,0.5015015015015015,0.4318036060965145,20,BEKM
48,1000,blpa,208.39904618263245,0.7087087087087087,0.6450366270005966,16,BLPA
49,1000,bekm,260.8239495754242,0.4639639639639639,0.4054724492890232,20,BEKM
60,200,blpa,76.93443369865417,0.7837837837837838,0.7027850193054487,6,BLPA
61,200,bekm,254.19435811042783,0.5015015015015015,0.4360237105605778,20,BEKM
62,400,blpa,115.16591238975523,0.7642642642642643,0.6881095255439519,9,BLPA
63,400,bekm,242.86043643951416,0.493993993993994,0.4301087807071961,20,BEKM
66,800,blpa,178.6175127029419,0.7162162162162162,0.6533654482314061,14,BLPA
67,800,bekm,251.60469961166385,0.4729729729729729,0.4202775435831292,20,BEKM
68,1000,blpa,204.2471988201141,0.6786786786786787,0.6232277470564359,16,BLPA
69,1000,bekm,253.68250370025635,0.487987987987988,0.4132874724354207,20,BEKM
80,200,blpa,96.92452073097228,0.7942942942942943,0.7158021419528108,7,BLPA
81,200,bekm,207.77938723564148,0.551051051051051,0.4875574584631076,17,BEKM
82,400,blpa,126.15205192565918,0.7732732732732732,0.7003160685137472,10,BLPA
83,400,bekm,241.4652304649353,0.4909909909909909,0.4290803681899163,19,BEKM
86,800,blpa,224.7240934371948,0.6876876876876877,0.6284388075561916,16,BLPA
87,800,bekm,272.787558555603,0.4714714714714714,0.4057516952118216,20,BEKM
88,1000,blpa,253.4720721244812,0.6651651651651652,0.6064126181098728,18,BLPA
89,1000,bekm,269.101770401001,0.4459459459459459,0.385275776756087,20,BEKM
100,200,blpa,152.55233907699585,0.7537537537537538,0.6918872960405961,11,BLPA
101,200,bekm,227.69768142700195,0.56006006006006,0.4893126109640217,17,BEKM
102,400,blpa,178.4838423728943,0.7192192192192193,0.6590432526743081,13,BLPA
103,400,bekm,263.7885031700134,0.5075075075075075,0.4408203326958307,20,BEKM
106,800,blpa,218.4542081356049,0.6711711711711712,0.6142810926094354,16,BLPA
107,800,bekm,265.6166241168976,0.506006006006006,0.4423711292635525,20,BEKM
108,1000,blpa,247.51510763168332,0.6606606606606606,0.5958748908038038,18,BLPA
109,1000,bekm,267.7336575984955,0.4759759759759759,0.4058403544397477,20,BEKM
120,200,blpa,54.24936604499817,0.7867867867867868,0.6958894229150069,4,BLPA
121,200,bekm,249.6957664489746,0.5315315315315315,0.4711956302727741,19,BEKM
122,400,blpa,108.79374551773073,0.7837837837837838,0.7090819621104812,8,BLPA
123,400,bekm,261.73685240745544,0.4774774774774775,0.4204646597218718,20,BEKM
126,800,blpa,219.1846513748169,0.7057057057057057,0.6419511479853087,16,BLPA
127,800,bekm,262.76240515708923,0.4714714714714714,0.4063058674482598,20,BEKM
128,1000,blpa,246.0772006511688,0.6606606606606606,0.6037758927532956,18,BLPA
129,1000,bekm,262.56899785995483,0.4789789789789789,0.4162911043940507,20,BEKM
140,200,blpa,154.583557844162,0.7627627627627628,0.6945516497755304,11,BLPA
141,200,bekm,223.6084201335907,0.566066066066066,0.5039311089947665,16,BEKM
142,400,blpa,223.1235294342041,0.6996996996996997,0.6403499120831885,16,BLPA
143,400,bekm,264.1324510574341,0.512012012012012,0.450399611729178,19,BEKM
146,800,blpa,234.1895089149475,0.6876876876876877,0.6271327018456995,17,BLPA
147,800,bekm,268.27409076690674,0.4834834834834834,0.4110790784713675,20,BEKM
148,1000,blpa,250.9498507976532,0.6501501501501501,0.5942723416315802,18,BLPA
149,1000,bekm,278.15849804878235,0.4924924924924925,0.4352452804669426,20,BEKM
160,200,blpa,139.513897895813,0.7507507507507507,0.6857378469442116,10,BLPA
161,200,bekm,237.13161635398865,0.5585585585585585,0.4994492723428645,17,BEKM
162,400,blpa,168.70989108085632,0.7417417417417418,0.6753005513289428,12,BLPA
163,400,bekm,266.55470514297485,0.4774774774774775,0.4104475298700134,20,BEKM
