,# edges,partition,running time,accuracy,f1,# shards,setting
0,200,blpa,77.02198648452759,0.7807807807807807,0.6992946205271906,6,BLPA
1,200,bekm,225.1756103038788,0.5630630630630631,0.4902858748525409,17,BEKM
2,400,blpa,203.48100590705872,0.7282282282282282,0.6630342361119924,14,BLPA
3,400,bekm,284.1684195995331,0.5015015015015015,0.4375695486826633,20,BEKM
6,800,blpa,288.0784909725189,0.6606606606606606,0.6025720541905168,18,BLPA
7,800,bekm,332.2116279602051,0.46996996996997,0.4071973999009791,20,BEKM
8,1000,blpa,296.356027841568,0.6666666666666666,0.609845235032317,18,BLPA
9,1000,bekm,324.64758563041687,0.466966966966967,0.4053406211462609,20,BEKM
20,200,blpa,70.20790982246399,0.8018018018018018,0.7107875986945765,4,BLPA
21,200,bekm,277.9950158596039,0.5135135135135135,0.4495973305867892,17,BEKM
22,400,blpa,214.94307732582087,0.7282282282282282,0.6734466074208667,13,BLPA
23,400,bekm,339.4813735485077,0.4774774774774775,0.4190651527624498,20,BEKM
26,800,blpa,288.0371987819672,0.6756756756756757,0.619306780427737,16,BLPA
27,800,bekm,316.49243354797363,0.4774774774774775,0.4115343272570954,20,BEKM
28,1000,blpa,237.3759229183197,0.6681681681681682,0.6156402289300461,16,BLPA
29,1000,bekm,305.50161051750183,0.4759759759759759,0.4116047805803532,20,BEKM
40,200,blpa,108.10375785827635,0.7567567567567568,0.673266609704815,7,BLPA
41,200,bekm,285.3648910522461,0.53003003003003,0.4654076446270297,19,BEKM
42,400,blpa,175.78639435768127,0.7417417417417418,0.6816979240596718,12,BLPA
43,400,bekm,339.3438563346863,0.4759759759759759,0.4044328523997602,20,BEKM
46,800,blpa,292.8682670593262,0.6471471471471472,0.5922406532882373,19,BLPA
47,800,bekm,308.4927806854248,0.4609609609609609,0.4009372952811492,20,BEKM
48,1000,blpa,281.5679407119751,0.6441441441441441,0.5870587376526589,19,BLPA
49,1000,bekm,295.4569923877716,0.487987987987988,0.4179156964421538,20,BEKM
60,200,blpa,95.73215913772584,0.7732732732732732,0.6859120917400844,6,BLPA
61,200,bekm,237.39150190353396,0.5825825825825826,0.5068572757130215,16,BEKM
62,400,blpa,176.0245761871338,0.7522522522522522,0.6849660273800021,12,BLPA
63,400,bekm,252.0563967227936,0.5645645645645646,0.4926082063788499,17,BEKM
66,800,blpa,275.79225611686707,0.6711711711711712,0.6126491480140036,17,BLPA
67,800,bekm,306.775283575058,0.4789789789789789,0.4159720835361318,20,BEKM
68,1000,blpa,268.8836374282837,0.6411411411411412,0.5833834398865602,19,BLPA
69,1000,bekm,286.06958174705505,0.4594594594594595,0.3962761019459428,20,BEKM
80,200,blpa,157.58995056152344,0.7807807807807807,0.7019610839396596,8,BLPA
81,200,bekm,252.3495717048645,0.5690690690690691,0.5021728860464205,16,BEKM
