,# edges,partition,running time,accuracy,f1,# shards,setting
0,200,blpa,56.31998419761658,0.6402214022140221,0.5840472211300723,19,BLPA
1,200,bekm,60.15048861503601,0.4225092250922509,0.3708219821862799,20,BEKM
2,400,blpa,64.33466005325317,0.6457564575645757,0.5943823263861828,20,BLPA
3,400,bekm,65.20484352111816,0.4280442804428044,0.3802700291701555,20,BEKM
6,800,blpa,65.465665102005,0.6568265682656826,0.59828202530403,20,BLPA
7,800,bekm,65.51112771034241,0.4225092250922509,0.378572087884327,20,BEKM
8,1000,blpa,65.99917101860046,0.6586715867158671,0.6064111848205567,20,BLPA
9,1000,bekm,65.82874011993408,0.4206642066420664,0.3657165532022395,20,BEKM
20,200,blpa,56.0347957611084,0.6789667896678967,0.6200852614380539,18,BLPA
21,200,bekm,53.687865257263184,0.4354243542435424,0.3879281973591197,18,BEKM
22,400,blpa,61.37871646881104,0.6605166051660517,0.6080485988031985,20,BLPA
23,400,bekm,61.10337471961975,0.4169741697416974,0.369659052126134,20,BEKM
26,800,blpa,69.07381582260132,0.6568265682656826,0.6072710958050586,20,BLPA
27,800,bekm,79.37183618545532,0.4188191881918819,0.376221174060169,20,BEKM
28,1000,blpa,82.64748668670654,0.6199261992619927,0.5484356067235533,20,BLPA
29,1000,bekm,80.92776989936829,0.4151291512915129,0.3650639114352544,20,BEKM
40,200,blpa,64.61202883720398,0.6568265682656826,0.6106370607188424,20,BLPA
41,200,bekm,61.03032040596008,0.4317343173431734,0.3753660472965645,19,BEKM
42,400,blpa,66.93147587776184,0.6439114391143912,0.5871158934552503,20,BLPA
43,400,bekm,60.19781470298767,0.4335793357933579,0.3814445476646741,19,BEKM
46,800,blpa,64.64098978042603,0.6512915129151291,0.6001552885237231,20,BLPA
47,800,bekm,67.94346570968628,0.4298892988929889,0.3845076870059057,20,BEKM
48,1000,blpa,67.50360584259033,0.6476014760147601,0.5985626891067781,20,BLPA
49,1000,bekm,66.11982893943787,0.4335793357933579,0.3863966374830365,20,BEKM
60,200,blpa,65.40739583969116,0.6715867158671587,0.6236971271672841,19,BLPA
61,200,bekm,65.47765040397644,0.4280442804428044,0.3754288199060471,19,BEKM
62,400,blpa,69.10777497291565,0.6605166051660517,0.6057183244243857,20,BLPA
63,400,bekm,66.70251893997192,0.4280442804428044,0.3814575246832859,20,BEKM
66,800,blpa,66.49849343299866,0.6365313653136532,0.5818616045142516,20,BLPA
67,800,bekm,64.86061239242554,0.4022140221402214,0.3590999333543793,20,BEKM
68,1000,blpa,66.37192797660828,0.6476014760147601,0.5955143446619521,20,BLPA
69,1000,bekm,62.98854851722717,0.4169741697416974,0.3711654678215033,20,BEKM
80,200,blpa,55.08618235588074,0.6826568265682657,0.6322601694542739,18,BLPA
81,200,bekm,60.930044174194336,0.4132841328413284,0.3619223491071809,20,BEKM
82,400,blpa,61.57729268074036,0.6531365313653137,0.6029524069913846,20,BLPA
83,400,bekm,59.850855112075806,0.4225092250922509,0.3776020896533039,20,BEKM
86,800,blpa,62.326860189437866,0.6512915129151291,0.601146330672064,20,BLPA
87,800,bekm,61.01771926879883,0.4243542435424354,0.3675857973143766,20,BEKM
88,1000,blpa,62.38689661026001,0.6402214022140221,0.5877098403501108,20,BLPA
89,1000,bekm,59.352126359939575,0.4225092250922509,0.3795795578690316,20,BEKM
100,200,blpa,58.84685182571411,0.6808118081180812,0.6347751902673535,19,BLPA
101,200,bekm,60.62210869789124,0.4225092250922509,0.3748665147370831,20,BEKM
102,400,blpa,61.12252640724182,0.6420664206642066,0.5856078905404122,20,BLPA
103,400,bekm,61.4403395652771,0.4022140221402214,0.364238434340268,20,BEKM
106,800,blpa,61.01631665229797,0.6568265682656826,0.6060267085511306,20,BLPA
107,800,bekm,57.49928092956543,0.4132841328413284,0.3608387457614748,20,BEKM
108,1000,blpa,60.19865894317627,0.6457564575645757,0.5938337725156606,20,BLPA
109,1000,bekm,59.7288818359375,0.4243542435424354,0.3716591558236882,20,BEKM
120,200,blpa,58.96773838996887,0.6623616236162362,0.6084915353176031,20,BLPA
121,200,bekm,58.798022508621216,0.4188191881918819,0.3743902230007318,20,BEKM
122,400,blpa,58.961509227752686,0.6512915129151291,0.5984211234851051,20,BLPA
123,400,bekm,58.918267488479614,0.4280442804428044,0.372813494416259,20,BEKM
126,800,blpa,61.60989165306091,0.6383763837638377,0.5898685469119035,20,BLPA
127,800,bekm,55.8708815574646,0.4188191881918819,0.3668095171177966,20,BEKM
128,1000,blpa,61.08250451087952,0.6420664206642066,0.5907689954304695,20,BLPA
129,1000,bekm,59.06694340705872,0.4298892988929889,0.3834682875396675,20,BEKM
140,200,blpa,54.36030101776123,0.6752767527675276,0.6287369772921262,17,BLPA
141,200,bekm,59.16025066375733,0.4169741697416974,0.3609657192582817,20,BEKM
142,400,blpa,57.075451135635376,0.6678966789667896,0.6143949185663479,18,BLPA
143,400,bekm,61.09222054481506,0.4169741697416974,0.3585807363190246,20,BEKM
146,800,blpa,62.92912840843201,0.6605166051660517,0.6064669153206687,20,BLPA
147,800,bekm,66.57321238517761,0.4151291512915129,0.3641010789618861,20,BEKM
148,1000,blpa,67.60294938087463,0.6328413284132841,0.581731101507116,20,BLPA
149,1000,bekm,68.41605496406555,0.4261992619926199,0.3812777343173772,20,BEKM
160,200,blpa,60.950143814086914,0.6568265682656826,0.6016254549867995,19,BLPA
161,200,bekm,67.39872288703918,0.4335793357933579,0.3806828612956488,20,BEKM
162,400,blpa,70.54292249679565,0.6383763837638377,0.5883031098108048,20,BLPA
163,400,bekm,61.693711042404175,0.4261992619926199,0.3739069111980709,20,BEKM
166,800,blpa,69.76129531860352,0.6383763837638377,0.5841730047912128,20,BLPA
167,800,bekm,64.66544008255005,0.4169741697416974,0.3593703432886665,20,BEKM
168,1000,blpa,65.27000880241394,0.6365313653136532,0.5818614165518118,20,BLPA
169,1000,bekm,66.05885601043701,0.4188191881918819,0.3758369290284184,20,BEKM
180,200,blpa,53.898048639297485,0.7084870848708487,0.663959482866482,16,BLPA
181,200,bekm,69.60946154594421,0.4114391143911439,0.3551155486052736,20,BEKM
182,400,blpa,66.7677252292633,0.6439114391143912,0.5863963420556791,20,BLPA
183,400,bekm,63.20706486701965,0.4151291512915129,0.3673853093518874,20,BEKM
186,800,blpa,67.49453330039978,0.6476014760147601,0.5976200055165047,20,BLPA
187,800,bekm,59.7329695224762,0.4151291512915129,0.367836191834642,20,BEKM
188,1000,blpa,65.70008063316345,0.6586715867158671,0.6046475328934285,20,BLPA
189,1000,bekm,62.78057289123535,0.4077490774907749,0.3645580087941321,20,BEKM
