,# edges,partition,running time,accuracy,f1,# shards,setting
0,200,blpa,56.90112257003784,0.6752767527675276,0.6223966648961614,17,BLPA
1,200,bekm,58.17529487609863,0.4335793357933579,0.3969490098632212,20,BEKM
2,400,blpa,66.67513656616211,0.6291512915129152,0.5681137140535636,20,BLPA
3,400,bekm,62.02750897407532,0.4243542435424354,0.3798158296337697,20,BEKM
6,800,blpa,67.47047281265259,0.6236162361623616,0.568450605103824,20,BLPA
7,800,bekm,56.7611129283905,0.4188191881918819,0.365390350745434,20,BEKM
8,1000,blpa,68.00814366340637,0.6586715867158671,0.6028852933037788,20,BLPA
9,1000,bekm,59.97153258323669,0.4280442804428044,0.3801143486431737,20,BEKM
20,200,blpa,68.55841135978699,0.6494464944649446,0.5961277882068562,20,BLPA
21,200,bekm,58.58229351043701,0.4446494464944649,0.4146280506792741,20,BEKM
22,400,blpa,68.2815580368042,0.6512915129151291,0.5976345520400752,20,BLPA
23,400,bekm,64.20066905021667,0.4280442804428044,0.3913545394692146,20,BEKM
26,800,blpa,68.91438841819763,0.6402214022140221,0.5794635555128432,20,BLPA
27,800,bekm,66.50210857391357,0.4243542435424354,0.3804547930485938,20,BEKM
28,1000,blpa,67.2759222984314,0.6752767527675276,0.6171316034375245,20,BLPA
29,1000,bekm,62.89204335212708,0.4132841328413284,0.36621455468454,20,BEKM
40,200,blpa,64.269779920578,0.6937269372693727,0.6395242890613213,19,BLPA
41,200,bekm,61.52862000465393,0.4409594095940959,0.3938245274077358,20,BEKM
42,400,blpa,63.6084668636322,0.7029520295202952,0.653423645320197,19,BLPA
43,400,bekm,59.91433620452881,0.4372693726937269,0.386544245855566,20,BEKM
46,800,blpa,68.60716414451599,0.6494464944649446,0.6002264839794967,20,BLPA
47,800,bekm,58.48207020759583,0.3985239852398524,0.3673652617607617,20,BEKM
48,1000,blpa,70.01957821846008,0.6697416974169742,0.6193431010048426,20,BLPA
49,1000,bekm,59.35351872444153,0.4335793357933579,0.3863071652870427,20,BEKM
60,200,blpa,58.34748315811157,0.6992619926199262,0.6461265711955757,17,BLPA
61,200,bekm,59.19181990623474,0.4225092250922509,0.3780750229434425,20,BEKM
62,400,blpa,69.22499418258667,0.6752767527675276,0.6318603239879914,20,BLPA
63,400,bekm,59.30103397369385,0.4243542435424354,0.3891044778493927,20,BEKM
66,800,blpa,68.29872870445251,0.6383763837638377,0.5853678431479453,20,BLPA
67,800,bekm,62.25161337852478,0.4446494464944649,0.4021882384110182,20,BEKM
68,1000,blpa,66.96545886993408,0.6512915129151291,0.5986016919890176,20,BLPA
69,1000,bekm,60.69885015487671,0.4354243542435424,0.3871030805484587,20,BEKM
80,200,blpa,57.59407544136048,0.6789667896678967,0.6161141889568136,17,BLPA
81,200,bekm,52.69371700286865,0.4298892988929889,0.3921122582215993,19,BEKM
82,400,blpa,65.53401279449463,0.6494464944649446,0.5919126702258042,20,BLPA
83,400,bekm,62.14864015579224,0.4298892988929889,0.3821499216785411,20,BEKM
86,800,blpa,68.43551874160767,0.6605166051660517,0.6118512061698305,20,BLPA
87,800,bekm,59.03998374938965,0.4077490774907749,0.3589812046804313,20,BEKM
88,1000,blpa,68.13150596618652,0.6568265682656826,0.6013978508708364,20,BLPA
89,1000,bekm,60.83726620674133,0.4225092250922509,0.3770232716825997,20,BEKM
100,200,blpa,67.2412588596344,0.6476014760147601,0.6015812203291538,20,BLPA
