,# edges,partition,running time,accuracy,f1,# shards,setting
0,200,blpa,72.40359878540039,0.6420664206642066,0.5816048459016729,20,BLPA
1,200,bekm,71.19705581665039,0.4225092250922509,0.3689615005227716,20,BEKM
2,400,blpa,73.5772590637207,0.6420664206642066,0.5957765654428522,20,BLPA
3,400,bekm,70.95337414741516,0.4114391143911439,0.3633033109697817,20,BEKM
6,800,blpa,69.25676226615906,0.6309963099630996,0.5840729257408973,20,BLPA
7,800,bekm,73.12334394454956,0.4261992619926199,0.376459315899603,20,BEKM
8,1000,blpa,74.4598171710968,0.6586715867158671,0.6019746118242943,20,BLPA
9,1000,bekm,74.66553950309753,0.4243542435424354,0.3767717538485425,20,BEKM
20,200,blpa,63.386234521865845,0.6845018450184502,0.6364821749182052,18,BLPA
21,200,bekm,70.83500480651855,0.4169741697416974,0.3703692904176998,20,BEKM
22,400,blpa,68.41016912460327,0.6402214022140221,0.5878088113968757,19,BLPA
23,400,bekm,75.4473021030426,0.4261992619926199,0.3730144457662673,20,BEKM
26,800,blpa,73.59045267105103,0.6346863468634686,0.5840047809140686,20,BLPA
27,800,bekm,73.35841965675354,0.4077490774907749,0.3534312114053196,20,BEKM
28,1000,blpa,72.87587332725525,0.6402214022140221,0.5903665331810003,20,BLPA
29,1000,bekm,68.99991059303284,0.4077490774907749,0.3594453607108397,20,BEKM
40,200,blpa,72.36151576042175,0.6365313653136532,0.5871588171126779,20,BLPA
41,200,bekm,63.54929637908936,0.4298892988929889,0.3813803581163929,18,BEKM
42,400,blpa,73.11927604675293,0.6199261992619927,0.5582767814938441,20,BLPA
43,400,bekm,72.78594398498535,0.4188191881918819,0.3741824420551745,20,BEKM
46,800,blpa,73.25850772857666,0.6328413284132841,0.5727156038380002,20,BLPA
47,800,bekm,71.33032584190369,0.4114391143911439,0.3659368313984943,20,BEKM
48,1000,blpa,71.18200635910034,0.6531365313653137,0.6039566084461486,20,BLPA
49,1000,bekm,68.18981003761292,0.4188191881918819,0.3718221896225322,20,BEKM
60,200,blpa,68.1829400062561,0.6051660516605166,0.546017777844922,20,BLPA
61,200,bekm,68.26312804222107,0.4169741697416974,0.3677730669018064,20,BEKM
62,400,blpa,66.51066327095032,0.6125461254612546,0.5585676591294026,20,BLPA
63,400,bekm,64.21510767936707,0.4114391143911439,0.3747680197227144,20,BEKM
66,800,blpa,67.0416042804718,0.6365313653136532,0.5832855654290655,20,BLPA
67,800,bekm,64.39877462387085,0.4243542435424354,0.3666009970498341,20,BEKM
68,1000,blpa,67.70688915252686,0.6402214022140221,0.5808977642649777,20,BLPA
69,1000,bekm,65.70511770248413,0.4022140221402214,0.3619030987439401,20,BEKM
80,200,blpa,58.9244122505188,0.6605166051660517,0.6036702225402912,18,BLPA
81,200,bekm,54.845749616622925,0.4261992619926199,0.3798814519212077,18,BEKM
82,400,blpa,68.35322737693787,0.6457564575645757,0.5926477825935885,20,BLPA
83,400,bekm,66.14141583442688,0.4280442804428044,0.3737898574067691,20,BEKM
86,800,blpa,66.56076645851135,0.6328413284132841,0.5732458011044043,20,BLPA
87,800,bekm,65.42444777488708,0.4169741697416974,0.3717558720496755,20,BEKM
88,1000,blpa,67.54640555381775,0.6512915129151291,0.5979264733069506,20,BLPA
89,1000,bekm,63.40465044975281,0.4298892988929889,0.3790686599053829,20,BEKM
100,200,blpa,62.70602917671204,0.6678966789667896,0.6174801834086742,19,BLPA
101,200,bekm,64.68529891967773,0.4169741697416974,0.3657204184087987,20,BEKM
102,400,blpa,73.10411739349365,0.6494464944649446,0.5919915343780849,20,BLPA
103,400,bekm,67.8394181728363,0.4151291512915129,0.3678048396549666,20,BEKM
106,800,blpa,67.45099401473999,0.6217712177121771,0.5577104392910344,20,BLPA
107,800,bekm,71.17025423049927,0.4169741697416974,0.3690733597930749,20,BEKM
108,1000,blpa,67.08069086074829,0.6346863468634686,0.5744505859665592,20,BLPA
109,1000,bekm,68.76412773132324,0.4261992619926199,0.3624735867080548,20,BEKM
120,200,blpa,63.20657825469971,0.6383763837638377,0.5824189800040085,19,BLPA
121,200,bekm,63.5896418094635,0.4243542435424354,0.3731867605773675,19,BEKM
122,400,blpa,67.97753095626831,0.6309963099630996,0.5813282477566569,20,BLPA
123,400,bekm,66.18345046043396,0.4151291512915129,0.361427594805142,20,BEKM
126,800,blpa,67.13244152069092,0.6162361623616236,0.551016258091402,20,BLPA
127,800,bekm,66.92580819129944,0.4188191881918819,0.3691021921870783,20,BEKM
128,1000,blpa,69.01034474372864,0.6236162361623616,0.568240309943578,20,BLPA
129,1000,bekm,71.13185667991638,0.4169741697416974,0.3607774292532789,20,BEKM
140,200,blpa,66.53297472000122,0.6383763837638377,0.573929321567739,20,BLPA
141,200,bekm,65.08919191360474,0.4151291512915129,0.3556294138504917,20,BEKM
142,400,blpa,65.8770592212677,0.6125461254612546,0.5531186115337586,20,BLPA
143,400,bekm,64.85579419136047,0.4151291512915129,0.3635900980167046,20,BEKM
146,800,blpa,66.42021059989929,0.6291512915129152,0.5690452202913859,20,BLPA
147,800,bekm,65.35684823989868,0.3985239852398524,0.3600436985070531,20,BEKM
148,1000,blpa,64.59476041793823,0.6291512915129152,0.5682857328389079,20,BLPA
149,1000,bekm,65.1178286075592,0.4132841328413284,0.3622255004314432,20,BEKM
160,200,blpa,62.33873677253723,0.6217712177121771,0.5631701467947459,19,BLPA
161,200,bekm,67.14418411254883,0.4151291512915129,0.3651877148592996,20,BEKM
162,400,blpa,63.387775182724,0.6642066420664207,0.6083547232819321,19,BLPA
163,400,bekm,68.405513048172,0.4298892988929889,0.3754225968699846,20,BEKM
166,800,blpa,66.52642941474915,0.6439114391143912,0.5873699482682185,20,BLPA
167,800,bekm,67.45297527313232,0.4243542435424354,0.3727867489607162,20,BEKM
168,1000,blpa,66.8747501373291,0.6328413284132841,0.5661412080648404,20,BLPA
169,1000,bekm,65.95804405212402,0.4225092250922509,0.3686414083469694,20,BEKM
180,200,blpa,66.38869261741638,0.6383763837638377,0.5852791222156457,20,BLPA
181,200,bekm,60.16488862037659,0.4188191881918819,0.3701243704539192,19,BEKM
