,# edges,accuracy,setting
0,200,0.7567567567567568,Retrain
1,400,0.7432432432432432,Retrain
2,800,0.7447447447447447,Retrain
3,1000,0.7342342342342343,Retrain
4,200,0.7462462462462462,Retrain
5,400,0.7462462462462462,Retrain
6,800,0.7507507507507507,Retrain
7,1000,0.7297297297297297,Retrain
8,200,0.7537537537537538,Retrain
9,400,0.7582582582582582,Retrain
10,800,0.7267267267267268,Retrain
11,1000,0.7327327327327328,Retrain
12,200,0.7537537537537538,Retrain
13,400,0.7447447447447447,Retrain
14,800,0.7402402402402403,Retrain
15,1000,0.7387387387387387,Retrain
16,200,0.7492492492492493,Retrain
17,400,0.7402402402402403,Retrain
18,800,0.7417417417417418,Retrain
19,1000,0.7147147147147147,Retrain
20,200,0.7417417417417418,Retrain
21,400,0.7267267267267268,Retrain
22,800,0.7147147147147147,Retrain
23,1000,0.7297297297297297,Retrain
24,200,0.7552552552552553,Retrain
25,400,0.7492492492492493,Retrain
26,800,0.7462462462462462,Retrain
27,1000,0.7492492492492493,Retrain
28,200,0.7552552552552553,Retrain
29,400,0.7357357357357357,Retrain
30,800,0.7327327327327328,Retrain
31,1000,0.6861861861861862,Retrain
32,200,0.7492492492492493,Retrain
33,400,0.7357357357357357,Retrain
34,800,0.7387387387387387,Retrain
35,1000,0.7432432432432432,Retrain
36,200,0.7402402402402403,Retrain
37,400,0.7432432432432432,Retrain
38,800,0.7357357357357357,Retrain
39,1000,0.7282282282282282,Retrain
40,200,0.7237237237237237,ERAEDGE
41,400,0.7237237237237237,ERAEDGE
42,800,0.6936936936936937,ERAEDGE
43,1000,0.6801801801801802,ERAEDGE
44,200,0.7657657657657657,ERAEDGE
45,400,0.7627627627627628,ERAEDGE
46,800,0.7357357357357357,ERAEDGE
47,1000,0.7267267267267268,ERAEDGE
48,200,0.7417417417417418,ERAEDGE
49,400,0.7402402402402403,ERAEDGE
50,800,0.7042042042042042,ERAEDGE
51,1000,0.6966966966966966,ERAEDGE
52,200,0.7567567567567568,ERAEDGE
53,400,0.7507507507507507,ERAEDGE
54,800,0.7342342342342343,ERAEDGE
55,1000,0.7207207207207207,ERAEDGE
56,200,0.7462462462462462,ERAEDGE
57,400,0.7432432432432432,ERAEDGE
58,800,0.7222222222222222,ERAEDGE
59,1000,0.7177177177177178,ERAEDGE
60,200,0.7432432432432432,ERAEDGE
61,400,0.7402402402402403,ERAEDGE
62,800,0.7237237237237237,ERAEDGE
63,1000,0.7102102102102102,ERAEDGE
64,200,0.7432432432432432,ERAEDGE
65,400,0.7432432432432432,ERAEDGE
66,800,0.7417417417417418,ERAEDGE
67,1000,0.7342342342342343,ERAEDGE
68,200,0.7417417417417418,ERAEDGE
69,400,0.7312312312312312,ERAEDGE
70,800,0.7162162162162162,ERAEDGE
71,1000,0.7027027027027027,ERAEDGE
72,200,0.7552552552552553,ERAEDGE
73,400,0.7492492492492493,ERAEDGE
74,800,0.7447447447447447,ERAEDGE
75,1000,0.7402402402402403,ERAEDGE
76,200,0.7447447447447447,ERAEDGE
77,400,0.7417417417417418,ERAEDGE
78,800,0.7132132132132132,ERAEDGE
79,1000,0.7132132132132132,ERAEDGE
