,# edges,accuracy,setting
0,200,0.8616236162361623,Retrain
1,400,0.8634686346863468,Retrain
2,800,0.8634686346863468,Retrain
3,1000,0.8579335793357934,Retrain
4,200,0.8653136531365314,Retrain
5,400,0.8579335793357934,Retrain
6,800,0.8634686346863468,Retrain
7,1000,0.8616236162361623,Retrain
8,200,0.8726937269372693,Retrain
9,400,0.8671586715867159,Retrain
10,800,0.8708487084870848,Retrain
11,1000,0.8708487084870848,Retrain
12,200,0.8671586715867159,Retrain
13,400,0.8708487084870848,Retrain
14,800,0.8634686346863468,Retrain
15,1000,0.8579335793357934,Retrain
16,200,0.8671586715867159,Retrain
17,400,0.8671586715867159,Retrain
18,800,0.8597785977859779,Retrain
19,1000,0.8505535055350554,Retrain
20,200,0.8653136531365314,Retrain
21,400,0.8690036900369004,Retrain
22,800,0.8653136531365314,Retrain
23,1000,0.8690036900369004,Retrain
24,200,0.8616236162361623,Retrain
25,400,0.8579335793357934,Retrain
26,800,0.8653136531365314,Retrain
27,1000,0.8708487084870848,Retrain
28,200,0.8763837638376384,Retrain
29,400,0.8763837638376384,Retrain
30,800,0.8671586715867159,Retrain
31,1000,0.8597785977859779,Retrain
32,200,0.8690036900369004,Retrain
33,400,0.8690036900369004,Retrain
34,800,0.8653136531365314,Retrain
35,1000,0.8523985239852399,Retrain
36,200,0.8634686346863468,Retrain
37,400,0.8634686346863468,Retrain
38,800,0.8708487084870848,Retrain
39,1000,0.8597785977859779,Retrain
40,200,0.8745387453874539,ERAEDGE
41,400,0.8708487084870848,ERAEDGE
42,800,0.8634686346863468,ERAEDGE
43,1000,0.8671586715867159,ERAEDGE
44,200,0.8579335793357934,ERAEDGE
45,400,0.8616236162361623,ERAEDGE
46,800,0.8616236162361623,ERAEDGE
47,1000,0.8560885608856088,ERAEDGE
48,200,0.8671586715867159,ERAEDGE
49,400,0.8653136531365314,ERAEDGE
50,800,0.8708487084870848,ERAEDGE
51,1000,0.8671586715867159,ERAEDGE
52,200,0.8597785977859779,ERAEDGE
53,400,0.8653136531365314,ERAEDGE
54,800,0.8597785977859779,ERAEDGE
55,1000,0.8560885608856088,ERAEDGE
56,200,0.8634686346863468,ERAEDGE
57,400,0.8579335793357934,ERAEDGE
58,800,0.8634686346863468,ERAEDGE
59,1000,0.8542435424354243,ERAEDGE
60,200,0.8634686346863468,ERAEDGE
61,400,0.8671586715867159,ERAEDGE
62,800,0.8597785977859779,ERAEDGE
63,1000,0.8579335793357934,ERAEDGE
64,200,0.8690036900369004,ERAEDGE
65,400,0.8597785977859779,ERAEDGE
66,800,0.8653136531365314,ERAEDGE
67,1000,0.8634686346863468,ERAEDGE
68,200,0.8653136531365314,ERAEDGE
69,400,0.8653136531365314,ERAEDGE
70,800,0.8726937269372693,ERAEDGE
71,1000,0.8708487084870848,ERAEDGE
72,200,0.8745387453874539,ERAEDGE
73,400,0.8745387453874539,ERAEDGE
74,800,0.8726937269372693,ERAEDGE
75,1000,0.8690036900369004,ERAEDGE
76,200,0.8616236162361623,ERAEDGE
77,400,0.8634686346863468,ERAEDGE
78,800,0.8597785977859779,ERAEDGE
79,1000,0.8597785977859779,ERAEDGE
