,# edges,accuracy,setting
0,200,0.8560885608856088,Retrain
1,400,0.8357933579335793,Retrain
2,800,0.8394833948339483,Retrain
3,1000,0.8376383763837638,Retrain
4,200,0.8579335793357934,Retrain
5,400,0.8468634686346863,Retrain
6,800,0.8505535055350554,Retrain
7,1000,0.8450184501845018,Retrain
8,200,0.8505535055350554,Retrain
9,400,0.8376383763837638,Retrain
10,800,0.8450184501845018,Retrain
11,1000,0.8413284132841329,Retrain
12,200,0.8542435424354243,Retrain
13,400,0.8487084870848709,Retrain
14,800,0.8487084870848709,Retrain
15,1000,0.8321033210332104,Retrain
16,200,0.8450184501845018,Retrain
17,400,0.8376383763837638,Retrain
18,800,0.8357933579335793,Retrain
19,1000,0.8302583025830258,Retrain
20,200,0.8560885608856088,Retrain
21,400,0.8284132841328413,Retrain
22,800,0.8394833948339483,Retrain
23,1000,0.8468634686346863,Retrain
24,200,0.8560885608856088,Retrain
25,400,0.8487084870848709,Retrain
26,800,0.8302583025830258,Retrain
27,1000,0.8210332103321033,Retrain
28,200,0.8413284132841329,Retrain
29,400,0.8413284132841329,Retrain
30,800,0.8321033210332104,Retrain
31,1000,0.8284132841328413,Retrain
32,200,0.8487084870848709,Retrain
33,400,0.8523985239852399,Retrain
34,800,0.8376383763837638,Retrain
35,1000,0.8450184501845018,Retrain
36,200,0.8468634686346863,Retrain
37,400,0.8376383763837638,Retrain
38,800,0.8487084870848709,Retrain
39,1000,0.8376383763837638,Retrain
40,200,0.8468634686346863,ERAEDGE
41,400,0.8431734317343174,ERAEDGE
42,800,0.8265682656826568,ERAEDGE
43,1000,0.8247232472324724,ERAEDGE
44,200,0.8505535055350554,ERAEDGE
45,400,0.8413284132841329,ERAEDGE
46,800,0.8339483394833949,ERAEDGE
47,1000,0.8321033210332104,ERAEDGE
48,200,0.8542435424354243,ERAEDGE
49,400,0.8487084870848709,ERAEDGE
50,800,0.8431734317343174,ERAEDGE
51,1000,0.8284132841328413,ERAEDGE
52,200,0.8321033210332104,ERAEDGE
53,400,0.8284132841328413,ERAEDGE
54,800,0.8044280442804428,ERAEDGE
55,1000,0.7952029520295203,ERAEDGE
56,200,0.8468634686346863,ERAEDGE
57,400,0.8413284132841329,ERAEDGE
58,800,0.8302583025830258,ERAEDGE
59,1000,0.8154981549815498,ERAEDGE
60,200,0.8450184501845018,ERAEDGE
61,400,0.8431734317343174,ERAEDGE
62,800,0.8431734317343174,ERAEDGE
63,1000,0.8357933579335793,ERAEDGE
64,200,0.8468634686346863,ERAEDGE
65,400,0.8487084870848709,ERAEDGE
66,800,0.8431734317343174,ERAEDGE
67,1000,0.8339483394833949,ERAEDGE
68,200,0.8394833948339483,ERAEDGE
69,400,0.8394833948339483,ERAEDGE
70,800,0.8265682656826568,ERAEDGE
71,1000,0.8210332103321033,ERAEDGE
72,200,0.8376383763837638,ERAEDGE
73,400,0.8357933579335793,ERAEDGE
74,800,0.8081180811808119,ERAEDGE
75,1000,0.7952029520295203,ERAEDGE
76,200,0.8413284132841329,ERAEDGE
77,400,0.8357933579335793,ERAEDGE
78,800,0.8302583025830258,ERAEDGE
79,1000,0.8265682656826568,ERAEDGE
