,# edges,accuracy,setting
0,200,0.7684563758389261,Retrain
1,400,0.761744966442953,Retrain
2,800,0.7651006711409396,Retrain
3,1000,0.7348993288590604,Retrain
4,200,0.7416107382550335,Retrain
5,400,0.7516778523489933,Retrain
6,800,0.761744966442953,Retrain
7,1000,0.7684563758389261,Retrain
8,200,0.7550335570469798,Retrain
9,400,0.7516778523489933,Retrain
10,800,0.7583892617449665,Retrain
11,1000,0.761744966442953,Retrain
12,200,0.7550335570469798,Retrain
13,400,0.7751677852348994,Retrain
14,800,0.7550335570469798,Retrain
15,1000,0.7348993288590604,Retrain
16,200,0.7651006711409396,Retrain
17,400,0.7416107382550335,Retrain
18,800,0.7483221476510067,Retrain
19,1000,0.7550335570469798,Retrain
20,200,0.7550335570469798,Retrain
21,400,0.7583892617449665,Retrain
22,800,0.7684563758389261,Retrain
23,1000,0.7583892617449665,Retrain
24,200,0.7516778523489933,Retrain
25,400,0.7550335570469798,Retrain
26,800,0.7550335570469798,Retrain
27,1000,0.7550335570469798,Retrain
28,200,0.7516778523489933,Retrain
29,400,0.7550335570469798,Retrain
30,800,0.7516778523489933,Retrain
31,1000,0.7416107382550335,Retrain
32,200,0.7583892617449665,Retrain
33,400,0.7348993288590604,Retrain
34,800,0.7516778523489933,Retrain
35,1000,0.7718120805369127,Retrain
36,200,0.7651006711409396,Retrain
37,400,0.761744966442953,Retrain
38,800,0.7751677852348994,Retrain
39,1000,0.7483221476510067,Retrain
40,200,0.7550335570469798,ERAEDGE
41,400,0.7583892617449665,ERAEDGE
42,800,0.7550335570469798,ERAEDGE
43,1000,0.7550335570469798,ERAEDGE
44,200,0.7583892617449665,ERAEDGE
45,400,0.7583892617449665,ERAEDGE
46,800,0.7550335570469798,ERAEDGE
47,1000,0.7583892617449665,ERAEDGE
48,200,0.7516778523489933,ERAEDGE
49,400,0.7449664429530202,ERAEDGE
50,800,0.7651006711409396,ERAEDGE
51,1000,0.7718120805369127,ERAEDGE
52,200,0.7550335570469798,ERAEDGE
53,400,0.7583892617449665,ERAEDGE
54,800,0.7651006711409396,ERAEDGE
55,1000,0.7651006711409396,ERAEDGE
56,200,0.761744966442953,ERAEDGE
57,400,0.7516778523489933,ERAEDGE
58,800,0.7483221476510067,ERAEDGE
59,1000,0.7483221476510067,ERAEDGE
60,200,0.7718120805369127,ERAEDGE
61,400,0.7684563758389261,ERAEDGE
62,800,0.7818791946308725,ERAEDGE
63,1000,0.7751677852348994,ERAEDGE
64,200,0.7684563758389261,ERAEDGE
65,400,0.7684563758389261,ERAEDGE
66,800,0.761744966442953,ERAEDGE
67,1000,0.7651006711409396,ERAEDGE
68,200,0.7550335570469798,ERAEDGE
69,400,0.7516778523489933,ERAEDGE
70,800,0.7483221476510067,ERAEDGE
71,1000,0.7483221476510067,ERAEDGE
72,200,0.7516778523489933,ERAEDGE
73,400,0.7550335570469798,ERAEDGE
74,800,0.7651006711409396,ERAEDGE
75,1000,0.7583892617449665,ERAEDGE
76,200,0.761744966442953,ERAEDGE
77,400,0.761744966442953,ERAEDGE
78,800,0.7583892617449665,ERAEDGE
79,1000,0.7516778523489933,ERAEDGE
