,# Layer,Setting,Accuracy
0,1,RI-original,0.8118081180811808
1,1,RI-retrain,0.7878228782287823
2,1,RI-ours,0.7970479704797048
3,1,NF-original,0.8302583025830258
4,1,NF-retrain,0.7896678966789668
5,1,NF-ours,0.8154981549815498
6,2,RI-original,0.8321033210332104
7,2,RI-retrain,0.8228782287822878
8,2,RI-ours,0.8136531365313653
9,2,NF-original,0.8339483394833949
10,2,NF-retrain,0.8044280442804428
11,2,NF-ours,0.8191881918819188
12,3,RI-original,0.8579335793357934
13,3,RI-retrain,0.8228782287822878
14,3,RI-ours,0.8376383763837638
15,3,NF-original,0.8542435424354243
16,3,NF-retrain,0.8099630996309963
17,3,NF-ours,0.8154981549815498
18,4,RI-original,0.7158671586715867
19,4,RI-retrain,0.8302583025830258
20,4,RI-ours,0.7029520295202952
21,4,NF-original,0.8339483394833949
22,4,NF-retrain,0.8413284132841329
23,4,NF-ours,0.8136531365313653
24,1,RI-original,0.8191881918819188
25,1,RI-retrain,0.7988929889298892
26,1,RI-ours,0.8025830258302583
27,1,NF-original,0.8228782287822878
28,1,NF-retrain,0.7915129151291513
29,1,NF-ours,0.8044280442804428
30,2,RI-original,0.8321033210332104
31,2,RI-retrain,0.8228782287822878
32,2,RI-ours,0.8228782287822878
33,2,NF-original,0.8357933579335793
34,2,NF-retrain,0.8062730627306273
35,2,NF-ours,0.8191881918819188
36,3,RI-original,0.8302583025830258
37,3,RI-retrain,0.8339483394833949
38,3,RI-ours,0.8284132841328413
39,3,NF-original,0.8487084870848709
40,3,NF-retrain,0.8247232472324724
41,3,NF-ours,0.8339483394833949
42,4,RI-original,0.8154981549815498
43,4,RI-retrain,0.7915129151291513
44,4,RI-ours,0.8025830258302583
45,4,NF-original,0.8284132841328413
46,4,NF-retrain,0.8321033210332104
47,4,NF-ours,0.7509225092250923
48,1,RI-original,0.8284132841328413
49,1,RI-retrain,0.8025830258302583
50,1,RI-ours,0.8118081180811808
51,1,NF-original,0.8210332103321033
52,1,NF-retrain,0.8118081180811808
53,1,NF-ours,0.8081180811808119
54,2,RI-original,0.8431734317343174
55,2,RI-retrain,0.8191881918819188
56,2,RI-ours,0.8210332103321033
57,2,NF-original,0.8487084870848709
58,2,NF-retrain,0.8228782287822878
59,2,NF-ours,0.8302583025830258
60,3,RI-original,0.8394833948339483
61,3,RI-retrain,0.8081180811808119
62,3,RI-ours,0.8154981549815498
63,3,NF-original,0.8487084870848709
64,3,NF-retrain,0.7988929889298892
65,3,NF-ours,0.8210332103321033
66,4,RI-original,0.6937269372693727
67,4,RI-retrain,0.6918819188191881
68,4,RI-ours,0.5904059040590406
69,4,NF-original,0.8339483394833949
70,4,NF-retrain,0.8118081180811808
71,4,NF-ours,0.8154981549815498
72,1,RI-original,0.8210332103321033
73,1,RI-retrain,0.8136531365313653
74,1,RI-ours,0.7933579335793358
75,1,NF-original,0.8284132841328413
76,1,NF-retrain,0.8062730627306273
77,1,NF-ours,0.8136531365313653
78,2,RI-original,0.8468634686346863
79,2,RI-retrain,0.8099630996309963
80,2,RI-ours,0.8302583025830258
81,2,NF-original,0.8394833948339483
82,2,NF-retrain,0.8302583025830258
83,2,NF-ours,0.8228782287822878
84,3,RI-original,0.8505535055350554
85,3,RI-retrain,0.8136531365313653
86,3,RI-ours,0.8376383763837638
87,3,NF-original,0.8302583025830258
88,3,NF-retrain,0.8302583025830258
89,3,NF-ours,0.8302583025830258
90,4,RI-original,0.7915129151291513
91,4,RI-retrain,0.7527675276752768
92,4,RI-ours,0.7712177121771218
93,4,NF-original,0.7952029520295203
94,4,NF-retrain,0.8025830258302583
95,4,NF-ours,0.7693726937269373
96,1,RI-original,0.8210332103321033
97,1,RI-retrain,0.7767527675276753
98,1,RI-ours,0.7915129151291513
99,1,NF-original,0.8191881918819188
100,1,NF-retrain,0.7859778597785978
101,1,NF-ours,0.7896678966789668
102,2,RI-original,0.8450184501845018
103,2,RI-retrain,0.7859778597785978
104,2,RI-ours,0.8210332103321033
105,2,NF-original,0.8431734317343174
106,2,NF-retrain,0.8025830258302583
107,2,NF-ours,0.8118081180811808
108,3,RI-original,0.8191881918819188
109,3,RI-retrain,0.7915129151291513
110,3,RI-ours,0.7822878228782287
111,3,NF-original,0.8413284132841329
112,3,NF-retrain,0.8007380073800738
113,3,NF-ours,0.8062730627306273
114,4,RI-original,0.8394833948339483
115,4,RI-retrain,0.7287822878228782
116,4,RI-ours,0.7785977859778598
117,4,NF-original,0.8339483394833949
118,4,NF-retrain,0.8062730627306273
119,4,NF-ours,0.7933579335793358
120,1,RI-original,0.8191881918819188
121,1,RI-retrain,0.7822878228782287
122,1,RI-ours,0.7970479704797048
123,1,NF-original,0.8339483394833949
124,1,NF-retrain,0.7841328413284133
125,1,NF-ours,0.8081180811808119
126,2,RI-original,0.8468634686346863
127,2,RI-retrain,0.8007380073800738
128,2,RI-ours,0.8154981549815498
129,2,NF-original,0.8376383763837638
130,2,NF-retrain,0.8007380073800738
131,2,NF-ours,0.8136531365313653
132,3,RI-original,0.8247232472324724
133,3,RI-retrain,0.8044280442804428
134,3,RI-ours,0.8007380073800738
135,3,NF-original,0.8450184501845018
136,3,NF-retrain,0.7933579335793358
137,3,NF-ours,0.8173431734317343
138,4,RI-original,0.8339483394833949
139,4,RI-retrain,0.7933579335793358
140,4,RI-ours,0.7656826568265682
141,4,NF-original,0.8357933579335793
142,4,NF-retrain,0.8136531365313653
143,4,NF-ours,0.7675276752767528
144,1,RI-original,0.8210332103321033
145,1,RI-retrain,0.8007380073800738
146,1,RI-ours,0.7878228782287823
147,1,NF-original,0.8191881918819188
148,1,NF-retrain,0.7915129151291513
149,1,NF-ours,0.7896678966789668
150,2,RI-original,0.8339483394833949
151,2,RI-retrain,0.8044280442804428
152,2,RI-ours,0.8136531365313653
153,2,NF-original,0.8468634686346863
154,2,NF-retrain,0.7988929889298892
155,2,NF-ours,0.8191881918819188
156,3,RI-original,0.8523985239852399
157,3,RI-retrain,0.7638376383763837
158,3,RI-ours,0.8136531365313653
159,3,NF-original,0.8468634686346863
160,3,NF-retrain,0.8154981549815498
161,3,NF-ours,0.8173431734317343
162,4,RI-original,0.8394833948339483
163,4,RI-retrain,0.6808118081180812
164,4,RI-ours,0.7933579335793358
165,4,NF-original,0.8413284132841329
166,4,NF-retrain,0.8062730627306273
167,4,NF-ours,0.7896678966789668
168,1,RI-original,0.8210332103321033
169,1,RI-retrain,0.7841328413284133
170,1,RI-ours,0.7878228782287823
171,1,NF-original,0.8339483394833949
172,1,NF-retrain,0.7933579335793358
173,1,NF-ours,0.7988929889298892
174,2,RI-original,0.8468634686346863
175,2,RI-retrain,0.7988929889298892
176,2,RI-ours,0.8136531365313653
177,2,NF-original,0.8376383763837638
178,2,NF-retrain,0.8062730627306273
179,2,NF-ours,0.8265682656826568
180,3,RI-original,0.8376383763837638
181,3,RI-retrain,0.7933579335793358
182,3,RI-ours,0.8191881918819188
183,3,NF-original,0.8450184501845018
184,3,NF-retrain,0.7822878228782287
185,3,NF-ours,0.8154981549815498
186,4,RI-original,0.8321033210332104
187,4,RI-retrain,0.7804428044280443
188,4,RI-ours,0.7970479704797048
189,4,NF-original,0.8597785977859779
190,4,NF-retrain,0.7749077490774908
191,4,NF-ours,0.8154981549815498
192,1,RI-original,0.8265682656826568
193,1,RI-retrain,0.7822878228782287
194,1,RI-ours,0.7896678966789668
195,1,NF-original,0.8302583025830258
196,1,NF-retrain,0.7859778597785978
197,1,NF-ours,0.7896678966789668
198,2,RI-original,0.8357933579335793
199,2,RI-retrain,0.8099630996309963
200,2,RI-ours,0.8099630996309963
201,2,NF-original,0.8339483394833949
202,2,NF-retrain,0.7988929889298892
203,2,NF-ours,0.8025830258302583
204,3,RI-original,0.8376383763837638
205,3,RI-retrain,0.7952029520295203
206,3,RI-ours,0.8081180811808119
207,3,NF-original,0.8339483394833949
208,3,NF-retrain,0.8044280442804428
209,3,NF-ours,0.8025830258302583
210,4,RI-original,0.7232472324723247
211,4,RI-retrain,0.7232472324723247
212,4,RI-ours,0.6974169741697417
213,4,NF-original,0.8579335793357934
214,4,NF-retrain,0.7988929889298892
215,4,NF-ours,0.8228782287822878
216,1,RI-original,0.8099630996309963
217,1,RI-retrain,0.8025830258302583
218,1,RI-ours,0.7638376383763837
219,1,NF-original,0.8247232472324724
220,1,NF-retrain,0.7970479704797048
221,1,NF-ours,0.7952029520295203
222,2,RI-original,0.8505535055350554
223,2,RI-retrain,0.8081180811808119
224,2,RI-ours,0.8339483394833949
225,2,NF-original,0.8265682656826568
226,2,NF-retrain,0.8025830258302583
227,2,NF-ours,0.8081180811808119
228,3,RI-original,0.8468634686346863
229,3,RI-retrain,0.8136531365313653
230,3,RI-ours,0.8062730627306273
231,3,NF-original,0.8339483394833949
232,3,NF-retrain,0.8136531365313653
233,3,NF-ours,0.8118081180811808
234,4,RI-original,0.8025830258302583
235,4,RI-retrain,0.8007380073800738
236,4,RI-ours,0.7583025830258303
237,4,NF-original,0.8579335793357934
238,4,NF-retrain,0.8025830258302583
239,4,NF-ours,0.8191881918819188
