,# edges,setting,Accuracy
0,100,Adversarial,0.8173431734317343
1,500,Adversarial,0.8081180811808119
2,1000,Adversarial,0.7822878228782287
3,1500,Adversarial,0.7583025830258303
4,2000,Adversarial,0.7158671586715867
5,100,Benign,0.8118081180811808
6,500,Benign,0.8357933579335793
7,1000,Benign,0.8339483394833949
8,1500,Benign,0.8062730627306273
9,2000,Benign,0.8302583025830258
10,100,Unlearn,0.8210332103321033
11,500,Unlearn,0.8154981549815498
12,1000,Unlearn,0.8007380073800738
13,1500,Unlearn,0.7656826568265682
14,2000,Unlearn,0.7638376383763837
