,# edges,setting,Accuracy
0,100,Adversarial,0.8173431734317343
1,500,Adversarial,0.8062730627306273
2,1000,Adversarial,0.7988929889298892
3,1500,Adversarial,0.7988929889298892
4,2000,Adversarial,0.7195571955719557
5,100,Benign,0.8118081180811808
6,500,Benign,0.8247232472324724
7,1000,Benign,0.8247232472324724
8,1500,Benign,0.8284132841328413
9,2000,Benign,0.8154981549815498
10,100,Unlearn,0.8210332103321033
11,500,Unlearn,0.8154981549815498
12,1000,Unlearn,0.8136531365313653
13,1500,Unlearn,0.8062730627306273
14,2000,Unlearn,0.7656826568265682
