,retrain-acc,unlearn-acc,retrain-time,unlearn-time,retrain-f1,unlearn-f1
200,0.8590604026845637,0.8523489932885906,6.295057535171509,2.7758307456970215,0.8588314910895556,0.8521091811414392
400,0.7785234899328859,0.8523489932885906,6.038597106933594,2.413780927658081,0.7710040983606559,0.8521091811414392
600,0.8322147651006712,0.8489932885906041,2.6397366523742676,2.377870559692383,0.8320256132756132,0.8487053646979184
800,0.8355704697986577,0.8489932885906041,3.0932412147521973,2.983264446258545,0.8352569526710667,0.8487053646979184
1000,0.8389261744966443,0.8489932885906041,2.9156734943389893,2.4322848320007324,0.8386645612452064,0.8487053646979184
1200,0.8221476510067114,0.8489932885906041,3.086430549621582,3.2831993103027344,0.8220975681185866,0.8487053646979184
1400,0.8523489932885906,0.8489932885906041,3.6074254512786865,2.8303229808807373,0.852022390754785,0.8487053646979184
1600,0.8120805369127517,0.8489932885906041,3.464430809020996,2.222477436065674,0.8070751445086706,0.8487053646979184
1800,0.8489932885906041,0.8456375838926175,3.990834951400757,2.8973495960235596,0.8485002541942044,0.8452961357890935
2000,0.802013422818792,0.8456375838926175,3.9004154205322266,2.2543530464172363,0.7965116951957687,0.8452961357890935
