,# Layer,Setting,Accuracy
0,1,RI-original,0.7012012012012012
1,1,RI-retrain,0.6741741741741741
2,1,RI-ours,0.6876876876876877
3,1,NF-original,0.7087087087087087
4,1,NF-retrain,0.6876876876876877
5,1,NF-ours,0.6981981981981982
6,2,RI-original,0.7162162162162162
7,2,RI-retrain,0.6966966966966966
8,2,RI-ours,0.6921921921921922
9,2,NF-original,0.7117117117117117
10,2,NF-retrain,0.6936936936936937
11,2,NF-ours,0.7132132132132132
12,3,RI-original,0.7012012012012012
13,3,RI-retrain,0.7147147147147147
14,3,RI-ours,0.6906906906906907
15,3,NF-original,0.7222222222222222
16,3,NF-retrain,0.7117117117117117
17,3,NF-ours,0.7222222222222222
18,4,RI-original,0.7012012012012012
19,4,RI-retrain,0.7132132132132132
20,4,RI-ours,0.5885885885885885
21,4,NF-original,0.7072072072072072
22,4,NF-retrain,0.7057057057057057
23,4,NF-ours,0.6876876876876877
