,# Layer,Setting,Accuracy
0,1,RI-original,0.8837638376383764
1,1,RI-retrain,0.8450184501845018
2,1,RI-ours,0.8800738007380073
3,1,NF-original,0.8819188191881919
4,1,NF-retrain,0.8431734317343174
5,1,NF-ours,0.8671586715867159
6,2,RI-original,0.8856088560885609
7,2,RI-retrain,0.8487084870848709
8,2,RI-ours,0.7509225092250923
9,2,NF-original,0.8874538745387454
10,2,NF-retrain,0.8431734317343174
11,2,NF-ours,0.8745387453874539
12,3,RI-original,0.8819188191881919
13,3,RI-retrain,0.8579335793357934
14,3,RI-ours,0.8487084870848709
15,3,NF-original,0.8856088560885609
16,3,NF-retrain,0.8523985239852399
17,3,NF-ours,0.8726937269372693
18,4,RI-original,0.8856088560885609
19,4,RI-retrain,0.8413284132841329
20,4,RI-ours,0.8726937269372693
21,4,NF-original,0.8985239852398524
22,4,NF-retrain,0.8560885608856088
23,4,NF-ours,0.8007380073800738
24,1,RI-original,0.8800738007380073
25,1,RI-retrain,0.8376383763837638
26,1,RI-ours,0.8579335793357934
27,1,NF-original,0.8819188191881919
28,1,NF-retrain,0.8339483394833949
29,1,NF-ours,0.8523985239852399
30,2,RI-original,0.8837638376383764
31,2,RI-retrain,0.8210332103321033
32,2,RI-ours,0.8376383763837638
33,2,NF-original,0.8874538745387454
34,2,NF-retrain,0.8247232472324724
35,2,NF-ours,0.8431734317343174
36,3,RI-original,0.8837638376383764
37,3,RI-retrain,0.8450184501845018
38,3,RI-ours,0.8284132841328413
39,3,NF-original,0.8929889298892989
40,3,NF-retrain,0.8284132841328413
41,3,NF-ours,0.8653136531365314
42,4,RI-original,0.8726937269372693
43,4,RI-retrain,0.8247232472324724
44,4,RI-ours,0.8431734317343174
45,4,NF-original,0.8782287822878229
46,4,NF-retrain,0.8468634686346863
47,4,NF-ours,0.8431734317343174
48,1,RI-original,0.8763837638376384
49,1,RI-retrain,0.8450184501845018
50,1,RI-ours,0.8782287822878229
51,1,NF-original,0.8745387453874539
52,1,NF-retrain,0.8450184501845018
53,1,NF-ours,0.8690036900369004
54,2,RI-original,0.8911439114391144
55,2,RI-retrain,0.8579335793357934
56,2,RI-ours,0.8081180811808119
57,2,NF-original,0.8856088560885609
58,2,NF-retrain,0.8523985239852399
59,2,NF-ours,0.8579335793357934
60,3,RI-original,0.8800738007380073
61,3,RI-retrain,0.8357933579335793
62,3,RI-ours,0.8025830258302583
63,3,NF-original,0.8856088560885609
64,3,NF-retrain,0.8616236162361623
65,3,NF-ours,0.8708487084870848
66,4,RI-original,0.8819188191881919
67,4,RI-retrain,0.8505535055350554
68,4,RI-ours,0.8542435424354243
69,4,NF-original,0.8948339483394834
70,4,NF-retrain,0.8560885608856088
71,4,NF-ours,0.8726937269372693
72,1,RI-original,0.8763837638376384
73,1,RI-retrain,0.8450184501845018
74,1,RI-ours,0.8690036900369004
75,1,NF-original,0.8819188191881919
76,1,NF-retrain,0.8468634686346863
77,1,NF-ours,0.8634686346863468
78,2,RI-original,0.8837638376383764
79,2,RI-retrain,0.8542435424354243
80,2,RI-ours,0.8062730627306273
81,2,NF-original,0.8892988929889298
82,2,NF-retrain,0.8431734317343174
83,2,NF-ours,0.8819188191881919
84,3,RI-original,0.8856088560885609
85,3,RI-retrain,0.8579335793357934
86,3,RI-ours,0.8487084870848709
87,3,NF-original,0.8856088560885609
88,3,NF-retrain,0.8542435424354243
89,3,NF-ours,0.8819188191881919
90,4,RI-original,0.8044280442804428
91,4,RI-retrain,0.7878228782287823
92,4,RI-ours,0.7785977859778598
93,4,NF-original,0.8929889298892989
94,4,NF-retrain,0.8431734317343174
95,4,NF-ours,0.8708487084870848
96,1,RI-original,0.8800738007380073
97,1,RI-retrain,0.8394833948339483
98,1,RI-ours,0.8745387453874539
99,1,NF-original,0.8763837638376384
100,1,NF-retrain,0.8357933579335793
101,1,NF-ours,0.8671586715867159
102,2,RI-original,0.8856088560885609
103,2,RI-retrain,0.8450184501845018
104,2,RI-ours,0.8339483394833949
105,2,NF-original,0.8837638376383764
106,2,NF-retrain,0.8339483394833949
107,2,NF-ours,0.8671586715867159
108,3,RI-original,0.8911439114391144
109,3,RI-retrain,0.8450184501845018
110,3,RI-ours,0.8284132841328413
111,3,NF-original,0.8874538745387454
112,3,NF-retrain,0.8376383763837638
113,3,NF-ours,0.8690036900369004
114,4,RI-original,0.8653136531365314
115,4,RI-retrain,0.8302583025830258
116,4,RI-ours,0.8450184501845018
117,4,NF-original,0.8745387453874539
118,4,NF-retrain,0.8321033210332104
119,4,NF-ours,0.8450184501845018
120,1,RI-original,0.8800738007380073
121,1,RI-retrain,0.8708487084870848
122,1,RI-ours,0.8800738007380073
123,1,NF-original,0.8819188191881919
