,# edges,setting,Accuracy
0,100,Adversarial,0.8376383763837638
1,500,Adversarial,0.8228782287822878
2,1000,Adversarial,0.8228782287822878
3,1500,Adversarial,0.8081180811808119
4,2000,Adversarial,0.7656826568265682
5,100,Benign,0.8302583025830258
6,500,Benign,0.8302583025830258
7,1000,Benign,0.8265682656826568
8,1500,Benign,0.8265682656826568
9,2000,Benign,0.8302583025830258
10,100,Unlearn,0.8394833948339483
11,500,Unlearn,0.8284132841328413
12,1000,Unlearn,0.8339483394833949
13,1500,Unlearn,0.7804428044280443
14,2000,Unlearn,0.7988929889298892
