,# edges,setting,accuracy,time
0,20,RE,0.8560885608856088,1.8395278453826904
1,20,UL,0.8321033210332104,3.5706539154052734
2,40,RE,0.8579335793357934,1.860675573348999
3,40,UL,0.8302583025830258,4.0815911293029785
4,60,RE,0.8523985239852399,1.7313177585601807
5,60,UL,0.8302583025830258,3.6237990856170654
6,80,RE,0.8468634686346863,1.8792250156402588
7,80,UL,0.8284132841328413,4.650760889053345
8,100,RE,0.8671586715867159,1.9215097427368164
9,100,UL,0.8284132841328413,5.2235143184661865
10,120,RE,0.8542435424354243,1.8991241455078125
11,120,UL,0.8302583025830258,5.94123101234436
12,140,RE,0.8653136531365314,1.901789665222168
13,140,UL,0.8321033210332104,4.053207635879517
14,160,RE,0.8284132841328413,1.826004981994629
15,160,UL,0.8321033210332104,4.797243118286133
16,180,RE,0.8468634686346863,1.916353702545166
17,180,UL,0.8321033210332104,4.909101963043213
18,200,RE,0.8321033210332104,1.8391234874725342
19,200,UL,0.8321033210332104,3.9346916675567627
