,# edges,setting,accuracy,time
0,20,RE,0.7327327327327328,1.6234986782073975
1,20,UL,0.7327327327327328,3.6244654655456543
2,40,RE,0.7327327327327328,1.6028621196746826
3,40,UL,0.7297297297297297,3.9048426151275635
4,60,RE,0.7402402402402403,1.5848867893218994
5,60,UL,0.7312312312312312,3.4846227169036865
6,80,RE,0.7297297297297297,1.7002873420715332
7,80,UL,0.7342342342342343,3.195173978805542
8,100,RE,0.7297297297297297,1.6598420143127441
9,100,UL,0.7312312312312312,3.9992501735687256
10,120,RE,0.7282282282282282,1.6962120532989502
11,120,UL,0.7297297297297297,3.161184310913086
12,140,RE,0.7252252252252253,1.6556358337402344
13,140,UL,0.7252252252252253,3.2222788333892822
14,160,RE,0.7102102102102102,1.678783655166626
15,160,UL,0.7267267267267268,3.304246425628662
16,180,RE,0.7147147147147147,1.7399952411651611
17,180,UL,0.7297297297297297,3.5193817615509033
18,200,RE,0.7177177177177178,1.6649260520935059
19,200,UL,0.7312312312312312,3.235107421875
