,# edges,setting,accuracy,time
0,20,RE,0.8837638376383764,1.0860135555267334
1,20,UL,0.8856088560885609,1.5554509162902832
2,40,RE,0.8782287822878229,1.0387284755706787
3,40,UL,0.8892988929889298,1.514641523361206
4,60,RE,0.8763837638376384,1.0861048698425293
5,60,UL,0.8874538745387454,1.4272091388702393
6,80,RE,0.8708487084870848,1.0394766330718994
7,80,UL,0.8874538745387454,1.3963360786437988
8,100,RE,0.8782287822878229,1.205244779586792
9,100,UL,0.8856088560885609,1.171651840209961
10,120,RE,0.8763837638376384,1.1823687553405762
11,120,UL,0.8819188191881919,1.1701850891113281
12,140,RE,0.8690036900369004,1.2823431491851807
13,140,UL,0.8819188191881919,1.3723030090332031
14,160,RE,0.8800738007380073,1.2992219924926758
15,160,UL,0.8819188191881919,1.6515660285949707
16,180,RE,0.8819188191881919,1.3112788200378418
17,180,UL,0.8819188191881919,1.4632644653320312
18,200,RE,0.8726937269372693,1.1587672233581543
19,200,UL,0.8856088560885609,1.3755793571472168
