,# edges,setting,accuracy,time
0,20,RE,0.7597597597597597,1.9326105117797852
1,20,UL,0.7582582582582582,2.963038206100464
2,40,RE,0.7507507507507507,1.837813377380371
3,40,UL,0.7582582582582582,2.62758207321167
4,60,RE,0.7567567567567568,1.8352620601654053
5,60,UL,0.7567567567567568,2.59723162651062
6,80,RE,0.7567567567567568,1.8520524501800537
7,80,UL,0.7522522522522522,2.6886377334594727
8,100,RE,0.7582582582582582,1.8520033359527588
9,100,UL,0.7507507507507507,2.483320713043213
10,120,RE,0.7507507507507507,1.8318824768066406
11,120,UL,0.7507507507507507,2.5533409118652344
12,140,RE,0.7462462462462462,2.0551981925964355
13,140,UL,0.7507507507507507,2.4679505825042725
14,160,RE,0.7492492492492493,1.886467456817627
15,160,UL,0.7492492492492493,2.526902675628662
16,180,RE,0.7507507507507507,1.904618740081787
17,180,UL,0.7507507507507507,2.622403621673584
18,200,RE,0.7462462462462462,1.8605148792266846
19,200,UL,0.7507507507507507,2.4774680137634277
