,# edges,setting,accuracy,time
0,20,RE,0.8800738007380073,1.3758718967437744
1,20,UL,0.8763837638376384,1.2240872383117676
2,40,RE,0.8782287822878229,1.2685210704803467
3,40,UL,0.8782287822878229,1.4458439350128174
4,60,RE,0.8763837638376384,1.3246920108795166
5,60,UL,0.8763837638376384,0.9973464012145996
6,80,RE,0.8819188191881919,1.438805103302002
7,80,UL,0.8782287822878229,1.1011152267456055
8,100,RE,0.8874538745387454,1.2075541019439697
9,100,UL,0.8782287822878229,1.0649473667144775
10,120,RE,0.8726937269372693,1.4744412899017334
11,120,UL,0.8782287822878229,1.0598657131195068
12,140,RE,0.8800738007380073,1.4044806957244873
13,140,UL,0.8782287822878229,1.4615147113800049
14,160,RE,0.8745387453874539,1.578169584274292
15,160,UL,0.8763837638376384,1.453495740890503
16,180,RE,0.8763837638376384,1.6445143222808838
17,180,UL,0.8763837638376384,1.6775104999542236
18,200,RE,0.8782287822878229,1.4668898582458496
19,200,UL,0.8782287822878229,1.1805264949798584
