,# edges,target model,eculiden-distance
0,200,gcn_RE_vs_UL,102.06951904296875
1,200,gcn_RE_vs_OR,102.49334716796875
2,400,gcn_RE_vs_UL,102.10184478759766
3,400,gcn_RE_vs_OR,102.5224380493164
4,600,gcn_RE_vs_UL,100.35820770263672
5,600,gcn_RE_vs_OR,100.76686096191406
6,800,gcn_RE_vs_UL,101.94100952148438
7,800,gcn_RE_vs_OR,102.3450927734375
8,1000,gcn_RE_vs_UL,100.07500457763672
9,1000,gcn_RE_vs_OR,100.47118377685547
10,1200,gcn_RE_vs_UL,101.18631744384766
11,1200,gcn_RE_vs_OR,101.57107543945312
12,1400,gcn_RE_vs_UL,101.21281433105469
13,1400,gcn_RE_vs_OR,101.59756469726562
14,1600,gcn_RE_vs_UL,100.97093963623047
15,1600,gcn_RE_vs_OR,101.33745574951172
16,1800,gcn_RE_vs_UL,100.33077239990234
17,1800,gcn_RE_vs_OR,100.70159149169922
18,2000,gcn_RE_vs_UL,99.5366439819336
19,2000,gcn_RE_vs_OR,99.89777374267578
20,200,gat_RE_vs_UL,80.0111083984375
21,200,gat_RE_vs_OR,80.1099624633789
22,400,gat_RE_vs_UL,83.7674331665039
23,400,gat_RE_vs_OR,83.86430358886719
24,600,gat_RE_vs_UL,78.81853485107422
25,600,gat_RE_vs_OR,78.91895294189453
26,800,gat_RE_vs_UL,80.1135482788086
27,800,gat_RE_vs_OR,80.21211242675781
28,1000,gat_RE_vs_UL,80.27850341796875
29,1000,gat_RE_vs_OR,80.37614440917969
30,1200,gat_RE_vs_UL,80.23394012451172
31,1200,gat_RE_vs_OR,80.33218383789062
32,1400,gat_RE_vs_UL,79.96034240722656
33,1400,gat_RE_vs_OR,80.0573501586914
34,1600,gat_RE_vs_UL,78.87503051757812
35,1600,gat_RE_vs_OR,78.97158813476562
36,1800,gat_RE_vs_UL,81.3087387084961
37,1800,gat_RE_vs_OR,81.40475463867188
38,2000,gat_RE_vs_UL,79.713134765625
39,2000,gat_RE_vs_OR,79.8106918334961
40,200,sage_RE_vs_UL,75.9392318725586
41,200,sage_RE_vs_OR,76.1545181274414
42,400,sage_RE_vs_UL,75.86922454833984
43,400,sage_RE_vs_OR,76.08867645263672
44,600,sage_RE_vs_UL,77.18325805664062
45,600,sage_RE_vs_OR,77.40300750732422
46,800,sage_RE_vs_UL,76.56710815429688
47,800,sage_RE_vs_OR,76.79155731201172
48,1000,sage_RE_vs_UL,77.37429809570312
49,1000,sage_RE_vs_OR,77.60306549072266
50,1200,sage_RE_vs_UL,75.99573516845703
51,1200,sage_RE_vs_OR,76.22727966308594
52,1400,sage_RE_vs_UL,77.62359619140625
53,1400,sage_RE_vs_OR,77.85930633544922
54,1600,sage_RE_vs_UL,76.8576431274414
55,1600,sage_RE_vs_OR,77.10399627685547
56,1800,sage_RE_vs_UL,76.78092956542969
57,1800,sage_RE_vs_OR,77.03297424316406
58,2000,sage_RE_vs_UL,76.49402618408203
59,2000,sage_RE_vs_OR,76.7557144165039
60,200,gin_RE_vs_UL,32.014339447021484
61,200,gin_RE_vs_OR,32.08404541015625
62,400,gin_RE_vs_UL,32.13125228881836
63,400,gin_RE_vs_OR,32.21148681640625
64,600,gin_RE_vs_UL,32.00297164916992
65,600,gin_RE_vs_OR,32.085723876953125
66,800,gin_RE_vs_UL,32.090484619140625
67,800,gin_RE_vs_OR,32.17287826538086
68,1000,gin_RE_vs_UL,32.00833511352539
69,1000,gin_RE_vs_OR,32.09223937988281
70,1200,gin_RE_vs_UL,32.12702178955078
71,1200,gin_RE_vs_OR,32.21419143676758
72,1400,gin_RE_vs_UL,32.053165435791016
73,1400,gin_RE_vs_OR,32.13980484008789
74,1600,gin_RE_vs_UL,32.04215621948242
75,1600,gin_RE_vs_OR,32.131526947021484
76,1800,gin_RE_vs_UL,32.24526596069336
77,1800,gin_RE_vs_OR,32.3431396484375
78,2000,gin_RE_vs_UL,32.19619369506836
79,2000,gin_RE_vs_OR,32.293949127197266
