,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.7177177177177178,28.581681728363037,0.6467397630961761,8,0.5615615615615616,47.01974821090698,0.5003404347159509,18
400,0.6246246246246246,41.399911642074585,0.5737140640057087,14,0.5255255255255256,34.62410616874695,0.4637557681497902,19
600,0.6336336336336337,51.822545766830444,0.5688689856897565,15,0.5630630630630631,51.73013234138489,0.49831064126785823,19
800,0.5930930930930931,60.84078526496887,0.5400381928991503,18,0.4444444444444444,43.0348699092865,0.40607215994001294,19
1000,0.6006006006006006,76.19370317459106,0.5460909064390432,19,0.3738738738738739,34.27248215675354,0.3328868621390021,20
1200,0.6276276276276276,65.01716709136963,0.5711507739909666,20,0.5105105105105106,54.62406015396118,0.4373888135325994,20
1400,0.5795795795795796,61.42193055152893,0.5342938823042119,20,0.47597597597597596,45.754799604415894,0.41284648069972785,20
1600,0.5960960960960962,73.0115578174591,0.5490490061229815,20,0.4864864864864865,38.718008518218994,0.40922637070505957,20
1800,0.6171171171171171,62.8445942401886,0.5609811528123617,20,0.5,49.48309397697449,0.45136957833118024,20
2000,0.6261261261261262,71.67420220375061,0.5638361505158621,20,0.4984984984984985,44.57682776451111,0.43813066554149005,20
