,# edges,partition,running time,accuracy,f1,# shards
0,200,blpa,103.02619934082031,0.7717717717717718,0.6959216440777909,8
1,200,bekm,205.45899081230164,0.521021021021021,0.4621257530994369,18
2,400,blpa,130.3571059703827,0.7462462462462462,0.6836068013371149,10
3,400,bekm,229.68269634246826,0.503003003003003,0.43755728693949875,19
4,600,blpa,142.98325848579407,0.7267267267267268,0.6666735254025928,11
5,600,bekm,247.08314752578735,0.536036036036036,0.47459116840892396,19
6,800,blpa,156.0889208316803,0.7507507507507507,0.6835446996613536,12
7,800,bekm,264.6452147960663,0.4924924924924925,0.43302868785933385,20
8,1000,blpa,204.2978835105896,0.7132132132132132,0.6524169575682656,15
9,1000,bekm,260.9087483882904,0.524024024024024,0.4580749738465038,20
10,1200,blpa,203.13193821907043,0.6981981981981982,0.6359713807453472,16
11,1200,bekm,252.2064025402069,0.5,0.4362158888235024,20
12,1400,blpa,227.7445809841156,0.6621621621621622,0.6071053725045555,18
13,1400,bekm,250.6107361316681,0.47297297297297297,0.41155552946648416,20
14,1600,blpa,239.84665036201477,0.6471471471471472,0.5913179120441271,19
15,1600,bekm,250.2583339214325,0.47597597597597596,0.4145585855264485,20
16,1800,blpa,251.10507583618164,0.6186186186186187,0.5608327354264838,20
17,1800,bekm,250.5161633491516,0.5015015015015015,0.4346422988367586,20
18,2000,blpa,251.1530957221985,0.6291291291291291,0.5769100181849214,20
19,2000,bekm,250.04901385307312,0.481981981981982,0.4149392060890705,20
20,200,blpa,87.75003504753113,0.7777777777777778,0.6924119126951132,7
21,200,bekm,212.24782347679138,0.53003003003003,0.4752536304360953,17
22,400,blpa,149.93614554405212,0.7567567567567568,0.6874037864880601,12
23,400,bekm,237.5434708595276,0.512012012012012,0.447273207481706,19
24,600,blpa,162.37814092636108,0.7477477477477478,0.6767085138494321,13
25,600,bekm,248.21096301078796,0.48348348348348347,0.4227940266566767,20
26,800,blpa,200.7321310043335,0.7027027027027027,0.6410285192549824,16
27,800,bekm,240.55691862106323,0.487987987987988,0.41877437124762235,20
28,1000,blpa,212.64848923683167,0.6711711711711712,0.6095842758415456,17
29,1000,bekm,240.38753366470337,0.47897897897897895,0.41915296800958224,20
30,1200,blpa,236.05960941314697,0.6351351351351351,0.5818741145819103,19
31,1200,bekm,249.80897450447083,0.48348348348348347,0.4192313812831802,20
32,1400,blpa,250.49172830581665,0.6291291291291291,0.5748533714895753,20
33,1400,bekm,235.65157294273376,0.47297297297297297,0.4061709128479036,20
34,1600,blpa,250.0570466518402,0.6171171171171171,0.5608843825835229,20
35,1600,bekm,251.1078314781189,0.47297297297297297,0.418633204158464,20
36,1800,blpa,257.5952522754669,0.6246246246246246,0.5699751348024197,20
37,1800,bekm,259.4319531917572,0.4954954954954955,0.42866190912515156,20
38,2000,blpa,264.281537771225,0.6126126126126126,0.5562028979969053,20
39,2000,bekm,259.0479555130005,0.4804804804804805,0.4125956550294176,20
40,200,blpa,117.22548389434814,0.7762762762762763,0.7024758142174515,9
41,200,bekm,230.50725936889648,0.5195195195195195,0.4548553882398075,18
42,400,blpa,158.7204396724701,0.7597597597597597,0.6915264133934892,12
43,400,bekm,258.5601952075958,0.45645645645645644,0.39243992923563137,20
44,600,blpa,185.22372198104858,0.7147147147147147,0.651230160780953,14
