,# edges,partition,running time,accuracy,f1,# shards
0,200,blpa,77.02198648452759,0.7807807807807807,0.6992946205271906,6
1,200,bekm,225.17561030387878,0.5630630630630631,0.4902858748525409,17
2,400,blpa,203.48100590705872,0.7282282282282282,0.6630342361119924,14
3,400,bekm,284.1684195995331,0.5015015015015015,0.43756954868266335,20
4,600,blpa,237.08370923995972,0.6966966966966966,0.6351087489419073,16
5,600,bekm,338.7301571369171,0.484984984984985,0.41532890548810425,20
6,800,blpa,288.0784909725189,0.6606606606606606,0.6025720541905168,18
7,800,bekm,332.2116279602051,0.46996996996997,0.4071973999009791,20
8,1000,blpa,296.356027841568,0.6666666666666666,0.609845235032317,18
9,1000,bekm,324.64758563041687,0.466966966966967,0.40534062114626096,20
10,1200,blpa,316.2087781429291,0.6606606606606606,0.6035138964357013,18
11,1200,bekm,355.5404853820801,0.47297297297297297,0.4147979772905644,20
12,1400,blpa,310.654324054718,0.6486486486486487,0.5947368451137939,19
13,1400,bekm,318.2030029296875,0.44594594594594594,0.38256653601036444,20
14,1600,blpa,302.4516911506653,0.6426426426426426,0.5881082232215865,19
15,1600,bekm,330.256783246994,0.47597597597597596,0.40293646580039727,20
16,1800,blpa,308.47339701652527,0.6471471471471472,0.5929929749849611,19
17,1800,bekm,309.3816990852356,0.47897897897897895,0.42347688618866813,20
18,2000,blpa,341.1725046634674,0.6396396396396397,0.58482010970716,19
19,2000,bekm,333.0309338569641,0.49099099099099097,0.4326058570601967,20
20,200,blpa,70.20790982246399,0.8018018018018018,0.7107875986945765,4
21,200,bekm,277.9950158596039,0.5135135135135135,0.44959733058678925,17
22,400,blpa,214.94307732582092,0.7282282282282282,0.6734466074208667,13
23,400,bekm,339.4813735485077,0.4774774774774775,0.4190651527624498,20
24,600,blpa,256.0986797809601,0.6801801801801802,0.6249977170321762,16
25,600,bekm,319.86094880104065,0.46546546546546547,0.4046474671823795,20
26,800,blpa,288.03719878196716,0.6756756756756757,0.619306780427737,16
27,800,bekm,316.49243354797363,0.4774774774774775,0.41153432725709543,20
28,1000,blpa,237.3759229183197,0.6681681681681682,0.6156402289300461,16
29,1000,bekm,305.50161051750183,0.47597597597597596,0.41160478058035327,20
30,1200,blpa,293.6286656856537,0.6351351351351351,0.5825213997372627,19
31,1200,bekm,325.88489532470703,0.47897897897897895,0.41518697041631675,20
32,1400,blpa,321.05129885673523,0.6156156156156156,0.5645239471125919,20
33,1400,bekm,320.3239493370056,0.47597597597597596,0.40776777595518415,20
34,1600,blpa,316.40947246551514,0.6201201201201201,0.5665405974192725,20
35,1600,bekm,308.3680956363678,0.4774774774774775,0.4044790198024632,20
36,1800,blpa,325.9921615123749,0.6156156156156156,0.5652898637910554,20
37,1800,bekm,286.98377084732056,0.4954954954954955,0.4373413254475273,20
38,2000,blpa,288.60031938552856,0.6201201201201201,0.570580439250146,20
39,2000,bekm,306.16991448402405,0.47897897897897895,0.40614005002511,20
40,200,blpa,108.10375785827637,0.7567567567567568,0.673266609704815,7
41,200,bekm,285.3648910522461,0.53003003003003,0.4654076446270297,19
42,400,blpa,175.78639435768127,0.7417417417417418,0.6816979240596718,12
43,400,bekm,339.3438563346863,0.47597597597597596,0.40443285239976023,20
44,600,blpa,244.20412969589233,0.6861861861861862,0.6214690601441378,16
45,600,bekm,303.0817964076996,0.4744744744744745,0.415956499685256,20
46,800,blpa,292.8682670593262,0.6471471471471472,0.5922406532882373,19
47,800,bekm,308.4927806854248,0.46096096096096095,0.4009372952811492,20
48,1000,blpa,281.5679407119751,0.6441441441441441,0.5870587376526589,19
49,1000,bekm,295.4569923877716,0.487987987987988,0.4179156964421538,20
50,1200,blpa,287.647700548172,0.6471471471471472,0.5918999280687599,19
51,1200,bekm,300.0292148590088,0.45645645645645644,0.3966647074827476,20
52,1400,blpa,282.0829141139984,0.6366366366366366,0.5796079890948631,19
53,1400,bekm,297.5040292739868,0.4924924924924925,0.42847494279740933,20
54,1600,blpa,301.2765772342682,0.6126126126126126,0.5632999110975914,20
55,1600,bekm,313.9070987701416,0.47897897897897895,0.41648764630152707,20
56,1800,blpa,300.0281331539154,0.6156156156156156,0.5629801189144487,20
57,1800,bekm,318.7384366989136,0.496996996996997,0.43029989433549015,20
58,2000,blpa,304.05081820487976,0.6141141141141141,0.5646928461452074,20
59,2000,bekm,297.9320228099823,0.45795795795795796,0.40012304389790715,20
60,200,blpa,95.73215913772583,0.7732732732732732,0.6859120917400844,6
61,200,bekm,237.39150190353394,0.5825825825825826,0.5068572757130215,16
62,400,blpa,176.0245761871338,0.7522522522522522,0.6849660273800021,12
63,400,bekm,252.05639672279358,0.5645645645645646,0.4926082063788499,17
64,600,blpa,231.29965734481812,0.7192192192192193,0.6565544419496812,15
65,600,bekm,303.91542625427246,0.4894894894894895,0.4218522100217174,19
66,800,blpa,275.79225611686707,0.6711711711711712,0.6126491480140036,17
67,800,bekm,306.775283575058,0.47897897897897895,0.4159720835361318,20
68,1000,blpa,268.8836374282837,0.6411411411411412,0.5833834398865602,19
69,1000,bekm,286.06958174705505,0.4594594594594595,0.3962761019459428,20
70,1200,blpa,278.88763999938965,0.6411411411411412,0.5852782246883166,19
71,1200,bekm,285.11361622810364,0.4864864864864865,0.42944591306419905,20
72,1400,blpa,297.12692165374756,0.6126126126126126,0.5623616067805913,20
73,1400,bekm,292.6048352718353,0.47897897897897895,0.41913015009801874,20
74,1600,blpa,292.45675253868103,0.6006006006006006,0.5475565607787326,20
75,1600,bekm,283.55469155311584,0.46546546546546547,0.3953330142796377,20
76,1800,blpa,294.04565620422363,0.6171171171171171,0.5638310740598295,20
77,1800,bekm,282.4779884815216,0.48348348348348347,0.4112489686086768,20
78,2000,blpa,295.1026523113251,0.6186186186186187,0.5644775222014028,20
79,2000,bekm,300.40469217300415,0.47597597597597596,0.4135898330805719,20
80,200,blpa,157.58995056152344,0.7807807807807807,0.7019610839396596,8
81,200,bekm,252.3495717048645,0.5690690690690691,0.5021728860464205,16
82,400,blpa,257.98473048210144,0.7042042042042042,0.6424673835614376,15
83,400,bekm,334.95009303092957,0.487987987987988,0.41983522752461716,20
84,600,blpa,290.4221386909485,0.6831831831831832,0.6270468215346442,16
85,600,bekm,340.20315432548523,0.46846846846846846,0.4111527718851526,20
86,800,blpa,308.6438765525818,0.6546546546546547,0.5978908328944469,18
87,800,bekm,329.35764384269714,0.481981981981982,0.4189969412185481,20
88,1000,blpa,326.2636790275574,0.6381381381381381,0.5794601567384551,19
89,1000,bekm,332.89414167404175,0.49099099099099097,0.42916612455342307,20
