,# edges,partition,running time,accuracy,f1,# shards
0,200,blpa,70.80778741836548,0.5922509225092251,0.5084308116224695,19
1,200,bekm,75.41753697395325,0.3892988929889299,0.33296474800407266,20
2,400,blpa,75.13053488731384,0.5627306273062731,0.48139081793807365,20
3,400,bekm,77.67529773712158,0.3966789667896679,0.3432937758517288,20
4,600,blpa,76.69793701171875,0.5719557195571956,0.49959960332070347,20
5,600,bekm,75.9990234375,0.36900369003690037,0.31798688991257507,20
6,800,blpa,76.79879355430603,0.5701107011070111,0.4881213442935466,20
7,800,bekm,78.55688571929932,0.36900369003690037,0.32567120580691405,20
8,1000,blpa,78.89960813522339,0.5756457564575646,0.4939401399845163,20
9,1000,bekm,76.74851274490356,0.35424354243542433,0.31375801485912286,20
10,1200,blpa,77.1189067363739,0.5369003690036901,0.4574692008716433,20
11,1200,bekm,76.05623936653137,0.36162361623616235,0.3181229715303404,20
12,1400,blpa,78.27543210983276,0.566420664206642,0.4908189388476833,20
13,1400,bekm,78.42825770378113,0.37453874538745385,0.3215714648175841,20
14,1600,blpa,76.5805253982544,0.5498154981549815,0.4686141321997771,20
15,1600,bekm,78.36803460121155,0.3837638376383764,0.3408957041757176,20
16,1800,blpa,76.91348195075989,0.5701107011070111,0.49302663212978726,20
17,1800,bekm,77.9786856174469,0.37822878228782286,0.3275952838721177,20
18,2000,blpa,77.98409819602966,0.5756457564575646,0.49645093463588646,20
19,2000,bekm,78.7036702632904,0.3800738007380074,0.32918329990486167,20
20,200,blpa,68.43684506416321,0.6070110701107011,0.5377549525088358,18
21,200,bekm,72.98345518112183,0.36900369003690037,0.3307170499145417,19
22,400,blpa,79.28602075576782,0.566420664206642,0.48599761206486597,20
23,400,bekm,76.39376950263977,0.35608856088560886,0.3147210228538416,20
24,600,blpa,76.07962131500244,0.5553505535055351,0.4797858545965671,20
25,600,bekm,75.79316306114197,0.35608856088560886,0.3220527983800795,20
26,800,blpa,74.09381365776062,0.5922509225092251,0.5220378529233985,20
27,800,bekm,75.01795864105225,0.36900369003690037,0.3253412181336564,20
28,1000,blpa,74.51639175415039,0.577490774907749,0.5002200468332801,20
29,1000,bekm,74.47452425956726,0.36900369003690037,0.3174419385098347,20
30,1200,blpa,78.06174540519714,0.566420664206642,0.4899422058138866,20
31,1200,bekm,75.00282740592957,0.35793357933579334,0.3223759270963202,20
32,1400,blpa,75.73432278633118,0.5701107011070111,0.49471655438472084,20
33,1400,bekm,76.8227527141571,0.35793357933579334,0.31716861118454587,20
34,1600,blpa,73.04883885383606,0.5571955719557196,0.4804265228062011,20
35,1600,bekm,75.49220561981201,0.34317343173431736,0.286965213171975,20
36,1800,blpa,78.02861046791077,0.5885608856088561,0.5016833798915487,20
37,1800,bekm,74.77667713165283,0.3763837638376384,0.3300211648799287,20
38,2000,blpa,74.6247501373291,0.5701107011070111,0.5028136807182838,20
39,2000,bekm,77.13214588165283,0.36531365313653136,0.3263671257457018,20
40,200,blpa,72.08585786819458,0.566420664206642,0.47752705425802106,19
41,200,bekm,74.94576501846313,0.3726937269372694,0.33527698044135584,20
42,400,blpa,74.8308937549591,0.577490774907749,0.503885554010657,20
