,# edges,partition,running time,accuracy,f1,# shards
0,200,blpa,56.31998419761658,0.6402214022140221,0.5840472211300723,19
1,200,bekm,60.15048861503601,0.4225092250922509,0.3708219821862799,20
2,400,blpa,64.33466005325317,0.6457564575645757,0.5943823263861828,20
3,400,bekm,65.20484352111816,0.4280442804428044,0.38027002917015557,20
4,600,blpa,64.00842118263245,0.6476014760147601,0.5939626197957281,20
5,600,bekm,63.6099214553833,0.4261992619926199,0.3804710512199153,20
6,800,blpa,65.465665102005,0.6568265682656826,0.59828202530403,20
7,800,bekm,65.51112771034241,0.4225092250922509,0.378572087884327,20
8,1000,blpa,65.99917101860046,0.6586715867158671,0.6064111848205567,20
9,1000,bekm,65.82874011993408,0.42066420664206644,0.36571655320223956,20
10,1200,blpa,68.59940314292908,0.6549815498154982,0.597145861900815,20
11,1200,bekm,63.791378021240234,0.42066420664206644,0.36920431991001185,20
12,1400,blpa,65.85653138160706,0.6512915129151291,0.594593471507333,20
13,1400,bekm,64.86369752883911,0.41697416974169743,0.37406553439034973,20
14,1600,blpa,67.53559494018555,0.6512915129151291,0.5965588542405149,20
15,1600,bekm,65.7998194694519,0.41697416974169743,0.37121903699075937,20
16,1800,blpa,65.84932684898376,0.6586715867158671,0.602256423021914,20
17,1800,bekm,60.36467003822327,0.41697416974169743,0.3664248424370676,20
18,2000,blpa,61.00145959854126,0.6549815498154982,0.6023578248172148,20
19,2000,bekm,59.61487317085266,0.41697416974169743,0.36372969927347226,20
20,200,blpa,56.0347957611084,0.6789667896678967,0.6200852614380539,18
21,200,bekm,53.687865257263184,0.4354243542435424,0.3879281973591197,18
22,400,blpa,61.378716468811035,0.6605166051660517,0.6080485988031985,20
23,400,bekm,61.10337471961975,0.41697416974169743,0.369659052126134,20
24,600,blpa,64.7191092967987,0.6494464944649446,0.5987128091419313,20
25,600,bekm,61.472625970840454,0.4188191881918819,0.3679767021652985,20
26,800,blpa,69.07381582260132,0.6568265682656826,0.6072710958050586,20
27,800,bekm,79.37183618545532,0.4188191881918819,0.376221174060169,20
28,1000,blpa,82.64748668670654,0.6199261992619927,0.5484356067235533,20
29,1000,bekm,80.92776989936829,0.4151291512915129,0.36506391143525446,20
30,1200,blpa,60.748416900634766,0.6476014760147601,0.6003076305599839,20
31,1200,bekm,57.179056882858276,0.4280442804428044,0.3809681145064954,20
32,1400,blpa,64.76267910003662,0.6476014760147601,0.5993965301411848,20
33,1400,bekm,66.11520290374756,0.4132841328413284,0.36075037181686825,20
34,1600,blpa,63.82376146316528,0.6457564575645757,0.5895331808623102,20
35,1600,bekm,62.38362264633179,0.4151291512915129,0.37512337174538,20
36,1800,blpa,65.93251824378967,0.6586715867158671,0.6072680225030631,20
37,1800,bekm,65.58654594421387,0.4022140221402214,0.35544884491638207,20
38,2000,blpa,67.38805961608887,0.6365313653136532,0.5805527938887668,20
39,2000,bekm,64.29635262489319,0.4040590405904059,0.369469089936591,20
40,200,blpa,64.61202883720398,0.6568265682656826,0.6106370607188424,20
41,200,bekm,61.03032040596008,0.4317343173431734,0.3753660472965645,19
42,400,blpa,66.93147587776184,0.6439114391143912,0.5871158934552503,20
43,400,bekm,60.19781470298767,0.43357933579335795,0.3814445476646741,19
44,600,blpa,68.85475993156433,0.6586715867158671,0.6076667690781582,20
45,600,bekm,60.579282999038696,0.4132841328413284,0.3711748018239572,20
46,800,blpa,64.64098978042603,0.6512915129151291,0.6001552885237231,20
47,800,bekm,67.94346570968628,0.42988929889298894,0.38450768700590576,20
48,1000,blpa,67.50360584259033,0.6476014760147601,0.5985626891067781,20
49,1000,bekm,66.11982893943787,0.43357933579335795,0.38639663748303654,20
50,1200,blpa,70.70757269859314,0.6494464944649446,0.5997759881123061,20
51,1200,bekm,64.62043833732605,0.42066420664206644,0.3773075897025477,20
52,1400,blpa,65.03090310096741,0.6512915129151291,0.5978219406015699,20
53,1400,bekm,67.49721646308899,0.4261992619926199,0.3795106086675316,20
54,1600,blpa,64.99740099906921,0.6549815498154982,0.6113257994023416,20
55,1600,bekm,60.022505044937134,0.4132841328413284,0.36950042276897616,20
56,1800,blpa,63.37355709075928,0.6494464944649446,0.6037587556979496,20
57,1800,bekm,58.542787313461304,0.42988929889298894,0.38668617996653865,20
58,2000,blpa,61.02963638305664,0.6605166051660517,0.6038208207941062,20
59,2000,bekm,64.1985855102539,0.4151291512915129,0.356516741825306,20
60,200,blpa,65.40739583969116,0.6715867158671587,0.6236971271672841,19
61,200,bekm,65.47765040397644,0.4280442804428044,0.3754288199060471,19
62,400,blpa,69.10777497291565,0.6605166051660517,0.6057183244243857,20
63,400,bekm,66.70251893997192,0.4280442804428044,0.3814575246832859,20
64,600,blpa,69.949458360672,0.6586715867158671,0.6124618959614135,20
65,600,bekm,62.275721311569214,0.4040590405904059,0.36166207940430534,20
66,800,blpa,66.49849343299866,0.6365313653136532,0.5818616045142516,20
67,800,bekm,64.86061239242554,0.4022140221402214,0.35909993335437934,20
68,1000,blpa,66.37192797660828,0.6476014760147601,0.5955143446619521,20
69,1000,bekm,62.98854851722717,0.41697416974169743,0.3711654678215033,20
70,1200,blpa,64.5738787651062,0.6678966789667896,0.6134836597039071,20
71,1200,bekm,63.128952503204346,0.41697416974169743,0.3673168778979065,20
72,1400,blpa,65.94445061683655,0.6494464944649446,0.6049644611618179,20
73,1400,bekm,64.81172752380371,0.43357933579335795,0.3909257044840449,20
74,1600,blpa,67.30220699310303,0.6494464944649446,0.6001820877838328,20
75,1600,bekm,65.1716799736023,0.41697416974169743,0.37176023036080064,20
76,1800,blpa,67.14173865318298,0.6420664206642066,0.5890931192982551,20
77,1800,bekm,67.53642392158508,0.42988929889298894,0.3847925379559522,20
78,2000,blpa,71.34359383583069,0.6457564575645757,0.5888762586686325,20
79,2000,bekm,70.33472466468811,0.4261992619926199,0.3804364242758616,20
80,200,blpa,55.08618235588074,0.6826568265682657,0.6322601694542739,18
81,200,bekm,60.930044174194336,0.4132841328413284,0.3619223491071809,20
82,400,blpa,61.577292680740356,0.6531365313653137,0.6029524069913846,20
83,400,bekm,59.850855112075806,0.4225092250922509,0.3776020896533039,20
84,600,blpa,61.538864850997925,0.6568265682656826,0.604337968241267,20
85,600,bekm,60.704545974731445,0.4225092250922509,0.3719744636249925,20
86,800,blpa,62.326860189437866,0.6512915129151291,0.601146330672064,20
87,800,bekm,61.01771926879883,0.42435424354243545,0.3675857973143766,20
88,1000,blpa,62.38689661026001,0.6402214022140221,0.5877098403501108,20
89,1000,bekm,59.352126359939575,0.4225092250922509,0.3795795578690316,20
90,1200,blpa,61.07196497917175,0.6531365313653137,0.6048227302474807,20
91,1200,bekm,61.008516788482666,0.41697416974169743,0.3710118473881314,20
92,1400,blpa,62.646541595458984,0.6476014760147601,0.6112633984315439,20
93,1400,bekm,59.88190221786499,0.4225092250922509,0.3748428295506618,20
94,1600,blpa,63.06275725364685,0.6494464944649446,0.5971707730294037,20
95,1600,bekm,61.71677613258362,0.4114391143911439,0.36657365025892524,20
96,1800,blpa,60.9514479637146,0.6512915129151291,0.594551899514762,20
97,1800,bekm,57.498066902160645,0.4040590405904059,0.3538305571396752,20
98,2000,blpa,63.17921543121338,0.6512915129151291,0.5995500062274516,20
99,2000,bekm,62.28537893295288,0.4225092250922509,0.37655026033714706,20
100,200,blpa,58.84685182571411,0.6808118081180812,0.6347751902673535,19
101,200,bekm,60.622108697891235,0.4225092250922509,0.3748665147370831,20
102,400,blpa,61.12252640724182,0.6420664206642066,0.5856078905404122,20
103,400,bekm,61.4403395652771,0.4022140221402214,0.36423843434026804,20
104,600,blpa,61.11681532859802,0.6365313653136532,0.5799518799352273,20
105,600,bekm,59.4815399646759,0.4114391143911439,0.3639369495656125,20
106,800,blpa,61.016316652297974,0.6568265682656826,0.6060267085511306,20
107,800,bekm,57.49928092956543,0.4132841328413284,0.36083874576147484,20
108,1000,blpa,60.19865894317627,0.6457564575645757,0.5938337725156606,20
109,1000,bekm,59.7288818359375,0.42435424354243545,0.37165915582368825,20
110,1200,blpa,60.75822734832764,0.6476014760147601,0.589793622037076,20
111,1200,bekm,61.389240980148315,0.3985239852398524,0.3477217440589043,20
112,1400,blpa,61.543646574020386,0.6457564575645757,0.5922016068406445,20
113,1400,bekm,60.424779653549194,0.42435424354243545,0.3707194354532616,20
114,1600,blpa,61.78239631652832,0.6457564575645757,0.5970248277223406,20
115,1600,bekm,59.08584189414978,0.4225092250922509,0.3661352999813821,20
116,1800,blpa,61.199108600616455,0.6494464944649446,0.5990613245437845,20
117,1800,bekm,59.480825424194336,0.4040590405904059,0.35261006597926225,20
118,2000,blpa,61.2019567489624,0.6476014760147601,0.5930706572166624,20
119,2000,bekm,59.84022521972656,0.4225092250922509,0.3729951223593698,20
120,200,blpa,58.96773838996887,0.6623616236162362,0.6084915353176031,20
121,200,bekm,58.798022508621216,0.4188191881918819,0.3743902230007318,20
122,400,blpa,58.961509227752686,0.6512915129151291,0.5984211234851051,20
123,400,bekm,58.918267488479614,0.4280442804428044,0.372813494416259,20
124,600,blpa,60.40360474586487,0.6476014760147601,0.5977175221230889,20
125,600,bekm,60.59071493148804,0.4188191881918819,0.3719483772983759,20
126,800,blpa,61.60989165306091,0.6383763837638377,0.5898685469119035,20
127,800,bekm,55.8708815574646,0.4188191881918819,0.36680951711779664,20
128,1000,blpa,61.08250451087952,0.6420664206642066,0.5907689954304695,20
129,1000,bekm,59.066943407058716,0.42988929889298894,0.3834682875396675,20
130,1200,blpa,60.156792402267456,0.6383763837638377,0.570175468042546,20
131,1200,bekm,58.87807321548462,0.4114391143911439,0.3652047900047119,20
132,1400,blpa,61.443004846572876,0.6531365313653137,0.6019527550737916,20
133,1400,bekm,59.57495045661926,0.4151291512915129,0.3695704540735093,20
134,1600,blpa,60.14522981643677,0.6549815498154982,0.6052420514259728,20
135,1600,bekm,57.64675235748291,0.4225092250922509,0.3742888111458952,20
136,1800,blpa,60.06513285636902,0.6494464944649446,0.5914116829898888,20
137,1800,bekm,60.674933433532715,0.4003690036900369,0.357987382170698,20
138,2000,blpa,64.6341118812561,0.6309963099630996,0.5690980139566039,20
139,2000,bekm,62.65199017524719,0.4280442804428044,0.3844680695143058,20
140,200,blpa,54.36030101776123,0.6752767527675276,0.6287369772921262,17
141,200,bekm,59.160250663757324,0.41697416974169743,0.3609657192582817,20
142,400,blpa,57.075451135635376,0.6678966789667896,0.6143949185663479,18
143,400,bekm,61.09222054481506,0.41697416974169743,0.35858073631902465,20
144,600,blpa,58.56716060638428,0.6605166051660517,0.6165285153107246,19
145,600,bekm,59.15098190307617,0.4188191881918819,0.3723498126613585,20
146,800,blpa,62.92912840843201,0.6605166051660517,0.6064669153206687,20
147,800,bekm,66.57321238517761,0.4151291512915129,0.36410107896188615,20
148,1000,blpa,67.60294938087463,0.6328413284132841,0.581731101507116,20
149,1000,bekm,68.41605496406555,0.4261992619926199,0.38127773431737727,20
150,1200,blpa,68.49598789215088,0.6254612546125461,0.5763681253356544,20
151,1200,bekm,65.80322360992432,0.42435424354243545,0.3757729556981277,20
152,1400,blpa,66.82042241096497,0.6494464944649446,0.6016217867880158,20
153,1400,bekm,65.90007257461548,0.4095940959409594,0.37067856339323757,20
154,1600,blpa,64.5545482635498,0.6494464944649446,0.5897358651951415,20
155,1600,bekm,66.09124088287354,0.42066420664206644,0.37290513628500793,20
156,1800,blpa,66.63333463668823,0.6512915129151291,0.6029685964172894,20
157,1800,bekm,66.05197978019714,0.4188191881918819,0.36833861231772647,20
158,2000,blpa,65.6727659702301,0.6623616236162362,0.610658414325432,20
159,2000,bekm,66.64736342430115,0.4151291512915129,0.37380036258421834,20
160,200,blpa,60.950143814086914,0.6568265682656826,0.6016254549867995,19
161,200,bekm,67.39872288703918,0.43357933579335795,0.3806828612956488,20
162,400,blpa,70.54292249679565,0.6383763837638377,0.5883031098108048,20
163,400,bekm,61.693711042404175,0.4261992619926199,0.37390691119807096,20
164,600,blpa,67.17047142982483,0.6586715867158671,0.6068453025973316,20
165,600,bekm,64.34836769104004,0.3966789667896679,0.35818495448026344,20
166,800,blpa,69.76129531860352,0.6383763837638377,0.5841730047912128,20
167,800,bekm,64.66544008255005,0.41697416974169743,0.35937034328866657,20
168,1000,blpa,65.27000880241394,0.6365313653136532,0.5818614165518118,20
169,1000,bekm,66.05885601043701,0.4188191881918819,0.3758369290284184,20
170,1200,blpa,66.67015314102173,0.6476014760147601,0.595826080997217,20
171,1200,bekm,67.07378101348877,0.4188191881918819,0.3750361126289897,20
172,1400,blpa,66.7744140625,0.6568265682656826,0.6049749374696839,20
173,1400,bekm,64.65459489822388,0.43911439114391143,0.39550439377991486,20
174,1600,blpa,67.24658250808716,0.6439114391143912,0.5894563524219346,20
175,1600,bekm,65.86222100257874,0.4280442804428044,0.3776279138602237,20
176,1800,blpa,68.29340267181396,0.6476014760147601,0.5954919342087698,20
177,1800,bekm,67.70802974700928,0.42435424354243545,0.3818052486067209,20
178,2000,blpa,71.69935584068298,0.6605166051660517,0.6104842160737033,20
