,# edges,partition,running time,accuracy,f1,# shards
0,200,blpa,56.90112257003784,0.6752767527675276,0.6223966648961614,17
1,200,bekm,58.17529487609863,0.43357933579335795,0.39694900986322124,20
2,400,blpa,66.67513656616211,0.6291512915129152,0.5681137140535636,20
3,400,bekm,62.02750897407532,0.42435424354243545,0.37981582963376975,20
4,600,blpa,67.58695387840271,0.6752767527675276,0.6319424426553415,20
5,600,bekm,58.90212297439575,0.44649446494464945,0.393155472653933,20
6,800,blpa,67.47047281265259,0.6236162361623616,0.568450605103824,20
7,800,bekm,56.7611129283905,0.4188191881918819,0.365390350745434,20
8,1000,blpa,68.00814366340637,0.6586715867158671,0.6028852933037788,20
9,1000,bekm,59.971532583236694,0.4280442804428044,0.3801143486431737,20
10,1200,blpa,65.12102389335632,0.6715867158671587,0.6148180404352024,20
11,1200,bekm,61.63081431388855,0.4188191881918819,0.36998633182664814,20
12,1400,blpa,66.64851307868958,0.6494464944649446,0.5907353138264181,20
13,1400,bekm,60.13386344909668,0.42435424354243545,0.3694687356626756,20
14,1600,blpa,67.21676111221313,0.6494464944649446,0.5951875131329439,20
15,1600,bekm,62.793071269989014,0.42435424354243545,0.37689472099788196,20
16,1800,blpa,67.81999659538269,0.6586715867158671,0.6067944083919388,20
17,1800,bekm,59.87891221046448,0.42066420664206644,0.37428660886244874,20
18,2000,blpa,67.09704947471619,0.6494464944649446,0.5949347751484166,20
19,2000,bekm,63.57849168777466,0.42988929889298894,0.3838684080179012,20
20,200,blpa,68.55841135978699,0.6494464944649446,0.5961277882068562,20
21,200,bekm,58.58229351043701,0.4446494464944649,0.4146280506792741,20
22,400,blpa,68.2815580368042,0.6512915129151291,0.5976345520400752,20
23,400,bekm,64.20066905021667,0.4280442804428044,0.39135453946921467,20
24,600,blpa,68.29644060134888,0.6642066420664207,0.6174828692922893,20
25,600,bekm,64.13761067390442,0.42435424354243545,0.3773263450760082,20
26,800,blpa,68.91438841819763,0.6402214022140221,0.5794635555128432,20
27,800,bekm,66.50210857391357,0.42435424354243545,0.38045479304859386,20
28,1000,blpa,67.2759222984314,0.6752767527675276,0.6171316034375245,20
29,1000,bekm,62.892043352127075,0.4132841328413284,0.36621455468454,20
30,1200,blpa,67.70861577987671,0.6512915129151291,0.589479319048647,20
31,1200,bekm,61.85434556007385,0.4114391143911439,0.363680707769391,20
32,1400,blpa,69.43339705467224,0.6605166051660517,0.6086456940592316,20
33,1400,bekm,64.25863695144653,0.43726937269372695,0.38140138363502624,20
34,1600,blpa,69.57736039161682,0.6328413284132841,0.5752366742316996,20
35,1600,bekm,61.377825021743774,0.4188191881918819,0.3716243519212782,20
36,1800,blpa,70.18971586227417,0.6476014760147601,0.593192799925424,20
37,1800,bekm,64.21866011619568,0.4317343173431734,0.3718588533760829,20
38,2000,blpa,69.37399077415466,0.6660516605166051,0.6066579748072598,20
39,2000,bekm,62.43055748939514,0.4114391143911439,0.36652773134691413,20
40,200,blpa,64.269779920578,0.6937269372693727,0.6395242890613213,19
41,200,bekm,61.52862000465393,0.44095940959409596,0.3938245274077358,20
42,400,blpa,63.6084668636322,0.7029520295202952,0.653423645320197,19
43,400,bekm,59.91433620452881,0.43726937269372695,0.386544245855566,20
44,600,blpa,68.15847992897034,0.6439114391143912,0.5864870999945585,20
45,600,bekm,56.406224966049194,0.4280442804428044,0.38595005626047907,20
46,800,blpa,68.60716414451599,0.6494464944649446,0.6002264839794967,20
47,800,bekm,58.482070207595825,0.3985239852398524,0.36736526176076173,20
