,# edges,partition,running time,accuracy,f1,# shards
0,200,blpa,72.40359878540039,0.6420664206642066,0.5816048459016729,20
1,200,bekm,71.19705581665039,0.4225092250922509,0.3689615005227716,20
2,400,blpa,73.5772590637207,0.6420664206642066,0.5957765654428522,20
3,400,bekm,70.95337414741516,0.4114391143911439,0.3633033109697817,20
4,600,blpa,70.93243050575256,0.6254612546125461,0.5705133279982605,20
5,600,bekm,72.31485342979431,0.4132841328413284,0.3640028846813215,20
6,800,blpa,69.25676226615906,0.6309963099630996,0.5840729257408973,20
7,800,bekm,73.12334394454956,0.4261992619926199,0.376459315899603,20
8,1000,blpa,74.4598171710968,0.6586715867158671,0.6019746118242943,20
9,1000,bekm,74.66553950309753,0.42435424354243545,0.3767717538485425,20
10,1200,blpa,71.33262252807617,0.6254612546125461,0.5713716949059129,20
11,1200,bekm,72.64870762825012,0.4059040590405904,0.36331886101795613,20
12,1400,blpa,67.67246294021606,0.6346863468634686,0.5811721037670462,20
13,1400,bekm,72.53788948059082,0.4151291512915129,0.3660656185882392,20
14,1600,blpa,74.60784244537354,0.6494464944649446,0.5970639520521587,20
15,1600,bekm,77.010089635849,0.4095940959409594,0.3536813749789022,20
16,1800,blpa,71.82656264305115,0.6457564575645757,0.5928543793141364,20
17,1800,bekm,72.79503798484802,0.43357933579335795,0.3776297351000677,20
18,2000,blpa,71.74603486061096,0.6273062730627307,0.576600706760092,20
19,2000,bekm,71.37813711166382,0.3985239852398524,0.35603945011622307,20
20,200,blpa,63.386234521865845,0.6845018450184502,0.6364821749182052,18
21,200,bekm,70.83500480651855,0.41697416974169743,0.37036929041769984,20
22,400,blpa,68.41016912460327,0.6402214022140221,0.5878088113968757,19
23,400,bekm,75.4473021030426,0.4261992619926199,0.3730144457662673,20
24,600,blpa,81.10453796386719,0.6494464944649446,0.59732865325895,20
25,600,bekm,76.81402587890625,0.4225092250922509,0.3759625230391153,20
26,800,blpa,73.59045267105103,0.6346863468634686,0.5840047809140686,20
27,800,bekm,73.35841965675354,0.4077490774907749,0.3534312114053196,20
28,1000,blpa,72.87587332725525,0.6402214022140221,0.5903665331810003,20
29,1000,bekm,68.99991059303284,0.4077490774907749,0.35944536071083977,20
30,1200,blpa,68.540452003479,0.6512915129151291,0.6021267876762829,20
31,1200,bekm,73.70195960998535,0.3985239852398524,0.35331760774485227,20
32,1400,blpa,70.02026557922363,0.6494464944649446,0.5927792242312828,20
33,1400,bekm,74.11307573318481,0.4095940959409594,0.3584868799168652,20
34,1600,blpa,72.73676490783691,0.6217712177121771,0.5650479133104489,20
35,1600,bekm,76.24830508232117,0.3929889298892989,0.35542997342714033,20
36,1800,blpa,70.58321070671082,0.6420664206642066,0.589863697104651,20
37,1800,bekm,72.82124662399292,0.4132841328413284,0.36052472953732473,20
38,2000,blpa,73.8466956615448,0.6512915129151291,0.5978683731351914,20
39,2000,bekm,72.53143644332886,0.41697416974169743,0.3735388948719329,20
40,200,blpa,72.36151576042175,0.6365313653136532,0.5871588171126779,20
41,200,bekm,63.549296379089355,0.42988929889298894,0.3813803581163929,18
42,400,blpa,73.11927604675293,0.6199261992619927,0.5582767814938441,20
43,400,bekm,72.78594398498535,0.4188191881918819,0.37418244205517454,20
44,600,blpa,73.3395164012909,0.6346863468634686,0.5771151637865739,20
45,600,bekm,67.38880801200867,0.4077490774907749,0.3612616528963178,20
46,800,blpa,73.25850772857666,0.6328413284132841,0.5727156038380002,20
47,800,bekm,71.33032584190369,0.4114391143911439,0.36593683139849437,20
48,1000,blpa,71.18200635910034,0.6531365313653137,0.6039566084461486,20
49,1000,bekm,68.18981003761292,0.4188191881918819,0.3718221896225322,20
50,1200,blpa,73.28235077857971,0.6309963099630996,0.5730506871564739,20
51,1200,bekm,80.28344178199768,0.4095940959409594,0.36037540918485017,20
52,1400,blpa,67.71889781951904,0.6457564575645757,0.5925632750977929,20
53,1400,bekm,67.10809683799744,0.4132841328413284,0.36510858032371146,20
54,1600,blpa,66.38290309906006,0.6439114391143912,0.595749087377272,20
55,1600,bekm,66.96922087669373,0.42066420664206644,0.36780489225839563,20
56,1800,blpa,67.82353472709656,0.6420664206642066,0.5904595565647678,20
57,1800,bekm,66.20759606361389,0.4040590405904059,0.3575754197005499,20
58,2000,blpa,67.87368106842041,0.6236162361623616,0.5542173988408308,20
59,2000,bekm,67.83281755447388,0.3966789667896679,0.35680659100891293,20
60,200,blpa,68.1829400062561,0.6051660516605166,0.546017777844922,20
61,200,bekm,68.26312804222107,0.41697416974169743,0.3677730669018064,20
62,400,blpa,66.51066327095032,0.6125461254612546,0.5585676591294026,20
63,400,bekm,64.21510767936707,0.4114391143911439,0.3747680197227144,20
64,600,blpa,67.49854969978333,0.6365313653136532,0.5826875286223482,20
65,600,bekm,67.33733868598938,0.42066420664206644,0.36242177668552256,20
