,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.7582582582582582,5.108222007751465,0.707918173352223,0.7732732732732732,5.823914051055908,0.7372816548335211,0.7642642642642643,317.03308606147766,0.7236729658992035,8,0.527027027027027,599.6033854484558,0.4703908326058744,19
400,0.7642642642642643,5.505693674087524,0.7206058173867387,0.7702702702702703,3.8763253688812256,0.7315682099912161,0.7417417417417418,370.9483621120453,0.6970499412759668,9,0.524024024024024,737.9471843242645,0.46450974079890067,19
600,0.7567567567567568,4.680472135543823,0.7100497220593444,0.7657657657657657,5.165907144546509,0.7270306589541676,0.6816816816816816,594.2561843395233,0.6305846959798479,14,0.5105105105105106,656.1124777793884,0.4533330751039641,20
800,0.7552552552552553,5.079802513122559,0.7098393693744974,0.7597597597597597,3.9443392753601074,0.719842029349465,0.6681681681681682,705.153137922287,0.6155942865992499,15,0.5105105105105106,717.0612545013428,0.45326792119445897,20
1000,0.7657657657657657,4.781089544296265,0.7223211613768271,0.7612612612612613,5.367495536804199,0.7212767722709629,0.6351351351351351,798.228547334671,0.5846569785703682,17,0.5,668.3989350795746,0.4398116580354357,20
1200,0.7717717717717718,5.043187856674194,0.7286648096625382,0.7612612612612613,4.38688588142395,0.7213796345403832,0.6216216216216216,846.4425601959229,0.5733431381854229,19,0.5075075075075075,610.8512663841248,0.44635882639801966,20
1400,0.7522522522522522,4.902673006057739,0.7142743968581641,0.7597597597597597,6.210964918136597,0.7240977862687825,0.6096096096096096,845.6048276424408,0.560631851423939,19,0.5045045045045045,780.1386024951935,0.4457092079388801,20
1600,0.7672672672672672,5.0084168910980225,0.7229164313257131,0.7612612612612613,6.233490467071533,0.7253276393608803,0.5990990990990991,919.7192125320435,0.5483917434945793,20,0.4984984984984985,719.503947019577,0.4417493186367541,20
1800,0.7522522522522522,5.329738616943359,0.7116269002443101,0.7612612612612613,4.847299814224243,0.7254394426181561,0.5990990990990991,825.1020588874817,0.5471894789208788,20,0.5075075075075075,680.172066450119,0.44624540740823565,20
2000,0.7507507507507507,5.045183181762695,0.7084651558659182,0.7612612612612613,5.365118503570557,0.7251771098208208,0.5945945945945946,827.5713336467743,0.5462109493787679,20,0.503003003003003,738.7830481529236,0.4453552883889306,20
