,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.7627627627627628,26.468795776367188,0.7221941864197147,0.7507507507507507,2.2476329803466797,0.7084811465890172,0.7072072072072072,1079.9539623260498,0.6540327981790119,10,0.5195195195195195,1534.4995589256287,0.4627630293133034,17
400,0.7537537537537538,15.38659381866455,0.7117500254369777,0.7462462462462462,2.327407121658325,0.7003228486772306,0.6666666666666666,1268.7264876365662,0.6138591805619257,12,0.4774774774774775,1865.812077999115,0.42561104061407184,20
600,0.7567567567567568,16.22705602645874,0.7193447974702987,0.7537537537537538,1.2212069034576416,0.7095823566344595,0.6321321321321322,1582.251514673233,0.580124328008736,15,0.4744744744744745,1823.1682043075562,0.4229050558603389,20
800,0.7537537537537538,17.023804903030396,0.7164559119332559,0.7552552552552553,1.4587397575378418,0.71483829894358,0.6051051051051051,1802.4793021678925,0.5544317113233971,17,0.47297297297297297,1849.3653967380524,0.42005398391120646,20
1000,0.7612612612612613,16.69769024848938,0.725154831496665,0.7537537537537538,1.1244184970855713,0.7153771496448597,0.6066066066066066,1772.5510857105255,0.5588550343658312,17,0.47147147147147145,1836.3359405994415,0.4192782809894671,20
1200,0.7567567567567568,15.624771356582642,0.7229624221781003,0.7552552552552553,1.5622987747192383,0.7164889258086173,0.6051051051051051,1803.491661310196,0.5574076676730161,17,0.47297297297297297,1769.5958783626556,0.42097763029352125,20
1400,0.7582582582582582,16.37688398361206,0.7180444402740266,0.7582582582582582,1.7078299522399902,0.7171469680822983,0.5900900900900901,2014.401639699936,0.5442650262101905,19,0.4744744744744745,1780.9886560440063,0.4229313860230666,20
1600,0.7537537537537538,15.221057176589966,0.7169573802977348,0.7522522522522522,2.102268934249878,0.708251767274002,0.5735735735735735,2096.930789709091,0.5273208562737313,20,0.47147147147147145,1787.3430213928223,0.4199927969512358,20
1800,0.7537537537537538,17.645145654678345,0.7148217321236959,0.7477477477477478,0.8980917930603027,0.7069036597779436,0.5705705705705706,2178.6463515758514,0.5261316440598718,20,0.4774774774774775,1800.1075284481049,0.4258593893790171,20
2000,0.7522522522522522,16.282937049865723,0.7136826148608377,0.7492492492492493,2.2120254039764404,0.7076022029651967,0.575075075075075,2172.8402593135834,0.5308177678105599,20,0.47297297297297297,1786.2183184623718,0.42141543809276594,20
