,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.7717717717717718,3.3286595344543457,0.728657279483098,0.7672672672672672,1.8020069599151611,0.7341845310470955,0.7612612612612613,462.30304050445557,0.719942051734309,8,0.512012012012012,830.9135859012604,0.45235867926051476,19
400,0.7702702702702703,2.8992738723754883,0.7261540666699514,0.7627627627627628,1.4113316535949707,0.7308021885567401,0.7387387387387387,529.1361348628998,0.6989163779093924,9,0.503003003003003,720.1890709400177,0.44565990961457763,19
600,0.7672672672672672,3.4872894287109375,0.7217653861912968,0.7567567567567568,1.1797192096710205,0.7253605664066337,0.6816816816816816,678.5365235805511,0.6435893671852596,14,0.5045045045045045,873.465012550354,0.43940107389460703,20
800,0.7762762762762763,3.5485198497772217,0.7353523345499552,0.7612612612612613,1.750471591949463,0.7312961628086336,0.6636636636636637,852.3801987171173,0.6113913783319189,15,0.49099099099099097,779.4036412239075,0.4295351174908654,20
1000,0.7672672672672672,3.6122236251831055,0.7291527471057752,0.7567567567567568,1.9642760753631592,0.7275821784969797,0.6321321321321322,883.8342566490173,0.5824892778543697,17,0.496996996996997,848.3468744754791,0.4357235369545891,20
1200,0.7687687687687688,3.258979082107544,0.726691348411696,0.7507507507507507,1.292740821838379,0.722468494669802,0.6201201201201201,1014.134194612503,0.5669281985227813,19,0.4954954954954955,824.176037311554,0.43426441206320177,20
1400,0.7732732732732732,3.211719274520874,0.7295753314804149,0.7432432432432432,1.7825782299041748,0.716016100410673,0.6111111111111112,996.9021062850952,0.5600406857343058,19,0.4924924924924925,800.0875270366669,0.4303577372329497,20
1600,0.7702702702702703,3.300569534301758,0.7249881763171343,0.7312312312312312,2.406188488006592,0.7070663606800266,0.5930930930930931,1038.120167016983,0.5417508736878195,20,0.481981981981982,780.7423708438873,0.4270202061841704,20
1800,0.7687687687687688,4.228308439254761,0.7286241720355355,0.7177177177177178,1.7676122188568115,0.695414389406675,0.5975975975975976,986.964170217514,0.5461024684433183,20,0.487987987987988,772.0461444854736,0.4271362465743535,20
2000,0.7507507507507507,3.782464027404785,0.7074076395029928,0.7162162162162162,1.605518102645874,0.6949015258617498,0.5990990990990991,960.6383612155914,0.5490092762906771,20,0.496996996996997,900.2043962478638,0.43942093031766943,20
