,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.8505535055350554,4.19539213180542,0.8345222419524889,0.8487084870848709,6.090275049209595,0.8362467168641109,0.6439114391143912,325.5936453342438,0.5920490845189058,20,0.4225092250922509,86.91571617126465,0.37403184168751163,18
400,0.8542435424354243,4.211266994476318,0.841189300789334,0.8413284132841329,5.767664432525635,0.8297017075739525,0.6383763837638377,361.34474420547485,0.5894556967712176,20,0.43357933579335795,102.10681819915771,0.38968369121470675,19
600,0.8394833948339483,4.230245351791382,0.8209762481948205,0.8450184501845018,4.577961206436157,0.8328215801829372,0.6476014760147601,356.1061749458313,0.596233024556034,20,0.4114391143911439,97.61525511741638,0.3682519199464692,20
800,0.8376383763837638,3.9288806915283203,0.8191894028397909,0.8413284132841329,5.649503946304321,0.8270376693281427,0.6568265682656826,350.55963706970215,0.6123621365219548,20,0.41697416974169743,94.10966658592224,0.3761084693790284,20
1000,0.8431734317343174,4.178377389907837,0.8257395898093469,0.8376383763837638,5.691943883895874,0.8209756836993122,0.6512915129151291,353.4271800518036,0.6012557018036493,20,0.4188191881918819,87.40204548835754,0.3772733390799535,20
1200,0.8542435424354243,4.352804899215698,0.8372236924789593,0.8284132841328413,5.697915077209473,0.8114377021196807,0.6439114391143912,373.20165824890137,0.5955790443249986,20,0.4151291512915129,98.30125522613525,0.37221328752597016,20
1400,0.8228782287822878,3.8118059635162354,0.8101190726374907,0.8284132841328413,7.590242862701416,0.8123434966395896,0.6457564575645757,343.9225618839264,0.5962080185917695,20,0.42988929889298894,100.17238521575928,0.37898779835269053,20
1600,0.8265682656826568,4.448918104171753,0.8105373567170371,0.8284132841328413,7.327721357345581,0.8133767015075589,0.6494464944649446,335.1253583431244,0.5967045035790995,20,0.43357933579335795,109.36353588104248,0.38492317804986265,20
1800,0.8468634686346863,4.260909557342529,0.8324470776002838,0.8265682656826568,5.503898620605469,0.8076290415635702,0.6457564575645757,354.0991985797882,0.590070519501307,20,0.41697416974169743,120.6514642238617,0.3671863591175147,20
2000,0.8357933579335793,3.79516339302063,0.8141236117294925,0.8302583025830258,6.760216236114502,0.8106208963659018,0.6476014760147601,370.54237151145935,0.5925838671961657,20,0.4077490774907749,115.46916317939758,0.3660138809320323,20
