,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.8413284132841329,22.506775379180908,0.8254281596781047,0.8468634686346863,1.290830373764038,0.8309582336463492,0.6900369003690037,334.9778027534485,0.6522281854328218,8,0.4612546125461255,410.2683582305908,0.4225048731066799,20
400,0.8357933579335793,15.633243560791016,0.8214574291913824,0.8357933579335793,2.169917106628418,0.8209147644703183,0.6531365313653137,537.3132252693176,0.6258992768858771,13,0.45940959409594095,400.4907193183899,0.4185380536391498,20
600,0.8339483394833949,14.814570426940918,0.8241950334150532,0.8265682656826568,1.6341552734375,0.813278818164831,0.5959409594095941,874.3897762298584,0.5770511695008047,20,0.4575645756457565,404.16259384155273,0.4179652180485884,20
800,0.8247232472324724,14.277370691299438,0.812097654578754,0.8154981549815498,1.3506159782409668,0.8051446221656526,0.5922509225092251,894.2986116409302,0.5741551918855781,20,0.44649446494464945,463.5946912765503,0.4086866617018098,20
1000,0.8247232472324724,13.742749452590942,0.8164218871681241,0.8210332103321033,1.4970147609710693,0.809140701288184,0.5959409594095941,930.7049243450165,0.5774533329184092,20,0.45940959409594095,444.0608994960785,0.42009339580825344,20
1200,0.8136531365313653,14.023677825927734,0.8002268390312096,0.8154981549815498,1.2051568031311035,0.8042052757562522,0.5885608856088561,906.1870980262756,0.5677064444383133,20,0.4612546125461255,438.63731932640076,0.41874632302944637,20
1400,0.8118081180811808,14.626680374145508,0.7969304683673125,0.8136531365313653,1.2509551048278809,0.8017674830551828,0.5977859778597786,917.1284964084625,0.5808780882421155,20,0.4575645756457565,454.7740099430084,0.4166326953630862,20
1600,0.8044280442804428,15.964426040649414,0.7924611003999169,0.8081180811808119,2.225651979446411,0.7988248933516703,0.5940959409594095,913.165032863617,0.5761360291555493,20,0.45940959409594095,436.6922535896301,0.42023968899489883,20
1800,0.8099630996309963,15.499802112579346,0.7957988900909704,0.7933579335793358,1.2184653282165527,0.7817468750050319,0.5959409594095941,906.0862991809845,0.5786690318676799,20,0.4575645756457565,437.6912040710449,0.4186818866492619,20
2000,0.8044280442804428,15.811602354049683,0.7918963539494618,0.7878228782287823,1.3167614936828613,0.7754092817286476,0.5904059040590406,942.6664235591888,0.57348306485924,20,0.45202952029520294,363.10487937927246,0.4156579284986361,20
