,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.8616236162361623,5.5435631275177,0.8519867854832731,0.8671586715867159,2.4571316242218018,0.8600519516111564,0.6457564575645757,369.7993540763855,0.5939710096838505,20,0.46494464944649444,107.25439310073853,0.42160646032784316,18
400,0.8597785977859779,5.58259654045105,0.8516618804512318,0.8690036900369004,2.9393367767333984,0.861627308456664,0.6494464944649446,360.7410681247711,0.5937313889962365,20,0.43726937269372695,98.35684609413147,0.3881447215238935,19
600,0.8616236162361623,5.346835374832153,0.8519912156409627,0.8690036900369004,2.5675771236419678,0.862466252979158,0.6476014760147601,397.84523034095764,0.6028460521839093,20,0.43357933579335795,102.67579436302185,0.39183781357106706,20
800,0.8523985239852399,5.768730401992798,0.8427709584283004,0.8708487084870848,2.8161985874176025,0.8628593374631962,0.6531365313653137,369.0444104671478,0.601188587960997,20,0.42988929889298894,97.60411477088928,0.37609499371812394,20
1000,0.8542435424354243,5.699573993682861,0.84525911481145,0.8653136531365314,2.7949726581573486,0.8558063806818987,0.6531365313653137,400.81818437576294,0.6039928348703419,20,0.42066420664206644,121.65382075309753,0.37249478124464097,20
1200,0.8560885608856088,5.930319309234619,0.8418329691221462,0.8671586715867159,3.5749735832214355,0.8542654263914221,0.6420664206642066,384.96015429496765,0.5911930763415578,20,0.42988929889298894,100.5160779953003,0.3870257614431805,20
1400,0.8690036900369004,5.018229961395264,0.8631186735068856,0.8671586715867159,2.5993072986602783,0.853873892605246,0.6476014760147601,393.1242220401764,0.5949948414634901,20,0.43357933579335795,107.32471370697021,0.3901293538972212,20
1600,0.8523985239852399,5.940734386444092,0.8431248259637759,0.8653136531365314,3.9556362628936768,0.850957925244096,0.6494464944649446,384.24866342544556,0.6022639341241759,20,0.4261992619926199,111.52029776573181,0.38003033997916974,20
1800,0.8634686346863468,5.393319606781006,0.8538385532510591,0.8616236162361623,4.6592676639556885,0.8458518241606257,0.6439114391143912,371.10806107521057,0.5843569491456727,20,0.4261992619926199,112.9694299697876,0.3869719018685297,20
2000,0.8616236162361623,5.236100912094116,0.8481183140022504,0.8579335793357934,3.1229448318481445,0.8419174302948677,0.6476014760147601,393.00032019615173,0.5930609606746663,20,0.42988929889298894,100.44426035881042,0.3750949053889741,20
