,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.859778598,7.86332798,0.845467111,0.856088561,1.756858587,0.839686552,0.649446494,34.49861884,0.622333905,17,0.483394834,40.5101974,0.454588385,19
400,0.857933579,6.657726526,0.842209211,0.84501845,1.831027985,0.828817767,0.643911439,39.54381728,0.615437428,20,0.483394834,44.59679341,0.455548321,20
600,0.863468635,6.728250742,0.848425496,0.852398524,1.919142723,0.83388844,0.640221402,42.7053299,0.610103099,20,0.481549815,42.66917872,0.457469024,20
800,0.861623616,5.79E+00,0.847382521,0.84501845,1.476110697,0.831588383,0.638376384,42.63737082,0.610309135,20,0.47601476,49.43382096,0.451109013,20
1000,0.86900369,5.864236832,0.854753483,0.84501845,1.33916831,0.831964791,0.638376384,40.30117393,0.609255798,20,0.483394834,49.7187562,0.457687545,20
1200,0.865313653,4.870817423,0.852805119,0.846863469,1.195432425,0.830813914,0.640221402,42.89892435,0.608756383,20,0.483394834,49.55461907,0.456046035,20
1400,0.861623616,4.980369091,0.851660816,0.84501845,1.712310076,0.8283745,0.640221402,44.56695509,0.609479436,20,0.481549815,48.69511986,0.454329861,20
1600,0.857933579,4.983575583,0.847053122,0.84501845,1.826054096,0.829042924,0.636531365,48.69037366,0.605911851,20,0.47601476,47.0205605,0.449631446,20
1800,0.856088561,4.021326303,0.844942061,0.843173432,1.130813837,0.827938737,0.640221402,47.6285181,0.60957756,20,0.474169742,47.39162326,0.448552664,20
2000,0.859778598,4.067778826,0.848137249,0.835793358,1.091263056,0.820741534,0.636531365,47.99384713,0.605949486,20,0.479704797,45.21299028,0.452158589,20
