,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.8653136531365314,3.345804452896118,0.8575153642781509,0.8708487084870848,2.5356578826904297,0.8621939409246212,0.6328413284132841,364.2559609413147,0.5809560019923563,20,0.44280442804428044,114.36619472503662,0.3982321235926855,18
400,0.8653136531365314,3.6006505489349365,0.8509233821729631,0.8653136531365314,2.1010048389434814,0.8576708167042792,0.6346863468634686,354.154732465744,0.577770910992026,20,0.4280442804428044,138.23036575317383,0.380047799740871,19
600,0.8653136531365314,3.5577805042266846,0.8532059428896094,0.8634686346863468,2.4685747623443604,0.8577206146248298,0.6328413284132841,350.5634024143219,0.5734915694826539,20,0.4261992619926199,136.35166788101196,0.38010696832222235,20
800,0.8560885608856088,3.704387903213501,0.8442990100730079,0.8616236162361623,2.83750057220459,0.8566005458654212,0.6291512915129152,364.54609179496765,0.5745524556896504,20,0.42988929889298894,141.36427569389343,0.3782278145698986,20
1000,0.8690036900369004,3.669604778289795,0.8539090929817715,0.8671586715867159,2.4257235527038574,0.8612267333799905,0.6328413284132841,354.1866681575775,0.5798117694137515,20,0.4132841328413284,122.55918550491333,0.3627997102555029,20
1200,0.8763837638376384,3.35125470161438,0.8675082574426994,0.8671586715867159,3.021172523498535,0.8629190410235091,0.6291512915129152,340.0340509414673,0.5744418630870214,20,0.42066420664206644,148.47201442718506,0.3726358240020194,20
1400,0.8616236162361623,3.3605101108551025,0.8552232369064734,0.8634686346863468,3.3949856758117676,0.8589663535612715,0.6309963099630996,361.71672344207764,0.5750587319397397,20,0.42435424354243545,131.78095197677612,0.37197184506784176,20
1600,0.8690036900369004,3.1531269550323486,0.8583846229089607,0.8542435424354243,2.4215152263641357,0.8504873884341496,0.6457564575645757,376.0989046096802,0.592343448947261,20,0.4280442804428044,152.06220746040344,0.37868674880818315,20
1800,0.8690036900369004,3.2429234981536865,0.8635499081458285,0.8487084870848709,2.973206043243408,0.844907642500967,0.6346863468634686,334.66663098335266,0.578734608222871,20,0.4261992619926199,128.14042377471924,0.37168046859528114,20
2000,0.8634686346863468,3.4549779891967773,0.850941963509762,0.8523985239852399,3.5188381671905518,0.8469090875192035,0.6346863468634686,396.80709075927734,0.5812416890850315,20,0.4280442804428044,130.17400479316711,0.3817382551872776,20
