# edges,setting,running time
100,Retrain(GCN),6.65408
200,Retrain(GCN),6.642337
400,Retrain(GCN),6.692857
800,Retrain(GCN),6.60201
1000,Retrain(GCN),6.795598
100,ERAEDGE(GCN),2.0912
200,ERAEDGE(GCN),2.136125
400,ERAEDGE(GCN),2.310733
800,ERAEDGE(GCN),2.26809
1000,ERAEDGE(GCN),2.360177
100,Retrain(GAT),14.599587
200,Retrain(GAT),13.97291
400,Retrain(GAT),14.86263
800,Retrain(GAT),16.638894
1000,Retrain(GAT),16.611749
100,ERAEDGE(GAT),3.435491
200,ERAEDGE(GAT),3.330673
400,ERAEDGE(GAT),3.561304
800,ERAEDGE(GAT),4.104839
1000,ERAEDGE(GAT),4.228509
100,Retrain(GraphSAGE),5.323883
200,Retrain(GraphSAGE),5.501038
400,Retrain(GraphSAGE),5.31449
800,Retrain(GraphSAGE),5.537806
1000,Retrain(GraphSAGE),5.606641
100,ERAEDGE(GraphSAGE),1.69488
200,ERAEDGE(GraphSAGE),1.731988
400,ERAEDGE(GraphSAGE),1.915276
800,ERAEDGE(GraphSAGE),1.734242
1000,ERAEDGE(GraphSAGE),2.06571
100,Retrain(GIN),3.488615
200,Retrain(GIN),3.541615
400,Retrain(GIN),3.629158
800,Retrain(GIN),3.548635
1000,Retrain(GIN),3.492314
100,ERAEDGE(GIN),1.082686
200,ERAEDGE(GIN),1.03944
400,ERAEDGE(GIN),1.054336
800,ERAEDGE(GIN),1.320383
1000,ERAEDGE(GIN),1.258686
