# edges,setting,running time
100,Retrain(GCN),7.170349
200,Retrain(GCN),6.802868
400,Retrain(GCN),6.819369
800,Retrain(GCN),6.568185
1000,Retrain(GCN),6.445661
100,ERAEDGE(GCN),1.650932
200,ERAEDGE(GCN),1.751642
400,ERAEDGE(GCN),1.615391
800,ERAEDGE(GCN),1.631591
1000,ERAEDGE(GCN),2.145696
100,Retrain(GAT),14.740741
200,Retrain(GAT),12.801957
400,Retrain(GAT),14.34333
800,Retrain(GAT),14.199612
1000,Retrain(GAT),13.857939
100,ERAEDGE(GAT),3.612943
200,ERAEDGE(GAT),3.382217
400,ERAEDGE(GAT),3.753929
800,ERAEDGE(GAT),3.871894
1000,ERAEDGE(GAT),4.071951
100,Retrain(GraphSAGE),3.823184
200,Retrain(GraphSAGE),4.012414
400,Retrain(GraphSAGE),4.091971
800,Retrain(GraphSAGE),3.965204
1000,Retrain(GraphSAGE),3.838022
100,ERAEDGE(GraphSAGE),1.011398
200,ERAEDGE(GraphSAGE),1.058552
400,ERAEDGE(GraphSAGE),1.276088
800,ERAEDGE(GraphSAGE),1.374687
1000,ERAEDGE(GraphSAGE),1.572948
100,Retrain(GIN),2.746711
200,Retrain(GIN),2.739061
400,Retrain(GIN),2.894352
800,Retrain(GIN),2.835915
1000,Retrain(GIN),2.887798
100,ERAEDGE(GIN),0.922248
200,ERAEDGE(GIN),1.047694
400,ERAEDGE(GIN),0.934373
800,ERAEDGE(GIN),1.094139
1000,ERAEDGE(GIN),1.328062
