# edges,setting,running time
100,Retrain(GCN),11.666388
200,Retrain(GCN),11.021739
400,Retrain(GCN),11.219853
800,Retrain(GCN),11.159208
1000,Retrain(GCN),11.845045
100,ERAEDGE(GCN),1.12483
200,ERAEDGE(GCN),1.49524
400,ERAEDGE(GCN),1.840383
800,ERAEDGE(GCN),2.179042
1000,ERAEDGE(GCN),2.804174
100,Retrain(GAT),12.335747
200,Retrain(GAT),10.41676
400,Retrain(GAT),11.303686
800,Retrain(GAT),10.82776
1000,Retrain(GAT),9.421549
100,ERAEDGE(GAT),2.943421
200,ERAEDGE(GAT),3.271953
400,ERAEDGE(GAT),3.394638
800,ERAEDGE(GAT),4.466084
1000,ERAEDGE(GAT),4.537184
100,Retrain(GraphSAGE),10.288614
200,Retrain(GraphSAGE),10.081811
400,Retrain(GraphSAGE),10.261179
800,Retrain(GraphSAGE),10.371676
1000,Retrain(GraphSAGE),10.160977
100,ERAEDGE(GraphSAGE),1.089728
200,ERAEDGE(GraphSAGE),1.242324
400,ERAEDGE(GraphSAGE),1.498266
800,ERAEDGE(GraphSAGE),2.323857
1000,ERAEDGE(GraphSAGE),2.499572
100,Retrain(GIN),3.548335
200,Retrain(GIN),2.835381
400,Retrain(GIN),2.980905
800,Retrain(GIN),3.202222
1000,Retrain(GIN),3.054898
100,ERAEDGE(GIN),0.79704
200,ERAEDGE(GIN),0.920911
400,ERAEDGE(GIN),1.207728
800,ERAEDGE(GIN),1.86919
1000,ERAEDGE(GIN),2.144684
