# edges,partition,running time,accuracy,f1,# shards,setting
0,blpa,1351.556713,0.786786787,0.683779475,20,BLPA
0,bekm,441.1202419,0.671171171,0.575341982,20,BEKM
100,blpa,50.01027274,0.768768769,0.668764042,4,BLPA
100,bekm,163.3601975,0.600600601,0.5406423,13,BEKM
0,blpa,1457.847623,0.782282282,0.678688689,20,BLPA
0,bekm,450.2937951,0.668168168,0.555374182,20,BEKM
100,blpa,75.08439255,0.771771772,0.669553896,6,BLPA
100,bekm,188.206419,0.605105105,0.542836934,15,BEKM
0,blpa,1570.487849,0.786786787,0.681624661,20,BLPA
0,bekm,574.6474714,0.68018018,0.587108996,20,BEKM
100,blpa,25.12330437,0.777777778,0.673341006,2,BLPA
100,bekm,150.8060594,0.684684685,0.584542577,12,BEKM
0,blpa,1420.069906,0.782282282,0.677176146,20,BLPA
0,bekm,405.416995,0.600600601,0.524563672,20,BEKM
100,blpa,87.94233632,0.768768769,0.679544871,7,BLPA
100,bekm,137.8174925,0.602102102,0.532922815,11,BEKM
0,blpa,1405.439029,0.780780781,0.676427516,20,BLPA
0,bekm,289.5845995,0.481981982,0.352626066,20,BEKM
100,blpa,75.26637912,0.765765766,0.662101206,6,BLPA
100,bekm,238.6261194,0.486486486,0.422459447,19,BEKM
0,blpa,1483.82477,0.774774775,0.668879838,20,BLPA
0,bekm,512.0313883,0.651651652,0.551553655,20,BEKM
100,blpa,25.09607172,0.774774775,0.670065364,2,BLPA
100,bekm,201.3786044,0.555555556,0.482520257,16,BEKM
0,blpa,1305.379774,0.777777778,0.673003343,20,BLPA
0,bekm,418.352555,0.51951952,0.465249513,20,BEKM
100,blpa,37.77898049,0.777777778,0.674113238,3,BLPA
100,bekm,201.121798,0.524024024,0.469449952,16,BEKM
0,blpa,1248.78449,0.791291291,0.685424706,20,BLPA
0,bekm,458.2745163,0.698198198,0.595459351,20,BEKM
100,blpa,62.77815461,0.785285285,0.68123302,5,BLPA
100,bekm,226.1259375,0.501501502,0.440381927,18,BEKM
0,blpa,1454.739387,0.779279279,0.674629529,20,BLPA
