# edges,partition,running time,accuracy,f1,# shards,setting
0,blpa,520.3629062,0.806306306,0.707660633,20,BLPA
0,bekm,321.6483772,0.711711712,0.611458627,20,BEKM
100,blpa,89.00931334,0.798798799,0.721874021,7,BLPA
100,bekm,195.0781894,0.576576577,0.512220585,16,BEKM
0,blpa,506.7510259,0.803303303,0.701641456,20,BLPA
0,bekm,227.0712376,0.624624625,0.547179165,20,BEKM
100,blpa,50.56506419,0.803303303,0.711176346,4,BLPA
100,bekm,203.3138378,0.575075075,0.500307753,16,BEKM
0,blpa,523.8380387,0.807807808,0.709052378,20,BLPA
0,bekm,285.5744722,0.708708709,0.617306316,20,BEKM
100,blpa,25.60527372,0.803303303,0.713783508,2,BLPA
100,bekm,152.5292354,0.660660661,0.588307708,12,BEKM
0,blpa,519.0431945,0.78978979,0.699618115,20,BLPA
0,bekm,332.9048724,0.714714715,0.648949531,20,BEKM
100,blpa,38.21705031,0.798798799,0.720679767,3,BLPA
100,bekm,165.7978857,0.632132132,0.557209325,13,BEKM
0,blpa,556.3818862,0.788288288,0.69843527,20,BLPA
0,bekm,297.7302892,0.584084084,0.481856533,20,BEKM
100,blpa,38.29774213,0.795795796,0.711081909,3,BLPA
100,bekm,177.9968116,0.645645646,0.568353538,14,BEKM
0,blpa,512.2843611,0.780780781,0.689500377,20,BLPA
0,bekm,330.7969818,0.671171171,0.582947366,20,BEKM
100,blpa,63.88234901,0.788288288,0.704641118,5,BLPA
100,bekm,180.1027024,0.555555556,0.488307328,14,BEKM
0,blpa,520.4406929,0.795795796,0.699216704,20,BLPA
0,bekm,294.3531251,0.714714715,0.609398617,20,BEKM
100,blpa,90.84714317,0.791291291,0.708769039,7,BLPA
100,bekm,204.1167076,0.543543544,0.483232202,16,BEKM
0,blpa,485.4443157,0.798798799,0.705037683,20,BLPA
0,bekm,356.6424482,0.725225225,0.627786506,20,BEKM
100,blpa,38.72253942,0.798798799,0.713342776,3,BLPA
100,bekm,140.8732438,0.630630631,0.56185429,11,BEKM
0,blpa,511.1573591,0.795795796,0.698010674,20,BLPA
0,bekm,271.8305757,0.713213213,0.609608062,20,BEKM
100,blpa,87.934834,0.780780781,0.697671067,7,BLPA
100,bekm,138.5956566,0.672672673,0.590479166,11,BEKM
0,blpa,513.7921214,0.803303303,0.709022345,20,BLPA
0,bekm,342.1342149,0.633633634,0.56763227,20,BEKM
100,blpa,37.56558633,0.794294294,0.713476654,3,BLPA
100,bekm,187.2292278,0.608108108,0.536418222,15,BEKM
200,blpa,66.04010558,0.797297297,0.71380472,5,BLPA
200,bekm,277.358078,0.463963964,0.398200967,20,BEKM
400,blpa,170.277365,0.764264264,0.702774895,12,BLPA
400,bekm,277.4371915,0.507507508,0.440145365,20,BEKM
800,blpa,210.9748836,0.690690691,0.632837856,16,BLPA
800,bekm,288.8699775,0.493993994,0.437782918,20,BEKM
1000,blpa,248.7591107,0.663663664,0.604722382,18,BLPA
1000,bekm,273.0117292,0.486486486,0.420165571,20,BEKM
200,blpa,108.9759903,0.780780781,0.711083884,8,BLPA
200,bekm,294.4987218,0.496996997,0.435172929,20,BEKM
400,blpa,191.259443,0.719219219,0.651126747,13,BLPA
400,bekm,298.256887,0.481981982,0.416892248,20,BEKM
800,blpa,229.8429148,0.672672673,0.616113804,17,BLPA
800,bekm,274.6115742,0.506006006,0.440254583,20,BEKM
1000,blpa,263.9934783,0.648648649,0.596293373,18,BLPA
1000,bekm,299.1528099,0.515015015,0.453008021,20,BEKM
200,blpa,163.6507359,0.722222222,0.65946644,12,BLPA
200,bekm,224.8839352,0.527027027,0.453515283,17,BEKM
400,blpa,230.7973752,0.674174174,0.614989086,17,BLPA
400,bekm,270.243088,0.477477477,0.409819307,20,BEKM
800,blpa,252.7503197,0.641141141,0.586456195,19,BLPA
800,bekm,266.9700665,0.463963964,0.40279532,20,BEKM
1000,blpa,251.1791241,0.630630631,0.580973333,19,BLPA
1000,bekm,271.0599654,0.477477477,0.418375981,20,BEKM
200,blpa,104.9140284,0.776276276,0.712950496,8,BLPA
200,bekm,248.9736199,0.506006006,0.444583014,19,BEKM
400,blpa,118.1994619,0.77027027,0.704867822,9,BLPA
400,bekm,253.0308123,0.506006006,0.446533234,20,BEKM
800,blpa,197.8801012,0.698198198,0.636821531,15,BLPA
800,bekm,261.8261898,0.509009009,0.45405532,20,BEKM
1000,blpa,208.1760457,0.68018018,0.622336826,16,BLPA
1000,bekm,266.6465223,0.472972973,0.415737415,20,BEKM
200,blpa,152.8268921,0.777777778,0.695398681,9,BLPA
200,bekm,309.019717,0.545045045,0.479204308,18,BEKM
