# edges,partition,running time,accuracy,f1,# shards,setting
0,blpa,650.9897869,0.810810811,0.721789975,20,BLPA
0,bekm,666.2452381,0.722222222,0.659711653,20,BEKM
100,blpa,36.83321738,0.795795796,0.700405425,3,BLPA
100,bekm,152.7850118,0.614114114,0.544113769,13,BEKM
0,blpa,628.0177178,0.8003003,0.716341285,20,BLPA
0,bekm,605.9245844,0.743243243,0.699967392,20,BEKM
100,blpa,36.86038733,0.786786787,0.704557688,3,BLPA
100,bekm,144.6090105,0.63963964,0.571559298,13,BEKM
0,blpa,624.6360235,0.815315315,0.720783172,20,BLPA
0,bekm,593.1089451,0.701201201,0.627998404,20,BEKM
100,blpa,48.97966695,0.803303303,0.710403018,4,BLPA
100,bekm,209.1977966,0.551051051,0.479190312,17,BEKM
0,blpa,633.3443136,0.809309309,0.719213481,20,BLPA
0,bekm,613.9269872,0.659159159,0.579581926,20,BEKM
100,blpa,37.17352295,0.794294294,0.702124518,3,BLPA
100,bekm,188.8300636,0.548048048,0.48167309,16,BEKM
0,blpa,613.6190791,0.804804805,0.715285477,20,BLPA
0,bekm,610.0472705,0.716216216,0.657554528,20,BEKM
100,blpa,24.42680383,0.798798799,0.706739061,2,BLPA
100,bekm,175.1664727,0.588588589,0.51726693,15,BEKM
0,blpa,604.0994217,0.813813814,0.73175096,20,BLPA
0,bekm,610.9015329,0.702702703,0.620618054,20,BEKM
100,blpa,36.60201669,0.807807808,0.738199444,3,BLPA
100,bekm,144.8825986,0.59009009,0.526842863,13,BEKM
0,blpa,637.763032,0.803303303,0.713940882,20,BLPA
0,bekm,657.6510551,0.74024024,0.658553522,20,BEKM
100,blpa,61.8616159,0.78978979,0.706781399,5,BLPA
100,bekm,155.2022038,0.62012012,0.541800246,13,BEKM
0,blpa,589.2409205,0.8003003,0.707665744,20,BLPA
0,bekm,606.513962,0.671171171,0.630175818,20,BEKM
100,blpa,61.82744765,0.785285285,0.699993952,5,BLPA
100,bekm,153.1162465,0.581081081,0.505012565,13,BEKM
0,blpa,636.96455,0.815315315,0.720660917,20,BLPA
0,bekm,535.1870384,0.641141141,0.569512869,20,BEKM
100,blpa,49.33364129,0.803303303,0.712664964,4,BLPA
100,bekm,169.0022941,0.596096096,0.525263329,14,BEKM
0,blpa,678.4776382,0.803303303,0.705406585,20,BLPA
0,bekm,540.5730522,0.719219219,0.657091675,20,BEKM
100,blpa,37.63759017,0.791291291,0.701764968,3,BLPA
100,bekm,141.3018112,0.612612613,0.538907734,12,BEKM
200,blpa,103.0261993,0.771771772,0.695921644,8,BLPA
200,bekm,205.4589908,0.521021021,0.462125753,18,BEKM
400,blpa,130.357106,0.746246246,0.683606801,10,BLPA
400,bekm,229.6826963,0.503003003,0.437557287,19,BEKM
800,blpa,156.0889208,0.750750751,0.6835447,12,BLPA
800,bekm,264.6452148,0.492492492,0.433028688,20,BEKM
