# edges,partition,running time,accuracy,f1,# shards,setting
0,blpa,608.4436302,0.806306306,0.709048546,20,BLPA
0,bekm,506.2441123,0.668168168,0.587315725,20,BEKM
100,blpa,37.59583116,0.797297297,0.709598997,3,BLPA
100,bekm,164.3934188,0.662162162,0.582298484,13,BEKM
0,blpa,636.077879,0.801801802,0.714255621,20,BLPA
0,bekm,447.7825818,0.644144144,0.576486744,20,BEKM
100,blpa,25.14145327,0.797297297,0.714214805,2,BLPA
100,bekm,163.4253709,0.612612613,0.528866317,13,BEKM
0,blpa,634.9810688,0.816816817,0.721930081,20,BLPA
0,bekm,568.2816551,0.753753754,0.672429885,20,BEKM
100,blpa,62.81266499,0.792792793,0.699729962,5,BLPA
100,bekm,188.7807541,0.618618619,0.54735104,15,BEKM
0,blpa,604.4709404,0.804804805,0.708089337,20,BLPA
0,bekm,475.0063279,0.63963964,0.550641626,20,BEKM
100,blpa,62.94182348,0.788288288,0.696541332,5,BLPA
100,bekm,163.3392437,0.624624625,0.548640164,13,BEKM
0,blpa,623.2124729,0.803303303,0.713922009,20,BLPA
0,bekm,499.5436628,0.777777778,0.719227525,20,BEKM
100,blpa,88.36186481,0.783783784,0.701482534,7,BLPA
100,bekm,164.3880868,0.645645646,0.5663152,13,BEKM
0,blpa,602.1870952,0.797297297,0.696248826,20,BLPA
0,bekm,338.4085906,0.612612613,0.525359558,20,BEKM
100,blpa,37.95786881,0.797297297,0.711195407,3,BLPA
100,bekm,188.8746886,0.546546547,0.482079377,15,BEKM
0,blpa,605.3829417,0.804804805,0.701500262,20,BLPA
0,bekm,485.2895865,0.735735736,0.661188215,20,BEKM
100,blpa,50.17588162,0.785285285,0.694888998,4,BLPA
100,bekm,202.2544298,0.594594595,0.525392997,16,BEKM
0,blpa,616.009479,0.801801802,0.703488653,20,BLPA
0,bekm,414.5243464,0.611111111,0.535773983,20,BEKM
100,blpa,50.33768964,0.795795796,0.711292485,4,BLPA
100,bekm,237.2177429,0.521021021,0.458048691,19,BEKM
0,blpa,607.5143609,0.803303303,0.708619113,20,BLPA
0,bekm,591.6729128,0.744744745,0.649376667,20,BEKM
100,blpa,24.94529414,0.801801802,0.724240367,2,BLPA
100,bekm,137.3580778,0.656156156,0.573394612,11,BEKM
0,blpa,618.4750602,0.788288288,0.695373897,20,BLPA
0,bekm,432.2165554,0.632132132,0.591962794,20,BEKM
100,blpa,50.06537557,0.768768769,0.679248778,4,BLPA
