# edges,partition,running time,accuracy,f1,# shards,setting
0,blpa,450.0662451,0.669741697,0.587555432,20,BLPA
0,bekm,124.4212794,0.464944649,0.286752944,20,BEKM
100,blpa,62.10717297,0.592250923,0.518755681,16,BLPA
100,bekm,66.54608417,0.341328413,0.279667621,17,BEKM
0,blpa,447.696238,0.653136531,0.554672698,20,BLPA
0,bekm,212.7280777,0.573800738,0.463976473,20,BEKM
100,blpa,65.79308081,0.566420664,0.484538641,17,BLPA
100,bekm,68.62225556,0.328413284,0.267608689,18,BEKM
0,blpa,441.1722176,0.666051661,0.575577637,20,BLPA
0,bekm,201.6326234,0.688191882,0.587248486,20,BEKM
100,blpa,60.51054311,0.608856089,0.519333334,15,BLPA
100,bekm,61.8134439,0.374538745,0.320801037,15,BEKM
0,blpa,444.9197428,0.671586716,0.578782692,20,BLPA
0,bekm,232.1767938,0.542435424,0.422061152,20,BEKM
100,blpa,66.03181624,0.581180812,0.482917444,15,BLPA
100,bekm,57.91443324,0.389298893,0.310215179,14,BEKM
0,blpa,443.5094631,0.666051661,0.560771835,20,BLPA
0,bekm,175.0585384,0.542435424,0.371997274,20,BEKM
100,blpa,54.2029469,0.586715867,0.480815093,14,BLPA
100,bekm,74.51222229,0.330258303,0.243122407,17,BEKM
0,blpa,435.0956721,0.67896679,0.584719015,20,BLPA
0,bekm,198.0897825,0.540590406,0.370934239,20,BEKM
100,blpa,68.07042432,0.632841328,0.548871497,16,BLPA
100,bekm,74.3205204,0.339483395,0.248924977,18,BEKM
0,blpa,451.354373,0.643911439,0.555718381,20,BLPA
0,bekm,198.1301606,0.645756458,0.555508272,20,BEKM
100,blpa,65.01531649,0.669741697,0.610987262,16,BLPA
100,bekm,61.40525055,0.376383764,0.306847796,15,BEKM
0,blpa,424.0298393,0.675276753,0.578819863,20,BLPA
0,bekm,297.973141,0.627306273,0.539206627,20,BEKM
100,blpa,60.08133316,0.592250923,0.480753395,14,BLPA
100,bekm,73.21132922,0.32103321,0.252201139,18,BEKM
0,blpa,425.5980427,0.671586716,0.594407632,20,BLPA
0,bekm,184.6862521,0.494464945,0.361991872,20,BEKM
100,blpa,76.78988671,0.516605166,0.41738703,19,BLPA
100,bekm,82.91553617,0.335793358,0.251234552,20,BEKM
0,blpa,443.6723015,0.667896679,0.572657418,20,BLPA
0,bekm,196.8146718,0.507380074,0.381491258,20,BEKM
100,blpa,72.66027403,0.54797048,0.443141318,18,BLPA
100,bekm,74.16383672,0.332103321,0.255595478,18,BEKM
