,# edges,partition,running time,accuracy,f1,# shards
0,0,blpa,222.7362268,0.76199262,0.68886536,20
1,0,bekm,103.3850923,0.634686347,0.473639535,20
2,100,blpa,60.65186524,0.71402214,0.659284559,15
3,100,bekm,51.95083618,0.540590406,0.43005071,13
4,0,blpa,203.0310583,0.767527675,0.685024138,20
5,0,bekm,120.0682566,0.651291513,0.585372009,20
6,100,blpa,49.91211271,0.726937269,0.668212589,12
7,100,bekm,66.60797048,0.488929889,0.431816891,17
8,0,blpa,225.6160562,0.76199262,0.702617296,20
9,0,bekm,119.7774167,0.643911439,0.526487184,20
10,100,blpa,55.86683512,0.708487085,0.669810518,13
11,100,bekm,66.75356054,0.444649446,0.369244935,17
12,0,blpa,200.9205277,0.745387454,0.69188893,20
13,0,bekm,100.8302255,0.58302583,0.499331124,20
14,100,blpa,57.59060884,0.708487085,0.672053279,16
15,100,bekm,64.38862586,0.429889299,0.374467539,18
16,0,blpa,194.4908359,0.767527675,0.698240276,20
17,0,bekm,102.568964,0.708487085,0.639392637,20
18,100,blpa,49.97677493,0.734317343,0.676767719,14
19,100,bekm,57.67263436,0.466789668,0.428462864,16
20,0,blpa,185.980263,0.728782288,0.657386032,20
21,0,bekm,118.6651959,0.645756458,0.545535735,20
22,100,blpa,45.80514193,0.734317343,0.686501995,13
23,100,bekm,66.40646243,0.429889299,0.373559346,19
24,0,blpa,175.4200923,0.754612546,0.698599129,20
25,0,bekm,110.8774581,0.664206642,0.588298673,20
26,100,blpa,48.96879554,0.721402214,0.655922626,13
27,100,bekm,68.17211509,0.426199262,0.371321541,19
28,0,blpa,180.2467225,0.739852399,0.678617978,20
29,0,bekm,92.14185619,0.649446494,0.549938848,20
30,100,blpa,53.57171059,0.710332103,0.646201641,15
31,100,bekm,57.41579604,0.485239852,0.405026793,16
32,0,blpa,184.6139364,0.749077491,0.66291727,20
33,0,bekm,98.58638453,0.667896679,0.553119193,20
34,100,blpa,61.32425261,0.684501845,0.63554762,17
35,100,bekm,56.67487001,0.444649446,0.388751641,16
36,0,blpa,187.2902248,0.730627306,0.674615442,20
37,0,bekm,107.172657,0.662361624,0.551412733,20
38,100,blpa,46.92260051,0.754612546,0.723561478,13
39,100,bekm,57.87270617,0.446494465,0.403513863,16
40,200,blpa,56.3199842,0.640221402,0.584047221,19
41,200,bekm,60.15048862,0.422509225,0.370821982,20
42,400,blpa,64.33466005,0.645756458,0.594382326,20
43,400,bekm,65.20484352,0.42804428,0.380270029,20
44,800,blpa,65.4656651,0.656826568,0.598282025,20
45,800,bekm,65.51112771,0.422509225,0.378572088,20
46,1000,blpa,65.99917102,0.658671587,0.606411185,20
47,1000,bekm,65.82874012,0.420664207,0.365716553,20
48,200,blpa,56.03479576,0.67896679,0.620085261,18
49,200,bekm,53.68786526,0.435424354,0.387928197,18
50,400,blpa,61.37871647,0.660516605,0.608048599,20
51,400,bekm,61.10337472,0.41697417,0.369659052,20
52,800,blpa,69.07381582,0.656826568,0.607271096,20
53,800,bekm,79.37183619,0.418819188,0.376221174,20
54,1000,blpa,82.64748669,0.619926199,0.548435607,20
55,1000,bekm,80.9277699,0.415129151,0.365063911,20
56,200,blpa,64.61202884,0.656826568,0.610637061,20
57,200,bekm,61.03032041,0.431734317,0.375366047,19
58,400,blpa,66.93147588,0.643911439,0.587115893,20
59,400,bekm,60.1978147,0.433579336,0.381444548,19
60,800,blpa,64.64098978,0.651291513,0.600155289,20
61,800,bekm,67.94346571,0.429889299,0.384507687,20
62,1000,blpa,67.50360584,0.647601476,0.598562689,20
63,1000,bekm,66.11982894,0.433579336,0.386396637,20
64,200,blpa,65.40739584,0.671586716,0.623697127,19
65,200,bekm,65.4776504,0.42804428,0.37542882,19
66,400,blpa,69.10777497,0.660516605,0.605718324,20
67,400,bekm,66.70251894,0.42804428,0.381457525,20
68,800,blpa,66.49849343,0.636531365,0.581861605,20
69,800,bekm,64.86061239,0.402214022,0.359099933,20
70,1000,blpa,66.37192798,0.647601476,0.595514345,20
71,1000,bekm,62.98854852,0.41697417,0.371165468,20
72,200,blpa,55.08618236,0.682656827,0.632260169,18
73,200,bekm,60.93004417,0.413284133,0.361922349,20
74,400,blpa,61.57729268,0.653136531,0.602952407,20
75,400,bekm,59.85085511,0.422509225,0.37760209,20
76,800,blpa,62.32686019,0.651291513,0.601146331,20
77,800,bekm,61.01771927,0.424354244,0.367585797,20
78,1000,blpa,62.38689661,0.640221402,0.58770984,20
79,1000,bekm,59.35212636,0.422509225,0.379579558,20
80,200,blpa,58.84685183,0.680811808,0.63477519,19
81,200,bekm,60.6221087,0.422509225,0.374866515,20
82,400,blpa,61.12252641,0.642066421,0.585607891,20
83,400,bekm,61.44033957,0.402214022,0.364238434,20
84,800,blpa,61.01631665,0.656826568,0.606026709,20
85,800,bekm,57.49928093,0.413284133,0.360838746,20
86,1000,blpa,60.19865894,0.645756458,0.593833773,20
87,1000,bekm,59.72888184,0.424354244,0.371659156,20
88,200,blpa,58.96773839,0.662361624,0.608491535,20
89,200,bekm,58.79802251,0.418819188,0.374390223,20
90,400,blpa,58.96150923,0.651291513,0.598421123,20
91,400,bekm,58.91826749,0.42804428,0.372813494,20
92,800,blpa,61.60989165,0.638376384,0.589868547,20
93,800,bekm,55.87088156,0.418819188,0.366809517,20
94,1000,blpa,61.08250451,0.642066421,0.590768995,20
95,1000,bekm,59.06694341,0.429889299,0.383468288,20
96,200,blpa,54.36030102,0.675276753,0.628736977,17
97,200,bekm,59.16025066,0.41697417,0.360965719,20
98,400,blpa,57.07545114,0.667896679,0.614394919,18
99,400,bekm,61.09222054,0.41697417,0.358580736,20
100,800,blpa,62.92912841,0.660516605,0.606466915,20
101,800,bekm,66.57321239,0.415129151,0.364101079,20
102,1000,blpa,67.60294938,0.632841328,0.581731102,20
103,1000,bekm,68.41605496,0.426199262,0.381277734,20
104,200,blpa,60.95014381,0.656826568,0.601625455,19
105,200,bekm,67.39872289,0.433579336,0.380682861,20
106,400,blpa,70.5429225,0.638376384,0.58830311,20
107,400,bekm,61.69371104,0.426199262,0.373906911,20
108,800,blpa,69.76129532,0.638376384,0.584173005,20
109,800,bekm,64.66544008,0.41697417,0.359370343,20
110,1000,blpa,65.2700088,0.636531365,0.581861417,20
111,1000,bekm,66.05885601,0.418819188,0.375836929,20
112,200,blpa,53.89804864,0.708487085,0.663959483,16
113,200,bekm,69.60946155,0.411439114,0.355115549,20
114,400,blpa,66.76772523,0.643911439,0.586396342,20
115,400,bekm,63.20706487,0.415129151,0.367385309,20
116,800,blpa,67.4945333,0.647601476,0.597620006,20
117,800,bekm,59.73296952,0.415129151,0.367836192,20
118,1000,blpa,65.70008063,0.658671587,0.604647533,20
119,1000,bekm,62.78057289,0.407749077,0.364558009,20
120,200,blpa,56.31998419761658,0.6402214022140221,0.5840472211300723,19
121,200,bekm,60.15048861503601,0.4225092250922509,0.3708219821862799,20
122,400,blpa,64.33466005325317,0.6457564575645757,0.5943823263861828,20
123,400,bekm,65.20484352111816,0.4280442804428044,0.3802700291701555,20
124,600,blpa,64.00842118263245,0.6476014760147601,0.5939626197957281,20
125,600,bekm,63.6099214553833,0.4261992619926199,0.3804710512199153,20
126,800,blpa,65.465665102005,0.6568265682656826,0.59828202530403,20
127,800,bekm,65.51112771034241,0.4225092250922509,0.378572087884327,20
128,1000,blpa,65.99917101860046,0.6586715867158671,0.6064111848205567,20
129,1000,bekm,65.82874011993408,0.4206642066420664,0.3657165532022395,20
130,1200,blpa,68.59940314292908,0.6549815498154982,0.597145861900815,20
131,1200,bekm,63.79137802124024,0.4206642066420664,0.3692043199100118,20
132,1400,blpa,65.85653138160706,0.6512915129151291,0.594593471507333,20
133,1400,bekm,64.86369752883911,0.4169741697416974,0.3740655343903497,20
134,1600,blpa,67.53559494018555,0.6512915129151291,0.5965588542405149,20
135,1600,bekm,65.7998194694519,0.4169741697416974,0.3712190369907593,20
136,1800,blpa,65.84932684898376,0.6586715867158671,0.602256423021914,20
137,1800,bekm,60.36467003822327,0.4169741697416974,0.3664248424370676,20
138,2000,blpa,61.00145959854126,0.6549815498154982,0.6023578248172148,20
139,2000,bekm,59.61487317085266,0.4169741697416974,0.3637296992734722,20
140,200,blpa,56.0347957611084,0.6789667896678967,0.6200852614380539,18
141,200,bekm,53.687865257263184,0.4354243542435424,0.3879281973591197,18
142,400,blpa,61.37871646881104,0.6605166051660517,0.6080485988031985,20
143,400,bekm,61.10337471961975,0.4169741697416974,0.369659052126134,20
144,600,blpa,64.7191092967987,0.6494464944649446,0.5987128091419313,20
145,600,bekm,61.47262597084045,0.4188191881918819,0.3679767021652985,20
146,800,blpa,69.07381582260132,0.6568265682656826,0.6072710958050586,20
147,800,bekm,79.37183618545532,0.4188191881918819,0.376221174060169,20
148,1000,blpa,82.64748668670654,0.6199261992619927,0.5484356067235533,20
149,1000,bekm,80.92776989936829,0.4151291512915129,0.3650639114352544,20
150,1200,blpa,60.748416900634766,0.6476014760147601,0.6003076305599839,20
151,1200,bekm,57.17905688285828,0.4280442804428044,0.3809681145064954,20
152,1400,blpa,64.76267910003662,0.6476014760147601,0.5993965301411848,20
153,1400,bekm,66.11520290374756,0.4132841328413284,0.3607503718168682,20
154,1600,blpa,63.82376146316528,0.6457564575645757,0.5895331808623102,20
155,1600,bekm,62.38362264633179,0.4151291512915129,0.37512337174538,20
156,1800,blpa,65.93251824378967,0.6586715867158671,0.6072680225030631,20
157,1800,bekm,65.58654594421387,0.4022140221402214,0.355448844916382,20
158,2000,blpa,67.38805961608887,0.6365313653136532,0.5805527938887668,20
159,2000,bekm,64.29635262489319,0.4040590405904059,0.369469089936591,20
160,200,blpa,64.61202883720398,0.6568265682656826,0.6106370607188424,20
161,200,bekm,61.03032040596008,0.4317343173431734,0.3753660472965645,19
162,400,blpa,66.93147587776184,0.6439114391143912,0.5871158934552503,20
163,400,bekm,60.19781470298767,0.4335793357933579,0.3814445476646741,19
164,600,blpa,68.85475993156433,0.6586715867158671,0.6076667690781582,20
165,600,bekm,60.579282999038696,0.4132841328413284,0.3711748018239572,20
166,800,blpa,64.64098978042603,0.6512915129151291,0.6001552885237231,20
167,800,bekm,67.94346570968628,0.4298892988929889,0.3845076870059057,20
168,1000,blpa,67.50360584259033,0.6476014760147601,0.5985626891067781,20
169,1000,bekm,66.11982893943787,0.4335793357933579,0.3863966374830365,20
170,1200,blpa,70.70757269859314,0.6494464944649446,0.5997759881123061,20
171,1200,bekm,64.62043833732605,0.4206642066420664,0.3773075897025477,20
172,1400,blpa,65.03090310096741,0.6512915129151291,0.5978219406015699,20
173,1400,bekm,67.49721646308899,0.4261992619926199,0.3795106086675316,20
174,1600,blpa,64.99740099906921,0.6549815498154982,0.6113257994023416,20
175,1600,bekm,60.022505044937134,0.4132841328413284,0.3695004227689761,20
176,1800,blpa,63.37355709075928,0.6494464944649446,0.6037587556979496,20
177,1800,bekm,58.5427873134613,0.4298892988929889,0.3866861799665386,20
178,2000,blpa,61.02963638305664,0.6605166051660517,0.6038208207941062,20
179,2000,bekm,64.1985855102539,0.4151291512915129,0.356516741825306,20
180,200,blpa,65.40739583969116,0.6715867158671587,0.6236971271672841,19
181,200,bekm,65.47765040397644,0.4280442804428044,0.3754288199060471,19
