,# edges,partition,running time,accuracy,f1,# shards
0,0,blpa,50.641937255859375,0.5018450184501845,0.3655674452698972,20
1,0,bekm,51.78856897354126,0.5940959409594095,0.5361719189225249,20
2,100,blpa,13.44593620300293,0.4114391143911439,0.23629806808576134,19
3,100,bekm,12.908203363418579,0.24723247232472326,0.20598124035774493,18
4,200,blpa,14.896043062210083,0.38191881918819187,0.18680250935940462,20
5,200,bekm,13.458004474639893,0.22324723247232472,0.17549203975701563,19
6,400,blpa,14.616969347000122,0.38191881918819187,0.18680250935940462,20
7,400,bekm,13.53339409828186,0.1881918819188192,0.13189752822438058,20
8,800,blpa,14.83230471611023,0.38191881918819187,0.18680250935940462,20
9,800,bekm,13.438995122909546,0.1881918819188192,0.13287021760423565,20
10,1000,blpa,14.06845498085022,0.38191881918819187,0.18680250935940462,20
11,1000,bekm,14.643661499023438,0.18081180811808117,0.11688954834775693,20
12,0,blpa,45.124661445617676,0.566420664206642,0.3992046388951139,20
13,0,bekm,43.95090365409851,0.511070110701107,0.3951781141555726,20
14,100,blpa,10.75709843635559,0.46494464944649444,0.32356728741279256,15
15,100,bekm,13.53742241859436,0.1900369003690037,0.12413475056669838,19
16,200,blpa,12.654670000076294,0.3985239852398524,0.21605363166984695,18
17,200,bekm,14.397389650344849,0.1752767527675277,0.10779239629057945,20
18,400,blpa,14.047571897506714,0.38191881918819187,0.18680250935940462,20
19,400,bekm,14.072184562683105,0.1752767527675277,0.10751638007311759,20
20,800,blpa,14.455132961273193,0.38191881918819187,0.18680250935940462,20
21,800,bekm,14.339691638946533,0.1900369003690037,0.12787683072738992,20
22,1000,blpa,13.810085773468018,0.3837638376383764,0.19009231857032072,20
23,1000,bekm,14.76307225227356,0.1918819188191882,0.13338130417610908,20
24,0,blpa,44.3280463218689,0.4114391143911439,0.22224774964657074,20
25,0,bekm,48.86770987510681,0.5793357933579336,0.4550869158768739,20
26,100,blpa,10.880087614059448,0.4095940959409594,0.2342083400989979,15
27,100,bekm,13.289530277252197,0.24723247232472326,0.18896323958256342,18
28,200,blpa,14.040718793869019,0.3837638376383764,0.19009231857032072,20
29,200,bekm,13.50541615486145,0.1937269372693727,0.13463607420006066,20
30,400,blpa,15.01283884048462,0.38191881918819187,0.18680250935940462,20
31,400,bekm,14.197067260742188,0.1918819188191882,0.1333202853427117,20
32,800,blpa,14.868650436401367,0.38191881918819187,0.18680250935940462,20
33,800,bekm,14.535999774932861,0.18081180811808117,0.1152272080081881,20
34,1000,blpa,14.97579288482666,0.38191881918819187,0.18680250935940462,20
35,1000,bekm,14.038263320922852,0.1918819188191882,0.13252254344006356,20
36,0,blpa,48.65433979034424,0.6439114391143912,0.47794246781798316,20
37,0,bekm,44.28337574005127,0.5904059040590406,0.5161099838714084,20
38,100,blpa,12.701597690582275,0.44649446494464945,0.2947282286366693,16
39,100,bekm,9.390518188476562,0.5387453874538746,0.4415837701866203,12
40,200,blpa,14.535879611968994,0.3966789667896679,0.21194357773322098,19
41,200,bekm,13.519216537475586,0.20848708487084872,0.14391422032866924,18
42,400,blpa,15.545106172561646,0.38191881918819187,0.18680250935940462,20
43,400,bekm,14.170356035232544,0.1900369003690037,0.13183089587747876,20
44,800,blpa,15.18904733657837,0.38191881918819187,0.18680250935940462,20
45,800,bekm,14.43354058265686,0.1900369003690037,0.13648131102820812,20
46,1000,blpa,14.506848573684692,0.38191881918819187,0.18680250935940462,20
47,1000,bekm,15.587467193603516,0.17896678966789667,0.11585950247903708,20
48,0,blpa,52.02380084991455,0.5369003690036901,0.38041248141373296,20
49,0,bekm,46.72395849227905,0.5885608856088561,0.5151453219386987,20
50,100,blpa,11.901016473770142,0.43357933579335795,0.28055766466619836,16
51,100,bekm,13.569030523300171,0.24354243542435425,0.18098635301709884,18
52,200,blpa,14.576491832733154,0.3837638376383764,0.19009231857032072,20
53,200,bekm,13.69162917137146,0.1992619926199262,0.13496019871433898,19
54,400,blpa,14.664907932281494,0.38191881918819187,0.18680250935940462,20
55,400,bekm,14.63145899772644,0.18081180811808117,0.11670318462127548,20
56,800,blpa,14.53038501739502,0.38191881918819187,0.18680250935940462,20
57,800,bekm,14.566346168518066,0.17896678966789667,0.1137113492376119,20
58,1000,blpa,14.062628030776978,0.38191881918819187,0.18680250935940462,20
