# edges,partition,running time,accuracy,f1,# shards,setting
0,blpa,315.4436541,0.800738007,0.756759432,20,BLPA
0,bekm,191.4289029,0.715867159,0.659374121,20,BEKM
100,blpa,56.8655951,0.712177122,0.663903658,16,BLPA
100,bekm,59.00544667,0.450184502,0.386135365,18,BEKM
0,blpa,278.427377,0.767527675,0.720960629,20,BLPA
0,bekm,199.4567988,0.723247232,0.686532151,20,BEKM
100,blpa,53.67531919,0.669741697,0.623779967,15,BLPA
100,bekm,47.40946507,0.44095941,0.397532336,16,BEKM
0,blpa,324.1004992,0.776752768,0.74766445,20,BLPA
0,bekm,209.7162187,0.671586716,0.627074157,20,BEKM
100,blpa,47.63052273,0.693726937,0.642892047,13,BLPA
100,bekm,49.59860849,0.544280443,0.427644378,15,BEKM
0,blpa,291.8518751,0.743542435,0.688952672,20,BLPA
0,bekm,215.8469229,0.610701107,0.550268573,20,BEKM
100,blpa,62.40396738,0.643911439,0.580938992,17,BLPA
100,bekm,60.1725862,0.477859779,0.4240745,18,BEKM
0,blpa,332.1409633,0.795202952,0.762242878,20,BLPA
0,bekm,224.3964777,0.734317343,0.680938577,20,BEKM
100,blpa,57.12667394,0.675276753,0.618562049,16,BLPA
100,bekm,50.83617973,0.503690037,0.397851696,16,BEKM
0,blpa,299.3360188,0.791512915,0.752095507,20,BLPA
0,bekm,200.2259042,0.717712177,0.651242619,20,BEKM
100,blpa,67.32300496,0.664206642,0.599468449,18,BLPA
100,bekm,53.54884267,0.505535055,0.429738869,17,BEKM
0,blpa,312.1667397,0.771217712,0.735910679,20,BLPA
0,bekm,253.5640435,0.767527675,0.708147476,20,BEKM
100,blpa,59.2426517,0.693726937,0.629422487,16,BLPA
100,bekm,56.51413798,0.442804428,0.382011557,17,BEKM
0,blpa,313.5445502,0.795202952,0.759974244,20,BLPA
0,bekm,224.8644469,0.660516605,0.552512134,20,BEKM
100,blpa,52.49923539,0.725092251,0.694163456,14,BLPA
100,bekm,54.27294159,0.514760148,0.438592037,17,BEKM
0,blpa,322.2124286,0.800738007,0.761603538,20,BLPA
0,bekm,232.9832182,0.747232472,0.711543116,20,BEKM
100,blpa,44.32741904,0.730627306,0.687947899,12,BLPA
100,bekm,51.39941955,0.470479705,0.40951618,17,BEKM
0,blpa,316.214716,0.780442804,0.749026875,20,BLPA
0,bekm,283.2546644,0.693726937,0.64486644,20,BEKM
100,blpa,54.07867455,0.682656827,0.623391168,14,BLPA
100,bekm,54.92360449,0.464944649,0.404889481,17,BEKM
200,blpa,56.90112257,0.675276753,0.622396665,17,BLPA
200,bekm,58.17529488,0.433579336,0.39694901,20,BEKM
400,blpa,66.67513657,0.629151292,0.568113714,20,BLPA
400,bekm,62.02750897,0.424354244,0.37981583,20,BEKM
800,blpa,67.47047281,0.623616236,0.568450605,20,BLPA
800,bekm,56.76111293,0.418819188,0.365390351,20,BEKM
1000,blpa,68.00814366,0.658671587,0.602885293,20,BLPA
1000,bekm,59.97153258,0.42804428,0.380114349,20,BEKM
200,blpa,68.55841136,0.649446494,0.596127788,20,BLPA
200,bekm,58.58229351,0.444649446,0.414628051,20,BEKM
400,blpa,68.28155804,0.651291513,0.597634552,20,BLPA
400,bekm,64.20066905,0.42804428,0.391354539,20,BEKM
800,blpa,68.91438842,0.640221402,0.579463556,20,BLPA
800,bekm,66.50210857,0.424354244,0.380454793,20,BEKM
1000,blpa,67.2759223,0.675276753,0.617131603,20,BLPA
1000,bekm,62.89204335,0.413284133,0.366214555,20,BEKM
200,blpa,64.26977992,0.693726937,0.639524289,19,BLPA
200,bekm,61.52862,0.44095941,0.393824527,20,BEKM
400,blpa,63.60846686,0.70295203,0.653423645,19,BLPA
400,bekm,59.9143362,0.437269373,0.386544246,20,BEKM
800,blpa,68.60716414,0.649446494,0.600226484,20,BLPA
800,bekm,58.48207021,0.398523985,0.367365262,20,BEKM
1000,blpa,70.01957822,0.669741697,0.619343101,20,BLPA
1000,bekm,59.35351872,0.433579336,0.386307165,20,BEKM
200,blpa,58.34748316,0.699261993,0.646126571,17,BLPA
200,bekm,59.19181991,0.422509225,0.378075023,20,BEKM
400,blpa,69.22499418,0.675276753,0.631860324,20,BLPA
400,bekm,59.30103397,0.424354244,0.389104478,20,BEKM
800,blpa,68.2987287,0.638376384,0.585367843,20,BLPA
800,bekm,62.25161338,0.444649446,0.402188238,20,BEKM
1000,blpa,66.96545887,0.651291513,0.598601692,20,BLPA
1000,bekm,60.69885015,0.435424354,0.387103081,20,BEKM
200,blpa,57.59407544,0.67896679,0.616114189,17,BLPA
200,bekm,52.693717,0.429889299,0.392112258,19,BEKM
400,blpa,65.53401279,0.649446494,0.59191267,20,BLPA
400,bekm,62.14864016,0.429889299,0.382149922,20,BEKM
800,blpa,68.43551874,0.660516605,0.611851206,20,BLPA
800,bekm,59.03998375,0.407749077,0.358981205,20,BEKM
1000,blpa,68.13150597,0.656826568,0.601397851,20,BLPA
1000,bekm,60.83726621,0.422509225,0.377023272,20,BEKM
200,blpa,67.24125886,0.647601476,0.60158122,20,BLPA
200,bekm,53.41272759,0.405904059,0.367298877,20,BEKM
400,blpa,69.20050192,0.653136531,0.594477982,20,BLPA
400,bekm,57.59341073,0.41697417,0.391099103,20,BEKM
800,blpa,69.53512788,0.671586716,0.623981555,20,BLPA
800,bekm,61.04452634,0.422509225,0.378327964,20,BEKM
1000,blpa,68.45044994,0.642066421,0.580160491,20,BLPA
1000,bekm,64.20982075,0.424354244,0.374940325,20,BEKM
200,blpa,69.47523117,0.658671587,0.598747169,19,BLPA
200,bekm,58.69207501,0.407749077,0.368381819,20,BEKM
400,blpa,76.63129759,0.660516605,0.607494354,20,BLPA
400,bekm,60.68275619,0.442804428,0.395821219,20,BEKM
800,blpa,73.43444848,0.658671587,0.60586843,20,BLPA
800,bekm,73.36475849,0.42804428,0.374390851,20,BEKM
1000,blpa,75.11712408,0.647601476,0.602163056,20,BLPA
1000,bekm,69.42114234,0.426199262,0.368365569,20,BEKM
200,blpa,68.52246976,0.658671587,0.613858652,19,BLPA
200,bekm,60.0886929,0.448339483,0.405076061,19,BEKM
400,blpa,70.5906384,0.651291513,0.602265172,20,BLPA
400,bekm,63.3239224,0.433579336,0.387456608,20,BEKM
800,blpa,71.77765489,0.643911439,0.587096408,20,BLPA
800,bekm,66.70048356,0.44095941,0.386944052,20,BEKM
1000,blpa,69.42451954,0.621771218,0.558998751,20,BLPA
1000,bekm,65.71249461,0.42804428,0.392426222,20,BEKM
200,blpa,71.83781338,0.675276753,0.629533898,20,BLPA
200,bekm,61.47478294,0.439114391,0.412930203,19,BEKM
400,blpa,75.16972733,0.662361624,0.600477985,20,BLPA
400,bekm,69.91711259,0.422509225,0.387632657,20,BEKM
800,blpa,74.80122447,0.649446494,0.592474499,20,BLPA
800,bekm,63.46034122,0.42804428,0.390654891,20,BEKM
1000,blpa,73.97477293,0.63099631,0.57075625,20,BLPA
1000,bekm,61.08446002,0.426199262,0.377901352,20,BEKM
200,blpa,71.12878776,0.669741697,0.616444472,20,BLPA
200,bekm,64.34484053,0.446494465,0.398702432,19,BEKM
400,blpa,71.61496878,0.642066421,0.587031372,20,BLPA
400,bekm,58.65604663,0.435424354,0.382024099,20,BEKM
800,blpa,71.92748785,0.632841328,0.567052754,20,BLPA
800,bekm,65.64851594,0.42804428,0.390837348,20,BEKM
1000,blpa,73.14811921,0.634686347,0.576914122,20,BLPA
1000,bekm,63.09475851,0.44095941,0.388082145,20,BEKM
