,# edges,partition,running time,accuracy,f1,# shards
0,0,blpa,43.33283853530884,0.5535055350553506,0.456390430568496,20
1,0,bekm,43.64342713356018,0.5867158671586716,0.5295859955179906,20
2,100,blpa,9.53000545501709,0.36531365313653136,0.13712324750379407,16
3,100,bekm,9.153211116790771,0.2952029520295203,0.23847476406940313,16
4,200,blpa,11.254510879516602,0.3634686346863469,0.1342772743981462,19
5,200,bekm,11.366415023803711,0.2047970479704797,0.14543493687805728,20
6,400,blpa,11.700413465499878,0.3671586715867159,0.13554511009169332,20
7,400,bekm,11.521236181259155,0.1937269372693727,0.12264983693555122,20
8,800,blpa,12.130871057510376,0.3671586715867159,0.14422812769911597,20
9,800,bekm,11.455552339553833,0.1937269372693727,0.11638464628722679,20
10,1000,blpa,11.743720054626465,0.3763837638376384,0.167379893641987,20
11,1000,bekm,11.576633930206299,0.1900369003690037,0.12011984722263465,20
12,0,blpa,40.590065002441406,0.5479704797047971,0.43365705387577963,20
13,0,bekm,43.51692795753479,0.5350553505535055,0.43020681013256684,20
14,100,blpa,10.50939393043518,0.3671586715867159,0.14197054479873045,18
15,100,bekm,9.32119083404541,0.2767527675276753,0.20951066836739796,16
16,200,blpa,10.49198579788208,0.3726937269372694,0.15132158790695374,19
17,200,bekm,11.134269952774048,0.19557195571955718,0.12277708154863003,20
18,400,blpa,11.578370809555054,0.3763837638376384,0.15654285032044557,20
19,400,bekm,11.301625967025757,0.19557195571955718,0.12342616817844816,20
20,800,blpa,11.26241135597229,0.3671586715867159,0.13554511009169332,20
21,800,bekm,11.785861015319824,0.19557195571955718,0.12077630861735003,20
22,1000,blpa,11.763890027999878,0.37084870848708484,0.15079139140740347,20
23,1000,bekm,11.07537841796875,0.1863468634686347,0.11476456931627058,20
24,0,blpa,43.60357642173767,0.5645756457564576,0.4856492128389875,20
25,0,bekm,39.665294885635376,0.5276752767527675,0.44907334163233703,20
26,100,blpa,9.017195463180542,0.3726937269372694,0.15078144867174403,15
27,100,bekm,9.60521125793457,0.24169741697416974,0.16834103893908828,17
28,200,blpa,11.857778072357178,0.37822878228782286,0.16801907137309488,20
29,200,bekm,10.788398742675781,0.1937269372693727,0.12184361895094108,19
30,400,blpa,11.704463481903076,0.3726937269372694,0.15902066560589104,20
31,400,bekm,10.64270305633545,0.1992619926199262,0.12570864887747898,20
32,800,blpa,11.149556636810303,0.3726937269372694,0.15637098320864698,20
33,800,bekm,11.525002241134644,0.1937269372693727,0.12417883277819289,20
34,1000,blpa,11.575876235961914,0.3671586715867159,0.14008391137846207,20
35,1000,bekm,11.107422113418579,0.1974169741697417,0.11318310420868584,20
36,0,blpa,45.433552742004395,0.6033210332103321,0.5237754842908309,20
37,0,bekm,41.06213712692261,0.6660516605166051,0.6286233544709973,20
38,100,blpa,9.93216586112976,0.39114391143911437,0.18263098621077595,17
39,100,bekm,9.500406742095947,0.23800738007380073,0.14362601417460738,18
40,200,blpa,11.345595836639404,0.3726937269372694,0.1576651989861346,19
41,200,bekm,11.746231317520142,0.21033210332103322,0.13194997799323624,20
42,400,blpa,11.38735842704773,0.36531365313653136,0.134907623259766,20
43,400,bekm,11.6934175491333,0.2029520295202952,0.13544889522069958,20
44,800,blpa,11.876663446426392,0.3671586715867159,0.14660244554905505,20
45,800,bekm,11.316344738006592,0.1937269372693727,0.12179962098947153,20
46,1000,blpa,11.792022466659546,0.36531365313653136,0.134907623259766,20
47,1000,bekm,11.795667886734009,0.1900369003690037,0.12248079652983453,20
48,0,blpa,42.179356813430786,0.5571955719557196,0.44985140920356864,20
49,0,bekm,43.11823582649231,0.6199261992619927,0.5510598116964612,20
50,100,blpa,8.28686261177063,0.3856088560885609,0.17499621601533372,14
