# edges,partition,running time,accuracy,f1,# shards,setting
0,blpa,277.5799208,0.749077491,0.711966288,20,BLPA
0,bekm,163.9780138,0.57195572,0.492164513,20,BEKM
100,blpa,61.58789539,0.666051661,0.614300271,16,BLPA
100,bekm,64.05776095,0.520295203,0.439730042,16,BEKM
0,blpa,251.0043828,0.776752768,0.735732074,20,BLPA
0,bekm,196.5648451,0.723247232,0.675774171,20,BEKM
100,blpa,57.79142928,0.640221402,0.573059719,16,BLPA
100,bekm,68.21301985,0.400369004,0.344414711,19,BEKM
0,blpa,239.9990559,0.754612546,0.704205363,20,BLPA
0,bekm,159.6375251,0.686346863,0.618365694,20,BEKM
100,blpa,61.40166783,0.666051661,0.606271439,17,BLPA
100,bekm,68.23083878,0.394833948,0.354349553,19,BEKM
0,blpa,257.4948521,0.793357934,0.734892334,20,BLPA
0,bekm,163.1696649,0.618081181,0.493155001,20,BEKM
100,blpa,51.09819007,0.708487085,0.666379195,14,BLPA
100,bekm,67.88038254,0.415129151,0.352556908,19,BEKM
0,blpa,241.558742,0.695571956,0.635580536,20,BLPA
0,bekm,147.7476439,0.695571956,0.647054609,20,BEKM
100,blpa,58.17719388,0.666051661,0.631464882,16,BLPA
100,bekm,63.38997173,0.424354244,0.369119395,18,BEKM
0,blpa,252.4895954,0.758302583,0.702258315,20,BLPA
0,bekm,184.3329213,0.636531365,0.572895062,20,BEKM
100,blpa,54.75035238,0.71402214,0.667999101,15,BLPA
100,bekm,62.14771843,0.431734317,0.377209104,17,BEKM
0,blpa,251.6433837,0.732472325,0.668988395,20,BLPA
0,bekm,177.527854,0.669741697,0.602960844,20,BEKM
100,blpa,59.64150429,0.608856089,0.543879997,16,BLPA
100,bekm,71.02857685,0.409594096,0.354664934,19,BEKM
0,blpa,240.2570093,0.736162362,0.680595915,20,BLPA
0,bekm,179.1290443,0.712177122,0.602775394,20,BEKM
100,blpa,69.87117004,0.614391144,0.53855884,19,BLPA
100,bekm,61.64835811,0.435424354,0.379786804,17,BEKM
0,blpa,264.2331209,0.763837638,0.700469309,20,BLPA
0,bekm,182.3567026,0.745387454,0.657666427,20,BEKM
100,blpa,56.203228,0.691881919,0.632810237,16,BLPA
100,bekm,63.7566011,0.435424354,0.375467754,18,BEKM
0,blpa,253.1676064,0.749077491,0.693564362,20,BLPA
0,bekm,113.8223889,0.509225092,0.400670213,20,BEKM
100,blpa,58.79253316,0.677121771,0.638744666,16,BLPA
100,bekm,45.78513098,0.570110701,0.441772803,13,BEKM
200,blpa,72.40359879,0.642066421,0.581604846,20,BLPA
200,bekm,71.19705582,0.422509225,0.368961501,20,BEKM
400,blpa,73.57725906,0.642066421,0.595776565,20,BLPA
400,bekm,70.95337415,0.411439114,0.363303311,20,BEKM
800,blpa,69.25676227,0.63099631,0.584072926,20,BLPA
800,bekm,73.12334394,0.426199262,0.376459316,20,BEKM
1000,blpa,74.45981717,0.658671587,0.601974612,20,BLPA
1000,bekm,74.6655395,0.424354244,0.376771754,20,BEKM
200,blpa,63.38623452,0.684501845,0.636482175,18,BLPA
200,bekm,70.83500481,0.41697417,0.37036929,20,BEKM
400,blpa,68.41016912,0.640221402,0.587808811,19,BLPA
400,bekm,75.4473021,0.426199262,0.373014446,20,BEKM
800,blpa,73.59045267,0.634686347,0.584004781,20,BLPA
800,bekm,73.35841966,0.407749077,0.353431211,20,BEKM
1000,blpa,72.87587333,0.640221402,0.590366533,20,BLPA
1000,bekm,68.99991059,0.407749077,0.359445361,20,BEKM
200,blpa,72.36151576,0.636531365,0.587158817,20,BLPA
200,bekm,63.54929638,0.429889299,0.381380358,18,BEKM
400,blpa,73.11927605,0.619926199,0.558276781,20,BLPA
400,bekm,72.78594398,0.418819188,0.374182442,20,BEKM
800,blpa,73.25850773,0.632841328,0.572715604,20,BLPA
800,bekm,71.33032584,0.411439114,0.365936831,20,BEKM
1000,blpa,71.18200636,0.653136531,0.603956608,20,BLPA
1000,bekm,68.18981004,0.418819188,0.37182219,20,BEKM
200,blpa,68.18294001,0.605166052,0.546017778,20,BLPA
200,bekm,68.26312804,0.41697417,0.367773067,20,BEKM
400,blpa,66.51066327,0.612546125,0.558567659,20,BLPA
400,bekm,64.21510768,0.411439114,0.37476802,20,BEKM
800,blpa,67.04160428,0.636531365,0.583285565,20,BLPA
800,bekm,64.39877462,0.424354244,0.366600997,20,BEKM
1000,blpa,67.70688915,0.640221402,0.580897764,20,BLPA
1000,bekm,65.7051177,0.402214022,0.361903099,20,BEKM
200,blpa,58.92441225,0.660516605,0.603670223,18,BLPA
200,bekm,54.84574962,0.426199262,0.379881452,18,BEKM
400,blpa,68.35322738,0.645756458,0.592647783,20,BLPA
400,bekm,66.14141583,0.42804428,0.373789857,20,BEKM
800,blpa,66.56076646,0.632841328,0.573245801,20,BLPA
800,bekm,65.42444777,0.41697417,0.371755872,20,BEKM
1000,blpa,67.54640555,0.651291513,0.597926473,20,BLPA
1000,bekm,63.40465045,0.429889299,0.37906866,20,BEKM
200,blpa,62.70602918,0.667896679,0.617480183,19,BLPA
200,bekm,64.68529892,0.41697417,0.365720418,20,BEKM
400,blpa,73.10411739,0.649446494,0.591991534,20,BLPA
400,bekm,67.83941817,0.415129151,0.36780484,20,BEKM
800,blpa,67.45099401,0.621771218,0.557710439,20,BLPA
800,bekm,71.17025423,0.41697417,0.36907336,20,BEKM
1000,blpa,67.08069086,0.634686347,0.574450586,20,BLPA
1000,bekm,68.76412773,0.426199262,0.362473587,20,BEKM
200,blpa,63.20657825,0.638376384,0.58241898,19,BLPA
200,bekm,63.58964181,0.424354244,0.373186761,19,BEKM
400,blpa,67.97753096,0.63099631,0.581328248,20,BLPA
400,bekm,66.18345046,0.415129151,0.361427595,20,BEKM
800,blpa,67.13244152,0.616236162,0.551016258,20,BLPA
800,bekm,66.92580819,0.418819188,0.369102192,20,BEKM
1000,blpa,69.01034474,0.623616236,0.56824031,20,BLPA
1000,bekm,71.13185668,0.41697417,0.360777429,20,BEKM
200,blpa,66.53297472,0.638376384,0.573929322,20,BLPA
200,bekm,65.08919191,0.415129151,0.355629414,20,BEKM
400,blpa,65.87705922,0.612546125,0.553118612,20,BLPA
400,bekm,64.85579419,0.415129151,0.363590098,20,BEKM
800,blpa,66.4202106,0.629151292,0.56904522,20,BLPA
800,bekm,65.35684824,0.398523985,0.360043699,20,BEKM
1000,blpa,64.59476042,0.629151292,0.568285733,20,BLPA
1000,bekm,65.11782861,0.413284133,0.3622255,20,BEKM
200,blpa,62.33873677,0.621771218,0.563170147,19,BLPA
200,bekm,67.14418411,0.415129151,0.365187715,20,BEKM
400,blpa,63.38777518,0.664206642,0.608354723,19,BLPA
400,bekm,68.40551305,0.429889299,0.375422597,20,BEKM
800,blpa,66.52642941,0.643911439,0.587369948,20,BLPA
800,bekm,67.45297527,0.424354244,0.372786749,20,BEKM
1000,blpa,66.87475014,0.632841328,0.566141208,20,BLPA
1000,bekm,65.95804405,0.422509225,0.368641408,20,BEKM
200,blpa,66.38869262,0.638376384,0.585279122,20,BLPA
200,bekm,60.16488862,0.418819188,0.37012437,19,BEKM
400,blpa,66.66097498,0.63099631,0.576168854,20,BLPA
400,bekm,67.5533309,0.424354244,0.372155737,20,BEKM
800,blpa,68.21867156,0.640221402,0.590100626,20,BLPA
800,bekm,66.48255491,0.41697417,0.36428026,20,BEKM
1000,blpa,66.52757668,0.643911439,0.589002614,20,BLPA
1000,bekm,65.36057448,0.409594096,0.36486008,20,BEKM
