# edges,partition,running time,accuracy,f1,# shards
0,blpa,65.60851645,0.963087248,0.963083507,20
0,bekm,68.50662971,0.761744966,0.743735087,20
200,blpa,17.29851246,0.620805369,0.545946092,20
200,bekm,13.05778742,0.620805369,0.569358655,18
400,blpa,17.45097995,0.620805369,0.545946092,20
400,bekm,15.78157473,0.546979866,0.446439628,20
800,blpa,18.84554434,0.620805369,0.545946092,20
800,bekm,15.08796787,0.546979866,0.446439628,20
1000,blpa,17.95873451,0.620805369,0.545946092,20
1000,bekm,15.31674266,0.546979866,0.446439628,20
0,blpa,45.69184542,0.882550336,0.8815782,20
0,bekm,55.43728495,0.765100671,0.747823985,20
200,blpa,16.48438144,0.620805369,0.545946092,20
200,bekm,11.11862659,0.661073826,0.624502526,15
400,blpa,17.9189837,0.620805369,0.545946092,20
400,bekm,15.55645776,0.560402685,0.470132338,19
800,blpa,19.0653739,0.620805369,0.545946092,20
800,bekm,15.42218113,0.560402685,0.470132338,19
1000,blpa,19.19263387,0.620805369,0.545946092,20
1000,bekm,15.7067697,0.553691275,0.458396535,19
0,blpa,48.06666565,0.919463087,0.919230248,20
0,bekm,61.75551772,0.825503356,0.818130604,20
200,blpa,15.84442139,0.620805369,0.545946092,20
200,bekm,14.03670096,0.583892617,0.509582205,19
400,blpa,15.97432208,0.620805369,0.545946092,20
400,bekm,14.74736381,0.543624161,0.440375587,20
800,blpa,17.13190866,0.617449664,0.540422078,20
800,bekm,14.99117589,0.543624161,0.440375587,20
1000,blpa,17.30834651,0.620805369,0.545946092,20
1000,bekm,13.25636959,0.540268456,0.434253011,20
0,blpa,51.93787122,0.953020134,0.953001081,20
0,bekm,58.54305482,0.805369128,0.79532967,20
200,blpa,14.7423141,0.620805369,0.545946092,20
200,bekm,9.343345165,0.748322148,0.735750009,13
400,blpa,16.0125339,0.620805369,0.545946092,20
400,bekm,13.56159687,0.563758389,0.475919913,19
800,blpa,17.0503881,0.617449664,0.540422078,20
800,bekm,15.90882635,0.55033557,0.452446248,20
1000,blpa,18.12469149,0.620805369,0.545946092,20
1000,bekm,16.42205882,0.543624161,0.440375587,20
0,blpa,44.23153901,0.822147651,0.817997442,20
0,bekm,50.48689699,0.771812081,0.755937756,20
200,blpa,16.27024961,0.620805369,0.545946092,20
200,bekm,10.49296546,0.734899329,0.718945119,14
400,blpa,15.22309065,0.61409396,0.534848999,20
400,bekm,11.29780316,0.67114094,0.638134417,16
800,blpa,16.54002047,0.617449664,0.540422078,20
800,bekm,13.79662657,0.640939597,0.596395074,17
1000,blpa,18.32742214,0.620805369,0.545946092,20
1000,bekm,13.39931488,0.640939597,0.596395074,17
0,blpa,52.44861293,0.936241611,0.936154618,20
0,bekm,47.96216178,0.775167785,0.759963452,20
200,blpa,15.84858227,0.620805369,0.545946092,20
200,bekm,12.95227551,0.654362416,0.615262162,17
