,# edges,partition,running time,accuracy,f1,# shards
0,0,blpa,46.91862988471985,0.9093959731543624,0.9091001525165227,20
1,0,bekm,33.67859411239624,0.7718120805369127,0.7559377559377558,20
2,100,blpa,24.714176654815674,0.6174496644295302,0.5404220779220779,20
3,100,bekm,20.32495951652527,0.5369127516778524,0.4280707610146862,18
4,200,blpa,24.2802677154541,0.6241610738255033,0.5542735042735042,20
5,200,bekm,22.878920555114746,0.5335570469798657,0.42182767332467935,20
6,400,blpa,24.82303500175476,0.6208053691275168,0.5459460917168939,20
7,400,bekm,23.77832841873169,0.5335570469798657,0.42182767332467935,20
8,800,blpa,25.343103647232056,0.6174496644295302,0.5404220779220779,20
9,800,bekm,21.63150930404663,0.5302013422818792,0.4155225553376296,20
10,1000,blpa,24.315375804901123,0.6208053691275168,0.5459460917168939,20
11,1000,bekm,21.67772626876831,0.5302013422818792,0.4155225553376296,20
12,0,blpa,44.07102417945862,0.9261744966442953,0.9261212530989409,20
13,0,bekm,52.663378953933716,0.8154362416107382,0.8073645734165462,20
14,100,blpa,22.917048931121826,0.62751677852349,0.5568506088983561,20
15,100,bekm,19.23353886604309,0.6342281879194631,0.5867587751103648,17
16,200,blpa,23.82028365135193,0.6174496644295302,0.5404220779220779,20
17,200,bekm,19.59852910041809,0.62751677852349,0.5769806253596778,17
18,400,blpa,24.450921058654785,0.6140939597315436,0.5348489989820157,20
19,400,bekm,22.3091242313385,0.5570469798657718,0.464291550907011,19
20,800,blpa,25.39442205429077,0.6208053691275168,0.5459460917168939,20
21,800,bekm,22.761873960494995,0.5436241610738255,0.4403755868544601,20
22,1000,blpa,26.316589832305908,0.6174496644295302,0.5404220779220779,20
23,1000,bekm,23.328356742858887,0.540268456375839,0.4342530105455704,20
24,0,blpa,41.63110375404358,0.8624161073825504,0.8609109433876347,20
25,0,bekm,40.624847173690796,0.6912751677852349,0.6520988782295316,20
26,100,blpa,23.05900478363037,0.6241610738255033,0.5514219665609376,20
27,100,bekm,16.48508095741272,0.7181208053691275,0.698511345570169,14
28,200,blpa,23.425209045410156,0.6208053691275168,0.5459460917168939,20
29,200,bekm,19.039966821670532,0.5536912751677853,0.458396534524932,17
30,400,blpa,24.872743606567383,0.6208053691275168,0.5459460917168939,20
31,400,bekm,20.001415014266968,0.540268456375839,0.4342530105455704,18
32,800,blpa,25.17597484588623,0.6174496644295302,0.5404220779220779,20
33,800,bekm,20.348423719406128,0.5536912751677853,0.458396534524932,18
34,1000,blpa,25.999563932418823,0.6174496644295302,0.5404220779220779,20
35,1000,bekm,21.30911350250244,0.5369127516778524,0.4280707610146862,19
36,0,blpa,48.67826986312866,0.785234899328859,0.7773731148153336,20
37,0,bekm,42.44375228881836,0.8322147651006712,0.8260727459494793,20
38,100,blpa,23.44163155555725,0.6208053691275168,0.5459460917168939,20
39,100,bekm,14.502100944519043,0.6711409395973155,0.6397236614853195,13
40,200,blpa,23.753695726394653,0.6174496644295302,0.54341164453524,20
41,200,bekm,20.07544994354248,0.5436241610738255,0.4403755868544601,18
42,400,blpa,24.472363471984863,0.6174496644295302,0.5404220779220779,20
43,400,bekm,21.360398292541504,0.5335570469798657,0.42182767332467935,19
44,800,blpa,25.497244358062744,0.6174496644295302,0.5404220779220779,20
45,800,bekm,23.034397840499878,0.5335570469798657,0.42182767332467935,20
46,1000,blpa,26.540771484375,0.6174496644295302,0.5404220779220779,20
47,1000,bekm,23.45230746269226,0.540268456375839,0.4342530105455704,20
48,0,blpa,47.36941862106323,0.8657718120805369,0.8642059694691273,20
49,0,bekm,41.22570562362671,0.8322147651006712,0.8291362781523783,20
50,100,blpa,22.741787672042847,0.6174496644295302,0.5404220779220779,20
51,100,bekm,17.857383966445923,0.5771812080536913,0.4985576923076923,16
52,200,blpa,23.33067226409912,0.6208053691275168,0.5459460917168939,20
53,200,bekm,22.790090560913086,0.5436241610738255,0.4403755868544601,20
54,400,blpa,23.923112630844116,0.6174496644295302,0.5404220779220779,20
55,400,bekm,22.395163536071777,0.540268456375839,0.4342530105455704,20
56,800,blpa,26.214308261871338,0.6375838926174496,0.5728619206880077,20
57,800,bekm,22.616324186325073,0.5335570469798657,0.42182767332467935,20
58,1000,blpa,24.893994092941284,0.6208053691275168,0.5459460917168939,20
59,1000,bekm,22.77866792678833,0.5436241610738255,0.4403755868544601,20
60,0,blpa,44.872445821762085,0.9060402684563759,0.9056151305370798,20
61,0,bekm,45.3053879737854,0.8523489932885906,0.8480719317760474,20
62,100,blpa,24.520672082901,0.6241610738255033,0.5514219665609376,20
63,100,bekm,15.213457584381104,0.6644295302013423,0.62907642519293,13
64,200,blpa,24.714640855789185,0.6208053691275168,0.5459460917168939,20
65,200,bekm,19.96208667755127,0.5738255033557047,0.492973219190011,17
66,400,blpa,23.889726638793945,0.6208053691275168,0.5459460917168939,20
67,400,bekm,19.67062783241272,0.5738255033557047,0.492973219190011,17
68,800,blpa,24.950722217559814,0.6174496644295302,0.5404220779220779,20
69,800,bekm,22.69447159767151,0.5369127516778524,0.4280707610146862,20
70,1000,blpa,25.44777250289917,0.6208053691275168,0.5459460917168939,20
71,1000,bekm,22.770179748535156,0.5335570469798657,0.42182767332467935,20
72,0,blpa,43.60223746299744,0.8825503355704698,0.8819641705238617,20
73,0,bekm,49.43158173561096,0.7919463087248322,0.7797959572845157,20
