# edges,partition,running time,accuracy,f1,# shards
0,blpa,67.66282487,0.993288591,0.993285869,20
0,bekm,51.72063565,0.845637584,0.840396796,20
200,blpa,12.55353975,0.617449664,0.540422078,20
200,bekm,9.096730709,0.724832215,0.70777326,16
400,blpa,13.59678483,0.617449664,0.540422078,20
400,bekm,11.11432886,0.61409396,0.556977571,19
800,blpa,14.15852213,0.617449664,0.540422078,20
800,bekm,12.07581067,0.546979866,0.446439628,20
1000,blpa,14.92673373,0.617449664,0.540422078,20
1000,bekm,12.25451088,0.546979866,0.446439628,20
0,blpa,61.57685542,0.986577181,0.986574762,20
0,bekm,51.25757575,0.798657718,0.787598004,20
200,blpa,12.49504948,0.617449664,0.540422078,20
200,bekm,9.398862839,0.67114094,0.641263758,16
400,blpa,13.29051828,0.620805369,0.545946092,20
400,bekm,11.18142033,0.600671141,0.536341409,19
800,blpa,14.13360691,0.617449664,0.540422078,20
800,bekm,12.51107717,0.55033557,0.452446248,20
1000,blpa,14.53418207,0.617449664,0.540422078,20
1000,bekm,11.8311348,0.55033557,0.452446248,20
0,blpa,58.23628426,0.993288591,0.993285869,20
0,bekm,46.50309587,0.83557047,0.829326164,20
200,blpa,12.61116099,0.617449664,0.540422078,20
200,bekm,8.486858845,0.657718121,0.621657954,14
400,blpa,13.44400668,0.617449664,0.540422078,20
400,bekm,10.95610213,0.617449664,0.562035891,18
800,blpa,14.42784357,0.620805369,0.545946092,20
800,bekm,12.24752259,0.55033557,0.452446248,20
1000,blpa,15.12414837,0.617449664,0.540422078,20
1000,bekm,12.53008056,0.55033557,0.452446248,20
0,blpa,52.94487286,0.966442953,0.966441441,20
0,bekm,48.49845195,0.848993289,0.844060701,20
200,blpa,11.82676625,0.617449664,0.540422078,20
200,bekm,5.953625441,0.788590604,0.782211756,10
400,blpa,13.1823957,0.617449664,0.540422078,20
400,bekm,9.698314667,0.711409396,0.690183752,16
800,blpa,14.40169287,0.617449664,0.540422078,20
800,bekm,11.80940485,0.546979866,0.446439628,20
1000,blpa,15.21558237,0.617449664,0.540422078,20
1000,bekm,12.02793288,0.546979866,0.446439628,20
0,blpa,67.81249261,1,1,20
0,bekm,47.36506295,0.842281879,0.839533472,20
200,blpa,12.88404465,0.617449664,0.540422078,20
200,bekm,9.830346823,0.691275168,0.665984405,16
400,blpa,13.20433378,0.617449664,0.540422078,20
400,bekm,11.50931811,0.597315436,0.531077891,19
800,blpa,14.41674209,0.617449664,0.540422078,20
800,bekm,11.62136388,0.597315436,0.531077891,19
1000,blpa,14.35754681,0.617449664,0.540422078,20
1000,bekm,12.62701535,0.55033557,0.452446248,20
0,blpa,66.27088284,0.986577181,0.986574762,20
0,bekm,60.23952508,0.845637584,0.840396796,20
200,blpa,12.91737652,0.617449664,0.540422078,20
200,bekm,8.103883982,0.701342282,0.678766518,13
400,blpa,12.67609644,0.617449664,0.540422078,20
400,bekm,11.35693836,0.593959732,0.525771027,19
800,blpa,14.46515179,0.617449664,0.540422078,20
800,bekm,12.22039747,0.55033557,0.452446248,20
1000,blpa,15.16242456,0.617449664,0.540422078,20
1000,bekm,12.20204401,0.55033557,0.452446248,20
0,blpa,56.98476839,0.989932886,0.989930051,20
0,bekm,46.53590608,0.785234899,0.771920593,20
200,blpa,11.84860992,0.617449664,0.540422078,20
200,bekm,8.735461712,0.694630872,0.668949521,15
400,blpa,12.35535526,0.617449664,0.540422078,20
400,bekm,10.16335058,0.624161074,0.572036724,18
800,blpa,14.42207432,0.617449664,0.540422078,20
800,bekm,11.76986527,0.604026846,0.54156237,19
1000,blpa,15.26293063,0.617449664,0.540422078,20
1000,bekm,12.23463273,0.546979866,0.446439628,20
0,blpa,58.05216169,0.993288591,0.993285869,20
0,bekm,60.00709796,0.795302013,0.78370596,20
200,blpa,11.61278915,0.617449664,0.540422078,20
200,bekm,10.91579986,0.597315436,0.53379224,19
400,blpa,13.08232927,0.617449664,0.540422078,20
400,bekm,10.81532884,0.597315436,0.53379224,19
800,blpa,14.17633295,0.617449664,0.540422078,20
800,bekm,11.91471815,0.55033557,0.452446248,20
1000,blpa,15.0781424,0.617449664,0.540422078,20
1000,bekm,12.10562444,0.546979866,0.446439628,20
0,blpa,53.23376703,0.986577181,0.986567501,20
0,bekm,52.18553925,0.791946309,0.779795957,20
200,blpa,12.19279671,0.620805369,0.545946092,20
200,bekm,8.574482679,0.674496644,0.644168154,16
400,blpa,13.24152279,0.617449664,0.540422078,20
400,bekm,11.87780499,0.597315436,0.53379224,19
800,blpa,15.14602518,0.617449664,0.540422078,20
