# edges,partition,running time,accuracy,f1,# shards
0,blpa,31.71592522,0.926174497,0.926011195,20
0,bekm,41.63605928,0.785234899,0.771920593,20
200,blpa,10.43050528,0.704697987,0.675059477,20
200,bekm,7.653221369,0.751677852,0.739670397,16
400,blpa,11.46355104,0.694630872,0.660085988,20
400,bekm,9.878477097,0.610738255,0.551879699,20
800,blpa,12.18879008,0.771812081,0.759277738,20
800,bekm,9.77987504,0.610738255,0.551879699,20
1000,blpa,12.9651444,0.704697987,0.675059477,20
1000,bekm,9.590343714,0.600671141,0.536341409,20
0,blpa,31.30885983,0.969798658,0.969798318,20
0,bekm,40.26705313,0.812080537,0.802993814,20
200,blpa,11.07233739,0.714765101,0.686831596,20
200,bekm,9.265822172,0.674496644,0.642619586,17
400,blpa,11.52485108,0.701342282,0.669116088,20
400,bekm,9.864188433,0.61409396,0.556977571,20
800,blpa,12.31870866,0.788590604,0.779344875,20
800,bekm,10.52665019,0.587248322,0.515024015,20
1000,blpa,14.13572693,0.724832215,0.69983294,20
1000,bekm,9.83238554,0.604026846,0.54156237,20
0,blpa,29.59121418,0.902684564,0.902198884,20
0,bekm,45.67347932,0.771812081,0.755937756,20
200,blpa,10.49528742,0.711409396,0.682444489,20
200,bekm,9.376134396,0.634228188,0.590881038,20
400,blpa,11.23365045,0.734899329,0.713750714,20
400,bekm,9.512000561,0.60738255,0.546741547,20
800,blpa,12.68348551,0.697986577,0.663014525,20
800,bekm,9.90682745,0.597315436,0.531077891,20
1000,blpa,12.96445656,0.708053691,0.679462928,20
1000,bekm,9.690340281,0.60738255,0.546741547,20
0,blpa,29.61196399,0.916107383,0.915833475,20
0,bekm,45.50355005,0.791946309,0.779795957,20
200,blpa,10.88818693,0.724832215,0.701081372,20
200,bekm,9.584408998,0.661073826,0.624502526,18
400,blpa,10.83036232,0.704697987,0.672068828,20
400,bekm,9.503324032,0.61409396,0.556977571,19
800,blpa,12.33340001,0.731543624,0.709551657,20
800,bekm,10.8206234,0.600671141,0.536341409,20
1000,blpa,12.54686904,0.758389262,0.743410667,20
1000,bekm,9.857697248,0.597315436,0.531077891,20
0,blpa,24.59340668,0.953020134,0.953001081,20
0,bekm,45.51601315,0.82885906,0.821876868,20
200,blpa,10.18862081,0.731543624,0.709551657,20
200,bekm,6.912720919,0.728187919,0.712789881,15
400,blpa,10.9045465,0.714765101,0.688188589,20
400,bekm,9.197528362,0.627516779,0.576980625,19
800,blpa,12.03586984,0.731543624,0.709551657,20
800,bekm,9.437588215,0.630872483,0.581887755,19
1000,blpa,12.21118379,0.711409396,0.682444489,20
1000,bekm,10.36419916,0.61409396,0.556977571,20
0,blpa,28.38061881,0.889261745,0.888476848,20
0,bekm,50.7658565,0.805369128,0.79532967,20
200,blpa,10.83324838,0.741610738,0.722078897,20
200,bekm,8.399324656,0.651006711,0.610594562,18
400,blpa,10.99039721,0.72147651,0.696809228,20
400,bekm,10.19440484,0.61409396,0.556977571,20
800,blpa,12.29307151,0.691275168,0.652098878,20
800,bekm,9.920517206,0.610738255,0.551879699,20
1000,blpa,13.54951239,0.697986577,0.663014525,20
1000,bekm,10.4118638,0.597315436,0.531077891,20
0,blpa,27.84246182,0.912751678,0.912432188,20
0,bekm,46.74151659,0.791946309,0.779795957,20
200,blpa,10.83925724,0.781879195,0.770983341,20
200,bekm,10.78902817,0.604026846,0.54156237,20
400,blpa,11.75716281,0.761744966,0.747406373,20
400,bekm,10.07385325,0.587248322,0.515024015,20
800,blpa,12.56729865,0.704697987,0.673587254,20
800,bekm,9.823741198,0.604026846,0.54156237,20
1000,blpa,13.00989676,0.718120805,0.692511792,20
1000,bekm,10.43184662,0.604026846,0.54156237,20
0,blpa,28.14481759,0.966442953,0.966441441,20
0,bekm,49.28407812,0.818791946,0.81059322,20
200,blpa,9.981837749,0.704697987,0.672068828,20
200,bekm,9.417749405,0.604026846,0.54156237,20
400,blpa,11.65366149,0.781879195,0.770983341,20
400,bekm,10.62126803,0.600671141,0.536341409,20
800,blpa,11.7260735,0.724832215,0.701081372,20
800,bekm,10.86538696,0.604026846,0.54156237,20
1000,blpa,12.58093596,0.694630872,0.658441967,20
1000,bekm,10.10210872,0.597315436,0.531077891,20
0,blpa,32.30981207,0.986577181,0.986574762,20
0,bekm,43.96713161,0.832214765,0.825608614,20
200,blpa,11.26840162,0.728187919,0.705328694,20
200,bekm,7.690947294,0.724832215,0.721202994,15
400,blpa,10.99942875,0.701342282,0.667556625,20
400,bekm,10.85970116,0.600671141,0.536341409,20
800,blpa,13.13468242,0.704697987,0.672068828,20
800,bekm,10.10010481,0.600671141,0.536341409,20
1000,blpa,13.57675505,0.694630872,0.658441967,20
1000,bekm,10.68539715,0.600671141,0.536341409,20
0,blpa,26.15393329,0.932885906,0.932776901,20
0,bekm,45.05144477,0.748322148,0.727156198,20
200,blpa,10.96486044,0.711409396,0.683839132,20
200,bekm,9.186673164,0.674496644,0.644168154,18
400,blpa,11.5856204,0.697986577,0.664615846,20
400,bekm,9.708335161,0.634228188,0.588851056,19
800,blpa,12.6254735,0.704697987,0.675059477,20
800,bekm,9.909081221,0.590604027,0.520420008,20
1000,blpa,13.69515371,0.731543624,0.710693656,20
1000,bekm,10.79911399,0.60738255,0.546741547,20
100,blpa,10.646449,0.708054,0.676552,20
100,bekm,5.841216,0.788591,0.781685,12
100,blpa,11.316113,0.728188,0.705329,20
100,bekm,7.576201,0.697987,0.675774,15
100,blpa,11.889678,0.731544,0.709552,20
100,bekm,6.487223,0.775168,0.767239,13
100,blpa,10.961282,0.724832,0.701081,20
100,bekm,8.840209,0.681208,0.655776,17
100,blpa,12.319263,0.708054,0.679463,20
100,bekm,9.925204,0.620805,0.567055,19
100,blpa,10.716637,0.701342,0.669116,20
100,bekm,9.314687,0.647651,0.605895,18
100,blpa,9.223919,0.714765,0.686832,20
100,bekm,5.261583,0.771812,0.758486,10
