# edges,partition,running time,accuracy,f1,# shards
0,blpa,53.38613153,1,1,20
0,bekm,57.36094451,0.802013423,0.791472454,20
200,blpa,11.44469666,0.617449664,0.540422078,20
200,bekm,11.09478903,0.540268456,0.434253011,20
400,blpa,12.21931314,0.654362416,0.59868206,20
400,bekm,10.80931735,0.546979866,0.446439628,20
800,blpa,13.68197966,0.620805369,0.548865935,20
800,bekm,11.32618308,0.546979866,0.446439628,20
1000,blpa,14.17872977,0.617449664,0.540422078,20
1000,bekm,11.49415755,0.543624161,0.440375587,20
0,blpa,49.98010755,0.996644295,0.996642443,20
0,bekm,61.65088177,0.83557047,0.829326164,20
200,blpa,11.50720119,0.617449664,0.540422078,20
200,bekm,8.413508415,0.657718121,0.619897959,17
400,blpa,12.34266615,0.610738255,0.529225908,20
400,bekm,9.581884623,0.681208054,0.651504893,17
800,blpa,13.72612166,0.644295302,0.583315745,20
800,bekm,11.15111136,0.546979866,0.446439628,20
1000,blpa,14.17575312,0.617449664,0.540422078,20
1000,bekm,11.05141449,0.563758389,0.475919913,20
0,blpa,50.38526416,1,1,20
0,bekm,53.72954369,0.798657718,0.787598004,20
200,blpa,12.03558922,0.617449664,0.540422078,20
200,bekm,7.311955214,0.758389262,0.746706332,13
400,blpa,12.60444593,0.61409396,0.534848999,20
400,bekm,10.17498732,0.624161074,0.572036724,18
800,blpa,13.54772663,0.630872483,0.562232906,20
800,bekm,11.38275671,0.553691275,0.458396535,20
1000,blpa,13.08997107,0.634228188,0.567569726,20
1000,bekm,11.48201299,0.560402685,0.470132338,20
0,blpa,43.9344573,1,1,20
0,bekm,56.25152755,0.859060403,0.854977753,20
200,blpa,11.83419108,0.617449664,0.540422078,20
200,bekm,10.22814894,0.593959732,0.525771027,19
400,blpa,12.44602251,0.617449664,0.540422078,20
400,bekm,10.00801849,0.590604027,0.520420008,19
800,blpa,13.61249161,0.627516779,0.556850609,20
800,bekm,11.17895889,0.540268456,0.434253011,20
1000,blpa,13.50440621,0.624161074,0.551421967,20
1000,bekm,10.8854804,0.540268456,0.434253011,20
0,blpa,41.55584311,0.996644295,0.996642443,20
0,bekm,57.13282824,0.768456376,0.751891403,20
200,blpa,11.47763538,0.66442953,0.615820957,20
200,bekm,8.5284729,0.67114094,0.638134417,16
400,blpa,11.56070423,0.630872483,0.562232906,20
400,bekm,9.226423025,0.620805369,0.567055375,18
800,blpa,13.08975744,0.620805369,0.545946092,20
800,bekm,10.8508594,0.543624161,0.440375587,20
1000,blpa,13.4908247,0.624161074,0.551421967,20
1000,bekm,10.46891117,0.543624161,0.440375587,20
0,blpa,48.4980588,1,1,20
0,bekm,56.45063448,0.761744966,0.743735087,20
200,blpa,11.47315288,0.617449664,0.540422078,20
200,bekm,7.484137297,0.691275168,0.664627881,14
400,blpa,10.82606292,0.617449664,0.540422078,20
400,bekm,9.904103041,0.593959732,0.525771027,18
800,blpa,13.26334143,0.617449664,0.540422078,20
800,bekm,11.53908324,0.563758389,0.475919913,20
1000,blpa,13.40071726,0.634228188,0.567569726,20
1000,bekm,10.2373035,0.536912752,0.428070761,20
0,blpa,48.45419765,1,1,20
0,bekm,46.59645343,0.842281879,0.836719943,20
200,blpa,11.38792729,0.620805369,0.545946092,20
200,bekm,8.279059887,0.704697987,0.681763021,16
400,blpa,11.75135112,0.617449664,0.540422078,20
400,bekm,9.736215115,0.627516779,0.576980625,18
800,blpa,12.7448225,0.617449664,0.540422078,20
800,bekm,11.38987923,0.546979866,0.446439628,20
1000,blpa,13.38772559,0.681208054,0.637956391,20
1000,bekm,10.96146655,0.560402685,0.470132338,20
0,blpa,46.1002593,1,1,20
0,bekm,65.03221774,0.872483221,0.869370616,20
200,blpa,11.61684394,0.630872483,0.564951956,20
200,bekm,9.759999514,0.624161074,0.572036724,18
400,blpa,12.47511911,0.617449664,0.540422078,20
400,bekm,10.39289236,0.560402685,0.470132338,20
800,blpa,13.65897751,0.620805369,0.545946092,20
800,bekm,11.33109903,0.543624161,0.440375587,20
1000,blpa,13.96392536,0.644295302,0.583315745,20
