# edges,setting,accuracy
0,Retrain,0.767267267
0,ERAEDGE,0.767267267
100,Retrain,0.765765766
100,ERAEDGE,0.758258258
0,Retrain,0.761261261
0,ERAEDGE,0.761261261
100,Retrain,0.765765766
100,ERAEDGE,0.767267267
0,Retrain,0.768768769
0,ERAEDGE,0.768768769
100,Retrain,0.771771772
100,ERAEDGE,0.768768769
0,Retrain,0.75975976
0,ERAEDGE,0.75975976
100,Retrain,0.773273273
100,ERAEDGE,0.761261261
0,Retrain,0.771771772
0,ERAEDGE,0.771771772
100,Retrain,0.774774775
100,ERAEDGE,0.776276276
0,Retrain,0.761261261
0,ERAEDGE,0.761261261
100,Retrain,0.762762763
100,ERAEDGE,0.765765766
0,Retrain,0.774774775
0,ERAEDGE,0.774774775
100,Retrain,0.761261261
100,ERAEDGE,0.771771772
0,Retrain,0.761261261
0,ERAEDGE,0.761261261
100,Retrain,0.765765766
100,ERAEDGE,0.762762763
0,Retrain,0.771771772
0,ERAEDGE,0.771771772
100,Retrain,0.762762763
100,ERAEDGE,0.777777778
0,Retrain,0.773273273
0,ERAEDGE,0.773273273
100,Retrain,0.767267267
100,ERAEDGE,0.77027027
200,Retrain,0.762762763
400,Retrain,0.768768769
800,Retrain,0.761261261
1000,Retrain,0.762762763
200,Retrain,0.755255255
400,Retrain,0.762762763
800,Retrain,0.765765766
1000,Retrain,0.762762763
200,Retrain,0.762762763
400,Retrain,0.762762763
800,Retrain,0.765765766
1000,Retrain,0.767267267
200,Retrain,0.774774775
400,Retrain,0.771771772
800,Retrain,0.764264264
1000,Retrain,0.747747748
200,Retrain,0.761261261
400,Retrain,0.762762763
800,Retrain,0.761261261
1000,Retrain,0.753753754
200,Retrain,0.77027027
400,Retrain,0.773273273
800,Retrain,0.758258258
1000,Retrain,0.749249249
200,Retrain,0.773273273
400,Retrain,0.762762763
800,Retrain,0.756756757
1000,Retrain,0.765765766
200,Retrain,0.762762763
400,Retrain,0.77027027
800,Retrain,0.767267267
1000,Retrain,0.762762763
200,Retrain,0.768768769
400,Retrain,0.764264264
800,Retrain,0.755255255
1000,Retrain,0.744744745
200,Retrain,0.764264264
400,Retrain,0.755255255
800,Retrain,0.750750751
1000,Retrain,0.750750751
200,ERAEDGE,0.774774775
400,ERAEDGE,0.774774775
800,ERAEDGE,0.768768769
1000,ERAEDGE,0.764264264
200,ERAEDGE,0.758258258
400,ERAEDGE,0.75975976
800,ERAEDGE,0.750750751
1000,ERAEDGE,0.749249249
200,ERAEDGE,0.765765766
400,ERAEDGE,0.764264264
800,ERAEDGE,0.762762763
1000,ERAEDGE,0.762762763
200,ERAEDGE,0.765765766
400,ERAEDGE,0.768768769
800,ERAEDGE,0.761261261
1000,ERAEDGE,0.758258258
200,ERAEDGE,0.756756757
400,ERAEDGE,0.761261261
800,ERAEDGE,0.764264264
1000,ERAEDGE,0.762762763
200,ERAEDGE,0.75975976
400,ERAEDGE,0.762762763
800,ERAEDGE,0.761261261
1000,ERAEDGE,0.755255255
200,ERAEDGE,0.768768769
400,ERAEDGE,0.75975976
800,ERAEDGE,0.767267267
1000,ERAEDGE,0.764264264
200,ERAEDGE,0.75975976
400,ERAEDGE,0.767267267
800,ERAEDGE,0.765765766
1000,ERAEDGE,0.762762763
200,ERAEDGE,0.758258258
400,ERAEDGE,0.758258258
800,ERAEDGE,0.75975976
1000,ERAEDGE,0.753753754
200,ERAEDGE,0.749249249
400,ERAEDGE,0.744744745
800,ERAEDGE,0.746246246
1000,ERAEDGE,0.747747748
