,# edges,setting,accuracy,f1
0,0,retrain,0.7237237237237237,0.6836128462299763
1,0,unlearn,0.7237237237237237,0.6836128462299763
2,100,retrain,0.7252252252252253,0.6748287488859158
3,100,unlearn,0.6816816816816816,0.6044199415886079
4,200,retrain,0.7207207207207207,0.6688342896257969
5,200,unlearn,0.6756756756756757,0.5990979881735765
6,400,retrain,0.6996996996996997,0.6509302043968112
7,400,unlearn,0.6756756756756757,0.5994745687109565
8,800,retrain,0.6576576576576577,0.6173158593049198
9,800,unlearn,0.6786786786786787,0.6022805087499391
10,1000,retrain,0.6636636636636637,0.626632155587092
11,1000,unlearn,0.6681681681681682,0.5934544425850802
12,0,retrain,0.7177177177177178,0.6783846360224519
13,0,unlearn,0.7177177177177178,0.6783846360224519
14,100,retrain,0.7192192192192193,0.6763330551777367
15,100,unlearn,0.6906906906906907,0.612744927099851
16,200,retrain,0.7117117117117117,0.6669884683640973
17,200,unlearn,0.6906906906906907,0.6175655698873375
18,400,retrain,0.6966966966966966,0.6499861101616194
19,400,unlearn,0.6936936936936937,0.6200778993646676
20,800,retrain,0.6786786786786787,0.6342175084351427
21,800,unlearn,0.6951951951951952,0.6253484843044911
22,1000,retrain,0.6531531531531531,0.6077524088858509
23,1000,unlearn,0.6906906906906907,0.6140503602838802
24,0,retrain,0.7192192192192193,0.6694534225623664
25,0,unlearn,0.7192192192192193,0.6694534225623664
26,100,retrain,0.7162162162162162,0.6692665494175135
27,100,unlearn,0.6111111111111112,0.46100174481069733
28,200,retrain,0.7147147147147147,0.6699066590367865
29,200,unlearn,0.6096096096096096,0.4599762932402309
30,400,retrain,0.7072072072072072,0.6664575749162325
31,400,unlearn,0.6141141141141141,0.4635489137178148
32,800,retrain,0.6876876876876877,0.6540491004494524
33,800,unlearn,0.6156156156156156,0.46365640626312277
34,1000,retrain,0.6726726726726727,0.6379541778699204
35,1000,unlearn,0.6171171171171171,0.4675406174341172
36,0,retrain,0.7207207207207207,0.6730291281714803
37,0,unlearn,0.7207207207207207,0.6730291281714803
38,100,retrain,0.7087087087087087,0.6714831013106749
39,100,unlearn,0.5420420420420421,0.4487410214861421
40,200,retrain,0.7072072072072072,0.6626591457050034
41,200,unlearn,0.5420420420420421,0.44813470679687956
42,400,retrain,0.6711711711711712,0.6337959476674319
43,400,unlearn,0.5420420420420421,0.44938191500445185
44,800,retrain,0.6831831831831832,0.6443979507005221
45,800,unlearn,0.527027027027027,0.42710369948143306
46,1000,retrain,0.6441441441441441,0.6143903741125999
47,1000,unlearn,0.53003003003003,0.4294340735684208
48,0,retrain,0.7237237237237237,0.6811908154679127
49,0,unlearn,0.7237237237237237,0.6811908154679127
50,100,retrain,0.7042042042042042,0.6645141782876828
