# edges,setting,accuracy
0,Retrain,0.771771772
0,ERAEDGE,0.771771772
100,Retrain,0.771771772
100,ERAEDGE,0.782282282
0,Retrain,0.764264264
0,ERAEDGE,0.764264264
100,Retrain,0.771771772
100,ERAEDGE,0.761261261
0,Retrain,0.756756757
0,ERAEDGE,0.756756757
100,Retrain,0.773273273
100,ERAEDGE,0.752252252
0,Retrain,0.774774775
0,ERAEDGE,0.774774775
100,Retrain,0.755255255
100,ERAEDGE,0.761261261
0,Retrain,0.761261261
0,ERAEDGE,0.761261261
100,Retrain,0.758258258
100,ERAEDGE,0.764264264
0,Retrain,0.764264264
0,ERAEDGE,0.764264264
100,Retrain,0.774774775
100,ERAEDGE,0.777777778
0,Retrain,0.764264264
0,ERAEDGE,0.764264264
100,Retrain,0.767267267
100,ERAEDGE,0.765765766
0,Retrain,0.774774775
0,ERAEDGE,0.774774775
100,Retrain,0.75975976
100,ERAEDGE,0.776276276
0,Retrain,0.764264264
0,ERAEDGE,0.764264264
100,Retrain,0.77027027
100,ERAEDGE,0.765765766
0,Retrain,0.771771772
0,ERAEDGE,0.771771772
100,Retrain,0.777777778
100,ERAEDGE,0.771771772
200,Retrain,0.767267267
400,Retrain,0.774774775
800,Retrain,0.75975976
1000,Retrain,0.750750751
200,Retrain,0.765765766
400,Retrain,0.768768769
800,Retrain,0.768768769
1000,Retrain,0.761261261
200,Retrain,0.767267267
400,Retrain,0.761261261
800,Retrain,0.758258258
1000,Retrain,0.764264264
200,Retrain,0.776276276
400,Retrain,0.767267267
800,Retrain,0.761261261
1000,Retrain,0.768768769
200,Retrain,0.762762763
400,Retrain,0.764264264
800,Retrain,0.764264264
1000,Retrain,0.765765766
200,Retrain,0.762762763
400,Retrain,0.777777778
800,Retrain,0.75975976
1000,Retrain,0.764264264
200,Retrain,0.768768769
400,Retrain,0.773273273
800,Retrain,0.768768769
1000,Retrain,0.755255255
200,Retrain,0.761261261
400,Retrain,0.771771772
800,Retrain,0.764264264
1000,Retrain,0.764264264
200,Retrain,0.768768769
400,Retrain,0.764264264
800,Retrain,0.77027027
1000,Retrain,0.75975976
200,Retrain,0.774774775
400,Retrain,0.777777778
800,Retrain,0.77027027
1000,Retrain,0.765765766
200,ERAEDGE,0.783783784
400,ERAEDGE,0.779279279
800,ERAEDGE,0.773273273
1000,ERAEDGE,0.771771772
200,ERAEDGE,0.767267267
400,ERAEDGE,0.765765766
800,ERAEDGE,0.75975976
1000,ERAEDGE,0.761261261
200,ERAEDGE,0.773273273
400,ERAEDGE,0.761261261
800,ERAEDGE,0.767267267
1000,ERAEDGE,0.765765766
200,ERAEDGE,0.776276276
400,ERAEDGE,0.777777778
800,ERAEDGE,0.77027027
1000,ERAEDGE,0.77027027
200,ERAEDGE,0.774774775
400,ERAEDGE,0.768768769
800,ERAEDGE,0.767267267
1000,ERAEDGE,0.765765766
200,ERAEDGE,0.768768769
400,ERAEDGE,0.767267267
800,ERAEDGE,0.768768769
1000,ERAEDGE,0.765765766
200,ERAEDGE,0.774774775
400,ERAEDGE,0.771771772
800,ERAEDGE,0.77027027
1000,ERAEDGE,0.771771772
200,ERAEDGE,0.750750751
400,ERAEDGE,0.752252252
800,ERAEDGE,0.750750751
1000,ERAEDGE,0.747747748
200,ERAEDGE,0.773273273
400,ERAEDGE,0.767267267
800,ERAEDGE,0.765765766
1000,ERAEDGE,0.764264264
200,ERAEDGE,0.771771772
400,ERAEDGE,0.768768769
800,ERAEDGE,0.762762763
1000,ERAEDGE,0.75975976
