,# edges,setting,accuracy,f1
0,0,retrain,0.7072072072072072,0.6279801432182902
1,0,unlearn,0.7072072072072072,0.6279801432182902
2,100,retrain,0.6831831831831832,0.6396462706836411
3,100,unlearn,0.5105105105105106,0.4388237008038974
4,200,retrain,0.6891891891891891,0.6445420338249822
5,200,unlearn,0.24774774774774774,0.15433850360432833
6,400,retrain,0.6351351351351351,0.5894741900851862
7,400,unlearn,0.506006006006006,0.46018670639291925
8,800,retrain,0.5675675675675675,0.5132508979164853
9,800,unlearn,0.3963963963963964,0.37175093540090987
10,1000,retrain,0.5540540540540541,0.5256179620019046
11,1000,unlearn,0.5180180180180181,0.4633460735171262
12,0,retrain,0.6966966966966966,0.6561008678674799
13,0,unlearn,0.6966966966966966,0.6561008678674799
14,100,retrain,0.6831831831831832,0.644302424049963
15,100,unlearn,0.23423423423423423,0.1624772630519757
16,200,retrain,0.6786786786786787,0.6377573417965595
17,200,unlearn,0.15765765765765766,0.062052314768608986
18,400,retrain,0.6141141141141141,0.5774978816885293
19,400,unlearn,0.2912912912912913,0.2086580643237582
20,800,retrain,0.5765765765765766,0.5374772784215484
21,800,unlearn,0.2672672672672673,0.16751297855901726
22,1000,retrain,0.5480480480480481,0.5375811883691339
23,1000,unlearn,0.25825825825825827,0.17651790854862912
24,0,retrain,0.7012012012012012,0.6094836016113002
25,0,unlearn,0.7012012012012012,0.6094836016113002
26,100,retrain,0.6966966966966966,0.6532976633871571
27,100,unlearn,0.19519519519519518,0.18913755397550067
28,200,retrain,0.6696696696696697,0.6151295316598847
29,200,unlearn,0.21171171171171171,0.18852013292761263
30,400,retrain,0.6291291291291291,0.5861173130716634
31,400,unlearn,0.17417417417417416,0.14132039098394505
32,800,retrain,0.5960960960960962,0.5404258824136124
33,800,unlearn,0.17417417417417416,0.13870981707186675
34,1000,retrain,0.5180180180180181,0.48265198330422177
35,1000,unlearn,0.1981981981981982,0.16403615646800726
36,0,retrain,0.7192192192192193,0.6752928177972818
37,0,unlearn,0.7192192192192193,0.6752928177972818
38,100,retrain,0.6981981981981982,0.6568351507362035
39,100,unlearn,0.26426426426426425,0.2709344576145613
40,200,retrain,0.6726726726726727,0.6248047469314855
41,200,unlearn,0.2222222222222222,0.16952861514438208
42,400,retrain,0.6411411411411412,0.6012264219582443
43,400,unlearn,0.22072072072072071,0.1664313482117132
44,800,retrain,0.5990990990990991,0.558410537923795
45,800,unlearn,0.24774774774774774,0.26219275796114444
46,1000,retrain,0.5525525525525525,0.5374792164059583
47,1000,unlearn,0.2882882882882883,0.29648967235183465
48,0,retrain,0.7012012012012012,0.6305193639614216
49,0,unlearn,0.7012012012012012,0.6305193639614216
50,100,retrain,0.6981981981981982,0.6475640458262254
51,100,unlearn,0.16966966966966968,0.1336458959597296
52,200,retrain,0.6681681681681682,0.625201420381833
53,200,unlearn,0.25825825825825827,0.25143048951400676
54,400,retrain,0.6546546546546547,0.6070165485489286
55,400,unlearn,0.2897897897897898,0.25069367896066524
56,800,retrain,0.536036036036036,0.5088828247610071
57,800,unlearn,0.3138138138138138,0.2869849331434326
58,1000,retrain,0.581081081081081,0.5355117333208181
59,1000,unlearn,0.3003003003003003,0.2702354700105119
60,0,retrain,0.7117117117117117,0.6651194291366992
61,0,unlearn,0.7117117117117117,0.6651194291366992
62,100,retrain,0.6936936936936937,0.6543003902560107
63,100,unlearn,0.1996996996996997,0.05555555555555556
64,200,retrain,0.6831831831831832,0.6387415601958327
65,200,unlearn,0.5195195195195195,0.39569796559551235
66,400,retrain,0.6516516516516516,0.5910419049369114
67,400,unlearn,0.24774774774774774,0.12751669838181534
68,800,retrain,0.5870870870870871,0.5744578426270875
69,800,unlearn,0.4219219219219219,0.3024274499316944
70,1000,retrain,0.5495495495495496,0.5035222860522918
71,1000,unlearn,0.23873873873873874,0.14946560365061975
72,0,retrain,0.7162162162162162,0.659962384721239
73,0,unlearn,0.7162162162162162,0.659962384721239
74,100,retrain,0.6951951951951952,0.6377961037664542
75,100,unlearn,0.18618618618618618,0.12539368533433815
76,200,retrain,0.6771771771771772,0.6314906111062846
77,200,unlearn,0.17717717717717718,0.13116805549972146
78,400,retrain,0.6456456456456456,0.6168370444010097
79,400,unlearn,0.16066066066066065,0.10947506973780892
80,800,retrain,0.575075075075075,0.5465986715009897
81,800,unlearn,0.2552552552552553,0.1332552812314795
82,1000,retrain,0.5180180180180181,0.49158257640976527
83,1000,unlearn,0.25975975975975973,0.1376430337530907
84,0,retrain,0.7177177177177178,0.6735369623789554
85,0,unlearn,0.7177177177177178,0.6735369623789554
86,100,retrain,0.6801801801801802,0.6349201263470597
87,100,unlearn,0.3738738738738739,0.26301741749668095
88,200,retrain,0.6801801801801802,0.636336013659202
89,200,unlearn,0.39039039039039036,0.28484325215783596
90,400,retrain,0.6501501501501501,0.599622300463491
91,400,unlearn,0.3228228228228228,0.21695766064817903
92,800,retrain,0.5960960960960962,0.5466886893909849
93,800,unlearn,0.34684684684684686,0.23360241815859664
94,1000,retrain,0.5420420420420421,0.4900617674916068
95,1000,unlearn,0.27177177177177175,0.16977266330055651
96,0,retrain,0.7222222222222222,0.6766756073652055
97,0,unlearn,0.7222222222222222,0.6766756073652055
98,100,retrain,0.6711711711711712,0.6196987808714584
