# edges,setting,accuracy
0,Retrain,0.758258258
0,ERAEDGE,0.758258258
100,Retrain,0.755255255
100,ERAEDGE,0.764264264
0,Retrain,0.767267267
0,ERAEDGE,0.767267267
100,Retrain,0.762762763
100,ERAEDGE,0.767267267
0,Retrain,0.779279279
0,ERAEDGE,0.779279279
100,Retrain,0.749249249
100,ERAEDGE,0.77027027
0,Retrain,0.764264264
0,ERAEDGE,0.764264264
100,Retrain,0.761261261
100,ERAEDGE,0.761261261
0,Retrain,0.753753754
0,ERAEDGE,0.753753754
100,Retrain,0.755255255
100,ERAEDGE,0.755255255
0,Retrain,0.765765766
0,ERAEDGE,0.765765766
100,Retrain,0.756756757
100,ERAEDGE,0.75975976
0,Retrain,0.764264264
0,ERAEDGE,0.764264264
100,Retrain,0.750750751
100,ERAEDGE,0.761261261
0,Retrain,0.77027027
0,ERAEDGE,0.77027027
100,Retrain,0.753753754
100,ERAEDGE,0.773273273
0,Retrain,0.762762763
0,ERAEDGE,0.762762763
100,Retrain,0.747747748
100,ERAEDGE,0.750750751
0,Retrain,0.756756757
0,ERAEDGE,0.756756757
100,Retrain,0.750750751
100,ERAEDGE,0.744744745
200,Retrain,0.756756757
400,Retrain,0.743243243
800,Retrain,0.744744745
1000,Retrain,0.734234234
200,Retrain,0.746246246
400,Retrain,0.746246246
800,Retrain,0.750750751
1000,Retrain,0.72972973
200,Retrain,0.753753754
400,Retrain,0.758258258
800,Retrain,0.726726727
1000,Retrain,0.732732733
200,Retrain,0.753753754
400,Retrain,0.744744745
800,Retrain,0.74024024
1000,Retrain,0.738738739
200,Retrain,0.749249249
400,Retrain,0.74024024
800,Retrain,0.741741742
1000,Retrain,0.714714715
200,Retrain,0.741741742
400,Retrain,0.726726727
800,Retrain,0.714714715
1000,Retrain,0.72972973
200,Retrain,0.755255255
400,Retrain,0.749249249
800,Retrain,0.746246246
1000,Retrain,0.749249249
200,Retrain,0.755255255
400,Retrain,0.735735736
800,Retrain,0.732732733
1000,Retrain,0.686186186
200,Retrain,0.749249249
400,Retrain,0.735735736
800,Retrain,0.738738739
1000,Retrain,0.743243243
200,Retrain,0.74024024
400,Retrain,0.743243243
800,Retrain,0.735735736
1000,Retrain,0.728228228
200,ERAEDGE,0.723723724
400,ERAEDGE,0.723723724
800,ERAEDGE,0.693693694
1000,ERAEDGE,0.68018018
200,ERAEDGE,0.765765766
400,ERAEDGE,0.762762763
800,ERAEDGE,0.735735736
1000,ERAEDGE,0.726726727
200,ERAEDGE,0.741741742
400,ERAEDGE,0.74024024
800,ERAEDGE,0.704204204
1000,ERAEDGE,0.696696697
200,ERAEDGE,0.756756757
400,ERAEDGE,0.750750751
800,ERAEDGE,0.734234234
1000,ERAEDGE,0.720720721
200,ERAEDGE,0.746246246
400,ERAEDGE,0.743243243
800,ERAEDGE,0.722222222
1000,ERAEDGE,0.717717718
200,ERAEDGE,0.743243243
400,ERAEDGE,0.74024024
800,ERAEDGE,0.723723724
1000,ERAEDGE,0.71021021
200,ERAEDGE,0.743243243
400,ERAEDGE,0.743243243
800,ERAEDGE,0.741741742
1000,ERAEDGE,0.734234234
200,ERAEDGE,0.741741742
400,ERAEDGE,0.731231231
800,ERAEDGE,0.716216216
1000,ERAEDGE,0.702702703
200,ERAEDGE,0.755255255
400,ERAEDGE,0.749249249
800,ERAEDGE,0.744744745
1000,ERAEDGE,0.74024024
200,ERAEDGE,0.744744745
400,ERAEDGE,0.741741742
800,ERAEDGE,0.713213213
1000,ERAEDGE,0.713213213
