,# edges,setting,accuracy,f1
0,0,retrain,0.7057057057057057,0.6154381073139676
1,0,unlearn,0.7057057057057057,0.6154381073139676
2,100,retrain,0.7102102102102102,0.6728280575348795
3,100,unlearn,0.7132132132132132,0.6222413098800303
4,200,retrain,0.6906906906906907,0.5990437450775388
5,200,unlearn,0.7087087087087087,0.6185950601536061
6,400,retrain,0.6816816816816816,0.5919406474028323
7,400,unlearn,0.7057057057057057,0.6162469102311957
8,800,retrain,0.6501501501501501,0.5621965901206651
9,800,unlearn,0.6906906906906907,0.6029653078878259
10,1000,retrain,0.6201201201201201,0.5471478353098082
11,1000,unlearn,0.6786786786786787,0.5933732198888931
12,0,retrain,0.7087087087087087,0.6668016359198949
13,0,unlearn,0.7087087087087087,0.6668016359198949
14,100,retrain,0.7057057057057057,0.6611833577812704
15,100,unlearn,0.6906906906906907,0.6391211229766258
16,200,retrain,0.6936936936936937,0.6473359619586492
17,200,unlearn,0.6891891891891891,0.6387775161369501
18,400,retrain,0.6891891891891891,0.6550893151025866
19,400,unlearn,0.6831831831831832,0.6376019781196587
20,800,retrain,0.6711711711711712,0.6168952026848992
21,800,unlearn,0.6681681681681682,0.6299681119991406
22,1000,retrain,0.6501501501501501,0.6145506680796492
23,1000,unlearn,0.6531531531531531,0.6174386179538442
24,0,retrain,0.7087087087087087,0.672872818818373
25,0,unlearn,0.7087087087087087,0.672872818818373
26,100,retrain,0.7072072072072072,0.6661697257935343
27,100,unlearn,0.6906906906906907,0.6171502986077854
28,200,retrain,0.7042042042042042,0.6657400602573353
29,200,unlearn,0.6966966966966966,0.6227667011192506
30,400,retrain,0.6936936936936937,0.6462720349849435
31,400,unlearn,0.6906906906906907,0.6172893830015445
32,800,retrain,0.6456456456456456,0.5652700918045075
33,800,unlearn,0.6816816816816816,0.6129861357765454
34,1000,retrain,0.6486486486486487,0.5635064969891778
35,1000,unlearn,0.6741741741741741,0.6028749876954811
36,0,retrain,0.7087087087087087,0.6762585552652666
37,0,unlearn,0.7087087087087087,0.6762585552652666
38,100,retrain,0.7177177177177178,0.6791102754082421
39,100,unlearn,0.6996996996996997,0.6563683093288467
40,200,retrain,0.7072072072072072,0.6691702071421272
41,200,unlearn,0.7027027027027027,0.6613781775901763
42,400,retrain,0.6936936936936937,0.6531480740305605
43,400,unlearn,0.6876876876876877,0.6458800849871443
44,800,retrain,0.6546546546546547,0.5732702312591261
45,800,unlearn,0.6801801801801802,0.6424540647663509
46,1000,retrain,0.6441441441441441,0.5794753003641725
47,1000,unlearn,0.6786786786786787,0.6434518962870986
48,0,retrain,0.7177177177177178,0.6766707020146758
49,0,unlearn,0.7177177177177178,0.6766707020146758
50,100,retrain,0.7102102102102102,0.6609051113848273
51,100,unlearn,0.6966966966966966,0.6284535640176999
52,200,retrain,0.6906906906906907,0.6345817159789431
53,200,unlearn,0.6936936936936937,0.6261027849448649
54,400,retrain,0.7012012012012012,0.6479785311015417
55,400,unlearn,0.6996996996996997,0.6477104782638369
56,800,retrain,0.6501501501501501,0.607650035113248
57,800,unlearn,0.6876876876876877,0.6366071783966522
58,1000,retrain,0.6351351351351351,0.5596344877522706
59,1000,unlearn,0.6816816816816816,0.6281215186478344
60,0,retrain,0.7177177177177178,0.6807227792380086
61,0,unlearn,0.7177177177177178,0.6807227792380086
62,100,retrain,0.6831831831831832,0.6008592021903237
63,100,unlearn,0.7147147147147147,0.675204949921748
64,200,retrain,0.7057057057057057,0.6136112103327963
65,200,unlearn,0.7102102102102102,0.6714176027834413
66,400,retrain,0.6861861861861862,0.6164221953214198
67,400,unlearn,0.6966966966966966,0.6593652425994198
68,800,retrain,0.6576576576576577,0.6120418235137276
69,800,unlearn,0.6921921921921922,0.6593298378588854
70,1000,retrain,0.6156156156156156,0.5737806394465232
71,1000,unlearn,0.6846846846846847,0.6534484870279454
72,0,retrain,0.7072072072072072,0.6541528702305639
73,0,unlearn,0.7072072072072072,0.6541528702305639
74,100,retrain,0.7057057057057057,0.6160434844431243
75,100,unlearn,0.6936936936936937,0.6270550821325439
76,200,retrain,0.6966966966966966,0.6515571808369377
77,200,unlearn,0.6921921921921922,0.6294110731133333
78,400,retrain,0.6996996996996997,0.6598024804569524
79,400,unlearn,0.6951951951951952,0.6432086955957886
80,800,retrain,0.6696696696696697,0.6356126074121052
81,800,unlearn,0.6936936936936937,0.6477267135786404
82,1000,retrain,0.6651651651651652,0.6260526781625284
83,1000,unlearn,0.6966966966966966,0.6528114495269207
84,0,retrain,0.7222222222222222,0.678698462861908
85,0,unlearn,0.7222222222222222,0.678698462861908
86,100,retrain,0.7132132132132132,0.6768516931660987
87,100,unlearn,0.7207207207207207,0.6756028581598544
88,200,retrain,0.7012012012012012,0.6600609300205441
89,200,unlearn,0.7147147147147147,0.6705985425697304
