# edges,setting,accuracy
0,Retrain,0.77027027
0,ERAEDGE,0.77027027
100,Retrain,0.773273273
100,ERAEDGE,0.756756757
0,Retrain,0.774774775
0,ERAEDGE,0.774774775
100,Retrain,0.776276276
100,ERAEDGE,0.767267267
0,Retrain,0.767267267
0,ERAEDGE,0.767267267
100,Retrain,0.765765766
100,ERAEDGE,0.771771772
0,Retrain,0.768768769
0,ERAEDGE,0.768768769
100,Retrain,0.783783784
100,ERAEDGE,0.765765766
0,Retrain,0.767267267
0,ERAEDGE,0.767267267
100,Retrain,0.774774775
100,ERAEDGE,0.774774775
0,Retrain,0.771771772
0,ERAEDGE,0.771771772
100,Retrain,0.767267267
100,ERAEDGE,0.768768769
0,Retrain,0.773273273
0,ERAEDGE,0.773273273
100,Retrain,0.779279279
100,ERAEDGE,0.764264264
0,Retrain,0.768768769
0,ERAEDGE,0.768768769
100,Retrain,0.779279279
100,ERAEDGE,0.767267267
0,Retrain,0.777777778
0,ERAEDGE,0.777777778
100,Retrain,0.771771772
100,ERAEDGE,0.774774775
0,Retrain,0.765765766
0,ERAEDGE,0.765765766
100,Retrain,0.776276276
100,ERAEDGE,0.764264264
200,Retrain,0.765765766
400,Retrain,0.756756757
800,Retrain,0.77027027
1000,Retrain,0.765765766
200,Retrain,0.774774775
400,Retrain,0.765765766
800,Retrain,0.756756757
1000,Retrain,0.767267267
200,Retrain,0.777777778
400,Retrain,0.768768769
800,Retrain,0.785285285
1000,Retrain,0.768768769
200,Retrain,0.779279279
400,Retrain,0.75975976
800,Retrain,0.774774775
1000,Retrain,0.758258258
200,Retrain,0.764264264
400,Retrain,0.765765766
800,Retrain,0.765765766
1000,Retrain,0.762762763
200,Retrain,0.776276276
400,Retrain,0.758258258
800,Retrain,0.753753754
1000,Retrain,0.753753754
200,Retrain,0.776276276
400,Retrain,0.783783784
800,Retrain,0.78978979
1000,Retrain,0.765765766
200,Retrain,0.777777778
400,Retrain,0.777777778
800,Retrain,0.783783784
1000,Retrain,0.767267267
200,Retrain,0.773273273
400,Retrain,0.771771772
800,Retrain,0.765765766
1000,Retrain,0.762762763
200,Retrain,0.764264264
400,Retrain,0.776276276
800,Retrain,0.768768769
1000,Retrain,0.774774775
200,ERAEDGE,0.776276276
400,ERAEDGE,0.779279279
800,ERAEDGE,0.774774775
1000,ERAEDGE,0.773273273
200,ERAEDGE,0.767267267
400,ERAEDGE,0.767267267
800,ERAEDGE,0.758258258
1000,ERAEDGE,0.755255255
200,ERAEDGE,0.782282282
400,ERAEDGE,0.782282282
800,ERAEDGE,0.773273273
1000,ERAEDGE,0.779279279
200,ERAEDGE,0.786786787
400,ERAEDGE,0.779279279
800,ERAEDGE,0.765765766
1000,ERAEDGE,0.762762763
200,ERAEDGE,0.767267267
400,ERAEDGE,0.77027027
800,ERAEDGE,0.762762763
1000,ERAEDGE,0.75975976
200,ERAEDGE,0.771771772
400,ERAEDGE,0.771771772
800,ERAEDGE,0.75975976
1000,ERAEDGE,0.764264264
200,ERAEDGE,0.771771772
400,ERAEDGE,0.771771772
800,ERAEDGE,0.773273273
1000,ERAEDGE,0.767267267
200,ERAEDGE,0.764264264
400,ERAEDGE,0.758258258
800,ERAEDGE,0.756756757
1000,ERAEDGE,0.758258258
200,ERAEDGE,0.77027027
400,ERAEDGE,0.765765766
800,ERAEDGE,0.755255255
1000,ERAEDGE,0.755255255
200,ERAEDGE,0.774774775
400,ERAEDGE,0.773273273
800,ERAEDGE,0.764264264
1000,ERAEDGE,0.75975976
